Date,UDRStock_Open_average,UDRStock_Open_max,UDRStock_Open_min,UDRStock_Open_volatility,UDRStock_Open_change,UDRStock_High_average,UDRStock_High_max,UDRStock_High_min,UDRStock_High_volatility,UDRStock_High_change,UDRStock_Low_average,UDRStock_Low_max,UDRStock_Low_min,UDRStock_Low_volatility,UDRStock_Low_change,UDRStock_Close_average,UDRStock_Close_max,UDRStock_Close_min,UDRStock_Close_volatility,UDRStock_Close_change,UDRStock_Volume_average,UDRStock_Volume_max,UDRStock_Volume_min,UDRStock_Volume_volatility,UDRStock_Volume_change
2018-01-14,36.0275,36.26,35.88,0.37999999999999545,0.1599999999999966,36.2025,36.39,36.05,0.3400000000000034,-0.3200000000000003,35.7525,35.86,35.55,0.3100000000000023,-0.060000000000002274,36.0,36.08,35.88,0.19999999999999574,-0.10000000000000142,1402415,1783012,1036859,746153,-291445
2018-01-21,36.626000000000005,36.95,36.02,0.9299999999999997,0.8200000000000003,36.864,37.05,36.39,0.6599999999999966,0.5300000000000011,36.36,36.64,35.96,0.6799999999999997,0.28000000000000114,36.69,37.03,36.36,0.6700000000000017,0.14999999999999858,1507135,1801880,1025897,775983,-775983
2018-01-28,35.96,36.5,35.01,1.490000000000002,-1.3900000000000006,36.274,36.67,35.4,1.2700000000000031,-1.1300000000000026,35.502,36.03,34.66,1.3700000000000045,-1.3700000000000045,35.796,36.53,35.2,1.3299999999999983,-0.8499999999999943,1711549,2198355,1331302,867053,317196
2018-02-04,33.894,34.99,33.1,1.8900000000000006,-1.8900000000000006,34.638,35.54,34.03,1.509999999999998,-1.509999999999998,33.416,34.18,32.88,1.2999999999999972,-1.2999999999999972,33.8,34.31,32.92,1.3900000000000006,-0.39000000000000057,2512014,2970126,2114861,855265,486924
2018-02-11,33.934,34.48,33.61,0.8699999999999974,0.5899999999999963,34.244,34.84,33.81,1.0300000000000011,0.8600000000000065,33.588,34.38,32.9,1.480000000000004,1.480000000000004,34.106,34.61,33.73,0.8800000000000026,0.8800000000000026,1940139,2659053,1301593,1357460,794819
2018-02-18,33.9125,34.47,33.32,1.1499999999999986,-0.8399999999999963,34.265,34.8,33.79,1.009999999999998,-0.6400000000000006,33.519999999999996,34.19,33.16,1.0300000000000011,-0.7199999999999989,33.76,34.24,33.22,1.0200000000000031,-0.10000000000000142,1528687,1996535,1028035,968500,-766641
2018-02-25,33.828,34.23,33.5,0.7299999999999969,-0.6399999999999935,34.132,34.37,33.79,0.5799999999999983,-0.5799999999999983,33.478,33.95,33.13,0.8200000000000003,-0.8200000000000003,33.684,34.14,33.38,0.759999999999998,-0.759999999999998,1691690,2199332,1299846,899486,106324
2018-03-04,33.92,34.8,33.26,1.5399999999999991,1.5399999999999991,34.36,35.24,33.86,1.3800000000000026,1.3800000000000026,33.726,34.5,33.04,1.4600000000000009,1.4600000000000009,34.284,35.24,33.67,1.5700000000000003,1.5700000000000003,1438525,1677066,1053943,623123,201526
2018-03-11,35.49,35.64,35.22,0.4200000000000017,0.4200000000000017,35.72,36.01,35.41,0.6000000000000014,0.6000000000000014,35.352000000000004,35.59,35.03,0.5600000000000023,0.5600000000000023,35.58,35.96,35.32,0.6400000000000006,0.6400000000000006,1771829,2117426,1235185,882241,497092
2018-03-18,35.334,35.7,34.75,0.9500000000000028,-0.9500000000000028,35.574,35.88,34.89,0.990000000000002,-0.8999999999999986,34.888,35.31,34.02,1.2899999999999991,-1.2299999999999969,35.056,35.65,34.14,1.509999999999998,-1.509999999999998,1558951,2132405,985853,1146552,574213
