Date,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_average,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_max,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_min,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_volatility,VelocityShares 1x Daily Inverse VSTOXX Futures_Open_change,VelocityShares 1x Daily Inverse VSTOXX Futures_High_average,VelocityShares 1x Daily Inverse VSTOXX Futures_High_max,VelocityShares 1x Daily Inverse VSTOXX Futures_High_min,VelocityShares 1x Daily Inverse VSTOXX Futures_High_volatility,VelocityShares 1x Daily Inverse VSTOXX Futures_High_change,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_average,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_max,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_min,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_volatility,VelocityShares 1x Daily Inverse VSTOXX Futures_Low_change,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_average,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_max,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_min,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_volatility,VelocityShares 1x Daily Inverse VSTOXX Futures_Close_change
2018-01-14,56.77,56.77,56.77,0.0,0.0,56.77,56.77,56.77,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.41,56.41,56.41,0.0,0.0
2018-01-21,58.02,58.02,58.02,0.0,0.0,58.2,58.2,58.2,0.0,0.0,57.54,57.54,57.54,0.0,0.0,58.16,58.16,58.16,0.0,0.0
2018-01-28,52.13,52.13,52.13,0.0,0.0,52.13,52.13,52.13,0.0,0.0,48.83,48.83,48.83,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2018-02-04,28.6,28.6,28.6,0.0,0.0,30.25,30.25,30.25,0.0,0.0,26.21,26.21,26.21,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2018-02-11,35.15,35.15,35.15,0.0,0.0,36.75,36.75,36.75,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.91,35.91,35.91,0.0,0.0
2018-02-18,34.44,34.44,34.44,0.0,0.0,35.55,35.55,35.55,0.0,0.0,34.4,34.4,34.4,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2018-02-25,30.32,30.32,30.32,0.0,0.0,32.26,32.26,32.26,0.0,0.0,29.64,29.64,29.64,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-03-04,35.22,35.22,35.22,0.0,0.0,37.37,37.37,37.37,0.0,0.0,35.1,35.1,35.1,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2018-03-11,36.33,36.33,36.33,0.0,0.0,37.95,37.95,37.95,0.0,0.0,36.22,36.22,36.22,0.0,0.0,37.44,37.44,37.44,0.0,0.0
2018-03-18,31.24,31.24,31.24,0.0,0.0,32.32,32.32,32.32,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2018-03-25,31.8,31.8,31.8,0.0,0.0,32.83,32.83,32.83,0.0,0.0,31.8,31.8,31.8,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-04-01,32.7,32.7,32.7,0.0,0.0,32.7,32.7,32.7,0.0,0.0,30.9,30.9,30.9,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2018-04-08,35.0,35.0,35.0,0.0,0.0,35.64,35.64,35.64,0.0,0.0,34.67,34.67,34.67,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2018-04-15,37.5,37.5,37.5,0.0,0.0,38.24,38.24,38.24,0.0,0.0,37.04,37.04,37.04,0.0,0.0,37.87,37.87,37.87,0.0,0.0
