Date,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_Open_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_High_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_Low_change,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_average,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_max,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_min,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_volatility,VelocityShares 3x Long Gold linked to SP GSCI Gold_Close_change
2018-01-14,118.5,118.5,118.5,0.0,0.0,119.2,119.2,119.2,0.0,0.0,117.9,117.9,117.9,0.0,0.0,118.9,118.9,118.9,0.0,0.0
2018-01-21,121.1,121.1,121.1,0.0,0.0,121.2,121.2,121.2,0.0,0.0,119.2,119.2,119.2,0.0,0.0,120.3,120.3,120.3,0.0,0.0
2018-01-28,118.8,118.8,118.8,0.0,0.0,120.2,120.2,120.2,0.0,0.0,117.7,117.7,117.7,0.0,0.0,118.9,118.9,118.9,0.0,0.0
2018-02-04,114.0,114.0,114.0,0.0,0.0,115.79,115.79,115.79,0.0,0.0,113.9,113.9,113.9,0.0,0.0,114.5,114.5,114.5,0.0,0.0
2018-02-11,122.8,122.8,122.8,0.0,0.0,123.95,123.95,123.95,0.0,0.0,120.8,120.8,120.8,0.0,0.0,121.8,121.8,121.8,0.0,0.0
2018-02-18,117.3,117.3,117.3,0.0,0.0,117.6,117.6,117.6,0.0,0.0,116.41,116.41,116.41,0.0,0.0,117.2,117.2,117.2,0.0,0.0
2018-02-25,113.9,113.9,113.9,0.0,0.0,114.25,114.25,114.25,0.0,0.0,112.9,112.9,112.9,0.0,0.0,113.3,113.3,113.3,0.0,0.0
2018-03-04,112.9,112.9,112.9,0.0,0.0,114.3,114.3,114.3,0.0,0.0,112.26,112.26,112.26,0.0,0.0,114.2,114.2,114.2,0.0,0.0
2018-03-11,111.3,111.3,111.3,0.0,0.0,113.0,113.0,113.0,0.0,0.0,110.9,110.9,110.9,0.0,0.0,112.2,112.2,112.2,0.0,0.0
2018-03-18,121.0,121.0,121.0,0.0,0.0,122.5,122.5,122.5,0.0,0.0,121.0,121.0,121.0,0.0,0.0,121.7,121.7,121.7,0.0,0.0
2018-03-25,115.9,115.9,115.9,0.0,0.0,118.9,118.9,118.9,0.0,0.0,115.7,115.7,115.7,0.0,0.0,118.1,118.1,118.1,0.0,0.0
2018-04-01,115.6,115.6,115.6,0.0,0.0,116.8,116.8,116.8,0.0,0.0,115.04,115.04,115.04,0.0,0.0,116.7,116.7,116.7,0.0,0.0
2018-04-08,119.0,119.0,119.0,0.0,0.0,119.9,119.9,119.9,0.0,0.0,118.6,118.6,118.6,0.0,0.0,118.8,118.8,118.8,0.0,0.0
2018-04-15,113.0,113.0,113.0,0.0,0.0,113.3,113.3,113.3,0.0,0.0,112.2,112.2,112.2,0.0,0.0,113.0,113.0,113.0,0.0,0.0
2018-04-22,109.5,109.5,109.5,0.0,0.0,111.6,111.6,111.6,0.0,0.0,108.85,108.85,108.85,0.0,0.0,110.1,110.1,110.1,0.0,0.0
2018-04-29,109.6,109.6,109.6,0.0,0.0,110.1,110.1,110.1,0.0,0.0,109.1,109.1,109.1,0.0,0.0,109.9,109.9,109.9,0.0,0.0
2018-05-06,111.2,111.2,111.2,0.0,0.0,111.36,111.36,111.36,0.0,0.0,109.2,109.2,109.2,0.0,0.0,109.5,109.5,109.5,0.0,0.0
2018-05-13,103.1,103.1,103.1,0.0,0.0,104.0,104.0,104.0,0.0,0.0,102.51,102.51,102.51,0.0,0.0,103.9,103.9,103.9,0.0,0.0
2018-05-20,106.9,106.9,106.9,0.0,0.0,106.91,106.91,106.91,0.0,0.0,105.7,105.7,105.7,0.0,0.0,105.7,105.7,105.7,0.0,0.0
2018-05-27,104.6,104.6,104.6,0.0,0.0,104.8,104.8,104.8,0.0,0.0,103.43,103.43,103.43,0.0,0.0,103.5,103.5,103.5,0.0,0.0
2018-06-03,105.3,105.3,105.3,0.0,0.0,106.0,106.0,106.0,0.0,0.0,105.15,105.15,105.15,0.0,0.0,105.6,105.6,105.6,0.0,0.0
2018-06-10,100.4,100.4,100.4,0.0,0.0,100.5,100.5,100.5,0.0,0.0,99.5,99.5,99.5,0.0,0.0,99.7,99.7,99.7,0.0,0.0
2018-06-17,96.9,96.9,96.9,0.0,0.0,97.35,97.35,97.35,0.0,0.0,96.5,96.5,96.5,0.0,0.0,96.6,96.6,96.6,0.0,0.0
2018-06-24,92.5,92.5,92.5,0.0,0.0,92.5,92.5,92.5,0.0,0.0,90.7,90.7,90.7,0.0,0.0,90.7,90.7,90.7,0.0,0.0
2018-07-01,95.9,95.9,95.9,0.0,0.0,96.1,96.1,96.1,0.0,0.0,94.6,94.6,94.6,0.0,0.0,94.7,94.7,94.7,0.0,0.0
2018-07-08,90.4,90.4,90.4,0.0,0.0,90.7,90.7,90.7,0.0,0.0,89.95,89.95,89.95,0.0,0.0,90.6,90.6,90.6,0.0,0.0
