Date,WBI Power Factor High Dividend_Open_average,WBI Power Factor High Dividend_Open_max,WBI Power Factor High Dividend_Open_min,WBI Power Factor High Dividend_Open_volatility,WBI Power Factor High Dividend_Open_change,WBI Power Factor High Dividend_High_average,WBI Power Factor High Dividend_High_max,WBI Power Factor High Dividend_High_min,WBI Power Factor High Dividend_High_volatility,WBI Power Factor High Dividend_High_change,WBI Power Factor High Dividend_Low_average,WBI Power Factor High Dividend_Low_max,WBI Power Factor High Dividend_Low_min,WBI Power Factor High Dividend_Low_volatility,WBI Power Factor High Dividend_Low_change,WBI Power Factor High Dividend_Close_average,WBI Power Factor High Dividend_Close_max,WBI Power Factor High Dividend_Close_min,WBI Power Factor High Dividend_Close_volatility,WBI Power Factor High Dividend_Close_change
2018-01-14,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.44,27.44,27.44,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2018-01-21,27.73,27.73,27.73,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2018-01-28,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0
2018-02-04,25.49,25.49,25.49,0.0,0.0,25.49,25.49,25.49,0.0,0.0,24.84,24.84,24.84,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2018-02-11,26.63,26.63,26.63,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-02-18,26.15,26.15,26.15,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2018-02-25,25.7,25.7,25.7,0.0,0.0,26.08,26.08,26.08,0.0,0.0,25.7,25.7,25.7,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2018-03-04,26.57,26.57,26.57,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2018-03-11,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.48,26.48,26.48,0.0,0.0
2018-03-18,25.36,25.36,25.36,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-03-25,25.65,25.65,25.65,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2018-04-01,26.15,26.15,26.15,0.0,0.0,26.17,26.17,26.17,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2018-04-08,26.11,26.11,26.11,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2018-04-15,26.35,26.35,26.35,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0
2018-04-22,26.48,26.48,26.48,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.62,26.62,26.62,0.0,0.0
2018-04-29,25.95,25.95,25.95,0.0,0.0,26.18,26.18,26.18,0.0,0.0,25.94,25.94,25.94,0.0,0.0,26.14,26.14,26.14,0.0,0.0
2018-05-06,26.62,26.62,26.62,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.57,26.57,26.57,0.0,0.0
2018-05-13,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2018-05-20,26.73,26.73,26.73,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.68,26.68,26.68,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2018-05-27,26.78,26.78,26.78,0.0,0.0,26.81,26.81,26.81,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2018-06-03,27.57,27.57,27.57,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.68,27.68,27.68,0.0,0.0
