Date,WisdomTree Earnings 500_etf_Open_average,WisdomTree Earnings 500_etf_Open_max,WisdomTree Earnings 500_etf_Open_min,WisdomTree Earnings 500_etf_Open_volatility,WisdomTree Earnings 500_etf_Open_change,WisdomTree Earnings 500_etf_High_average,WisdomTree Earnings 500_etf_High_max,WisdomTree Earnings 500_etf_High_min,WisdomTree Earnings 500_etf_High_volatility,WisdomTree Earnings 500_etf_High_change,WisdomTree Earnings 500_etf_Low_average,WisdomTree Earnings 500_etf_Low_max,WisdomTree Earnings 500_etf_Low_min,WisdomTree Earnings 500_etf_Low_volatility,WisdomTree Earnings 500_etf_Low_change,WisdomTree Earnings 500_etf_Close_average,WisdomTree Earnings 500_etf_Close_max,WisdomTree Earnings 500_etf_Close_min,WisdomTree Earnings 500_etf_Close_volatility,WisdomTree Earnings 500_etf_Close_change
2018-01-14,32.55,32.55,32.55,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.54,32.54,32.54,0.0,0.0
2018-01-21,32.87,32.87,32.87,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.86,32.86,32.86,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2018-01-28,32.37,32.37,32.37,0.0,0.0,32.38,32.38,32.38,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-02-04,30.05,30.05,30.05,0.0,0.0,30.52,30.52,30.52,0.0,0.0,29.36,29.36,29.36,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-02-11,31.49,31.49,31.49,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.61,31.61,31.61,0.0,0.0
2018-02-18,31.36,31.36,31.36,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2018-02-25,30.63,30.63,30.63,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.62,30.62,30.62,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2018-03-04,31.79,31.79,31.79,0.0,0.0,32.14,32.14,32.14,0.0,0.0,31.75,31.75,31.75,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2018-03-11,31.71,31.71,31.71,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.71,31.71,31.71,0.0,0.0
2018-03-18,30.36,30.36,30.36,0.0,0.0,30.38,30.38,30.38,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.63,29.63,29.63,0.0,0.0
