Date,WisdomTree Europe Hedged SmallCap Equity_Open_average,WisdomTree Europe Hedged SmallCap Equity_Open_max,WisdomTree Europe Hedged SmallCap Equity_Open_min,WisdomTree Europe Hedged SmallCap Equity_Open_volatility,WisdomTree Europe Hedged SmallCap Equity_Open_change,WisdomTree Europe Hedged SmallCap Equity_High_average,WisdomTree Europe Hedged SmallCap Equity_High_max,WisdomTree Europe Hedged SmallCap Equity_High_min,WisdomTree Europe Hedged SmallCap Equity_High_volatility,WisdomTree Europe Hedged SmallCap Equity_High_change,WisdomTree Europe Hedged SmallCap Equity_Low_average,WisdomTree Europe Hedged SmallCap Equity_Low_max,WisdomTree Europe Hedged SmallCap Equity_Low_min,WisdomTree Europe Hedged SmallCap Equity_Low_volatility,WisdomTree Europe Hedged SmallCap Equity_Low_change,WisdomTree Europe Hedged SmallCap Equity_Close_average,WisdomTree Europe Hedged SmallCap Equity_Close_max,WisdomTree Europe Hedged SmallCap Equity_Close_min,WisdomTree Europe Hedged SmallCap Equity_Close_volatility,WisdomTree Europe Hedged SmallCap Equity_Close_change
2018-01-14,32.69,32.69,32.69,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2018-01-21,32.6,32.6,32.6,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.46,32.46,32.46,0.0,0.0
2018-01-28,31.21,31.21,31.21,0.0,0.0,31.33,31.33,31.33,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.35,30.35,30.35,0.0,0.0
2018-02-04,30.68,30.68,30.68,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2018-02-11,31.23,31.23,31.23,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2018-02-18,31.56,31.56,31.56,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.67,31.67,31.67,0.0,0.0
2018-02-25,30.42,30.42,30.42,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2018-03-04,31.41,31.41,31.41,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-03-11,31.02,31.02,31.02,0.0,0.0,31.03,31.03,31.03,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.9,30.9,30.9,0.0,0.0
2018-03-18,30.35,30.35,30.35,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-03-25,30.54,30.54,30.54,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2018-04-01,30.8,30.8,30.8,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2018-04-08,31.1,31.1,31.1,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2018-04-15,31.54,31.54,31.54,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.58,31.58,31.58,0.0,0.0
2018-04-22,31.73,31.73,31.73,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2018-04-29,32.38,32.38,32.38,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2018-05-06,32.18,32.18,32.18,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2018-05-13,32.07,32.07,32.07,0.0,0.0,32.07,32.07,32.07,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2018-05-20,31.62,31.62,31.62,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-05-27,31.74,31.74,31.74,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.68,31.68,31.68,0.0,0.0
