Date,iShares Agency Bond_Open_average,iShares Agency Bond_Open_max,iShares Agency Bond_Open_min,iShares Agency Bond_Open_volatility,iShares Agency Bond_Open_change,iShares Agency Bond_High_average,iShares Agency Bond_High_max,iShares Agency Bond_High_min,iShares Agency Bond_High_volatility,iShares Agency Bond_High_change,iShares Agency Bond_Low_average,iShares Agency Bond_Low_max,iShares Agency Bond_Low_min,iShares Agency Bond_Low_volatility,iShares Agency Bond_Low_change,iShares Agency Bond_Close_average,iShares Agency Bond_Close_max,iShares Agency Bond_Close_min,iShares Agency Bond_Close_volatility,iShares Agency Bond_Close_change
2018-01-14,112.19,112.19,112.19,0.0,0.0,112.29,112.29,112.29,0.0,0.0,112.17,112.17,112.17,0.0,0.0,112.19,112.19,112.19,0.0,0.0
2018-01-21,112.05,112.05,112.05,0.0,0.0,112.17,112.17,112.17,0.0,0.0,112.05,112.05,112.05,0.0,0.0,112.14,112.14,112.14,0.0,0.0
2018-01-28,111.53,111.53,111.53,0.0,0.0,112.01,112.01,112.01,0.0,0.0,111.53,111.53,111.53,0.0,0.0,111.87,111.87,111.87,0.0,0.0
2018-02-04,111.59,111.59,111.59,0.0,0.0,111.69,111.69,111.69,0.0,0.0,111.57,111.57,111.57,0.0,0.0,111.61,111.61,111.61,0.0,0.0
2018-02-11,111.57,111.57,111.57,0.0,0.0,111.57,111.57,111.57,0.0,0.0,111.44,111.44,111.44,0.0,0.0,111.46,111.46,111.46,0.0,0.0
2018-02-18,111.63,111.63,111.63,0.0,0.0,111.63,111.63,111.63,0.0,0.0,111.49,111.49,111.49,0.0,0.0,111.49,111.49,111.49,0.0,0.0
2018-02-25,111.58,111.58,111.58,0.0,0.0,111.58,111.58,111.58,0.0,0.0,111.29,111.29,111.29,0.0,0.0,111.36,111.36,111.36,0.0,0.0
2018-03-04,111.44,111.44,111.44,0.0,0.0,111.45,111.45,111.45,0.0,0.0,111.37,111.37,111.37,0.0,0.0,111.42,111.42,111.42,0.0,0.0
2018-03-11,111.46,111.46,111.46,0.0,0.0,111.59,111.59,111.59,0.0,0.0,111.46,111.46,111.46,0.0,0.0,111.53,111.53,111.53,0.0,0.0
2018-03-18,111.72,111.72,111.72,0.0,0.0,111.75,111.75,111.75,0.0,0.0,111.64,111.64,111.64,0.0,0.0,111.64,111.64,111.64,0.0,0.0
2018-03-25,111.85,111.85,111.85,0.0,0.0,112.02,112.02,112.02,0.0,0.0,111.84,111.84,111.84,0.0,0.0,111.91,111.91,111.91,0.0,0.0
