Date,iShares Core High Dividend_Open_average,iShares Core High Dividend_Open_max,iShares Core High Dividend_Open_min,iShares Core High Dividend_Open_volatility,iShares Core High Dividend_Open_change,iShares Core High Dividend_High_average,iShares Core High Dividend_High_max,iShares Core High Dividend_High_min,iShares Core High Dividend_High_volatility,iShares Core High Dividend_High_change,iShares Core High Dividend_Low_average,iShares Core High Dividend_Low_max,iShares Core High Dividend_Low_min,iShares Core High Dividend_Low_volatility,iShares Core High Dividend_Low_change,iShares Core High Dividend_Close_average,iShares Core High Dividend_Close_max,iShares Core High Dividend_Close_min,iShares Core High Dividend_Close_volatility,iShares Core High Dividend_Close_change
2018-01-14,91.98,91.98,91.98,0.0,0.0,92.11,92.11,92.11,0.0,0.0,91.67,91.67,91.67,0.0,0.0,92.08,92.08,92.08,0.0,0.0
2018-01-21,93.25,93.25,93.25,0.0,0.0,94.2,94.2,94.2,0.0,0.0,93.25,93.25,93.25,0.0,0.0,94.2,94.2,94.2,0.0,0.0
2018-01-28,91.71,91.71,91.71,0.0,0.0,91.79,91.79,91.79,0.0,0.0,90.07,90.07,90.07,0.0,0.0,90.16,90.16,90.16,0.0,0.0
2018-02-04,84.87,84.87,84.87,0.0,0.0,85.44,85.44,85.44,0.0,0.0,82.67,82.67,82.67,0.0,0.0,84.88,84.88,84.88,0.0,0.0
2018-02-11,87.15,87.15,87.15,0.0,0.0,88.36,88.36,88.36,0.0,0.0,87.15,87.15,87.15,0.0,0.0,87.67,87.67,87.67,0.0,0.0
2018-02-18,86.27,86.27,86.27,0.0,0.0,87.26,87.26,87.26,0.0,0.0,86.2,86.2,86.2,0.0,0.0,87.26,87.26,87.26,0.0,0.0
2018-02-25,85.1,85.1,85.1,0.0,0.0,86.22,86.22,86.22,0.0,0.0,85.09,85.09,85.09,0.0,0.0,86.06,86.06,86.06,0.0,0.0
2018-03-04,87.62,87.62,87.62,0.0,0.0,88.11,88.11,88.11,0.0,0.0,87.46,87.46,87.46,0.0,0.0,88.1,88.1,88.1,0.0,0.0
2018-03-11,87.24,87.24,87.24,0.0,0.0,87.77,87.77,87.77,0.0,0.0,87.24,87.24,87.24,0.0,0.0,87.3,87.3,87.3,0.0,0.0
2018-03-18,83.91,83.91,83.91,0.0,0.0,84.16,84.16,84.16,0.0,0.0,82.16,82.16,82.16,0.0,0.0,82.24,82.24,82.24,0.0,0.0
