Date,iShares Global 100_Open_average,iShares Global 100_Open_max,iShares Global 100_Open_volatility,iShares Global 100_Open_change,iShares Global 100_High_average,iShares Global 100_High_max,iShares Global 100_High_volatility,iShares Global 100_High_change,iShares Global 100_Low_average,iShares Global 100_Low_max,iShares Global 100_Low_volatility,iShares Global 100_Low_change,iShares Global 100_Close_average,iShares Global 100_Close_max,iShares Global 100_Close_volatility,iShares Global 100_Close_change
2016-01-03,34.2,34.2,0.0,0.0,34.2,34.2,0.0,0.0,33.67,33.67,0.0,0.0,34.03,34.03,0.0,0.0
2016-01-10,33.33,33.33,0.0,0.0,33.73,33.73,0.0,0.0,33.0,33.0,0.0,0.0,33.26,33.26,0.0,0.0
2016-01-17,33.59,33.59,0.0,0.0,33.78,33.78,0.0,0.0,33.33,33.33,0.0,0.0,33.33,33.33,0.0,0.0
2016-01-24,34.23,34.23,0.0,0.0,34.53,34.53,0.0,0.0,34.18,34.18,0.0,0.0,34.44,34.44,0.0,0.0
2016-01-31,32.92,32.92,0.0,0.0,33.28,33.28,0.0,0.0,32.61,32.61,0.0,0.0,33.21,33.21,0.0,0.0
2016-02-07,32.83,32.83,0.0,0.0,33.13,33.13,0.0,0.0,32.7,32.7,0.0,0.0,33.11,33.11,0.0,0.0
2016-02-14,34.04,34.04,0.0,0.0,34.23,34.23,0.0,0.0,34.04,34.04,0.0,0.0,34.22,34.22,0.0,0.0
2016-02-21,33.9,33.9,0.0,0.0,34.03,34.03,0.0,0.0,33.7,33.7,0.0,0.0,33.7,33.7,0.0,0.0
2016-02-28,34.84,34.84,0.0,0.0,35.16,35.16,0.0,0.0,34.79,34.79,0.0,0.0,35.03,35.03,0.0,0.0
2016-03-06,35.52,35.52,0.0,0.0,35.65,35.65,0.0,0.0,35.41,35.41,0.0,0.0,35.52,35.52,0.0,0.0
2016-03-13,35.85,35.85,0.0,0.0,36.02,36.02,0.0,0.0,35.85,35.85,0.0,0.0,35.98,35.98,0.0,0.0
2016-03-20,35.52,35.52,0.0,0.0,35.66,35.66,0.0,0.0,34.97,34.97,0.0,0.0,35.56,35.56,0.0,0.0
2016-03-27,35.95,35.95,0.0,0.0,36.0,36.0,0.0,0.0,35.81,35.81,0.0,0.0,35.9,35.9,0.0,0.0
2016-04-03,36.03,36.03,0.0,0.0,36.14,36.14,0.0,0.0,35.75,35.75,0.0,0.0,35.75,35.75,0.0,0.0
2016-04-10,36.52,36.52,0.0,0.0,36.93,36.93,0.0,0.0,36.52,36.52,0.0,0.0,36.91,36.91,0.0,0.0
2016-04-17,36.77,36.77,0.0,0.0,36.77,36.77,0.0,0.0,36.61,36.61,0.0,0.0,36.76,36.76,0.0,0.0
2016-04-24,36.26,36.26,0.0,0.0,36.42,36.42,0.0,0.0,36.25,36.25,0.0,0.0,36.41,36.41,0.0,0.0
2016-05-01,35.78,35.78,0.0,0.0,35.95,35.95,0.0,0.0,35.7,35.7,0.0,0.0,35.73,35.73,0.0,0.0
2016-05-08,35.53,35.53,0.0,0.0,36.03,36.03,0.0,0.0,35.53,35.53,0.0,0.0,35.98,35.98,0.0,0.0
2016-05-15,35.8,35.8,0.0,0.0,35.8,35.8,0.0,0.0,35.7,35.7,0.0,0.0,35.7,35.7,0.0,0.0
2016-05-22,36.72,36.72,0.0,0.0,36.73,36.73,0.0,0.0,36.6,36.6,0.0,0.0,36.68,36.68,0.0,0.0
2016-05-29,36.65,36.65,0.0,0.0,36.9,36.9,0.0,0.0,36.63,36.63,0.0,0.0,36.82,36.82,0.0,0.0
2016-06-05,36.05,36.05,0.0,0.0,36.18,36.18,0.0,0.0,35.87,35.87,0.0,0.0,35.9,35.9,0.0,0.0
2016-06-12,36.58,36.58,0.0,0.0,36.67,36.67,0.0,0.0,36.38,36.38,0.0,0.0,36.4,36.4,0.0,0.0
2016-06-19,34.24,34.24,0.0,0.0,34.24,34.24,0.0,0.0,33.7,33.7,0.0,0.0,33.97,33.97,0.0,0.0
2016-06-26,35.79,35.79,0.0,0.0,35.96,35.96,0.0,0.0,35.79,35.79,0.0,0.0,35.93,35.93,0.0,0.0
2016-07-03,36.23,36.23,0.0,0.0,36.38,36.38,0.0,0.0,36.2,36.2,0.0,0.0,36.29,36.29,0.0,0.0
2016-07-10,36.91,36.91,0.0,0.0,37.0,37.0,0.0,0.0,36.84,36.84,0.0,0.0,36.97,36.97,0.0,0.0
2016-07-17,36.88,36.88,0.0,0.0,36.94,36.94,0.0,0.0,36.73,36.73,0.0,0.0,36.81,36.81,0.0,0.0
2016-07-24,37.1,37.1,0.0,0.0,37.15,37.15,0.0,0.0,36.94,36.94,0.0,0.0,37.01,37.01,0.0,0.0
2016-07-31,37.25,37.25,0.0,0.0,37.33,37.33,0.0,0.0,37.24,37.24,0.0,0.0,37.32,37.32,0.0,0.0
2016-08-07,37.62,37.62,0.0,0.0,37.73,37.73,0.0,0.0,37.6,37.6,0.0,0.0,37.67,37.67,0.0,0.0
2016-08-14,37.46,37.46,0.0,0.0,37.63,37.63,0.0,0.0,37.44,37.44,0.0,0.0,37.58,37.58,0.0,0.0
2016-08-21,37.31,37.31,0.0,0.0,37.58,37.58,0.0,0.0,37.31,37.31,0.0,0.0,37.52,37.52,0.0,0.0
2016-08-28,37.72,37.72,0.0,0.0,37.8,37.8,0.0,0.0,37.66,37.66,0.0,0.0,37.76,37.76,0.0,0.0
2016-09-04,36.78,36.78,0.0,0.0,37.49,37.49,0.0,0.0,36.78,36.78,0.0,0.0,37.45,37.45,0.0,0.0
2016-09-11,37.11,37.11,0.0,0.0,37.23,37.23,0.0,0.0,36.91,36.91,0.0,0.0,36.94,36.94,0.0,0.0
2016-09-18,37.15,37.15,0.0,0.0,37.26,37.26,0.0,0.0,37.09,37.09,0.0,0.0,37.12,37.12,0.0,0.0
2016-09-25,37.45,37.45,0.0,0.0,37.49,37.49,0.0,0.0,37.33,37.33,0.0,0.0,37.42,37.42,0.0,0.0
2016-10-02,37.62,37.62,0.0,0.0,37.8,37.8,0.0,0.0,37.62,37.62,0.0,0.0,37.7,37.7,0.0,0.0
2016-10-09,37.04,37.04,0.0,0.0,37.13,37.13,0.0,0.0,36.98,36.98,0.0,0.0,36.99,36.99,0.0,0.0
2016-10-16,37.42,37.42,0.0,0.0,37.42,37.42,0.0,0.0,37.26,37.26,0.0,0.0,37.33,37.33,0.0,0.0
2016-10-23,37.14,37.14,0.0,0.0,37.2,37.2,0.0,0.0,37.06,37.06,0.0,0.0,37.06,37.06,0.0,0.0
2016-10-30,36.68,36.68,0.0,0.0,37.05,37.05,0.0,0.0,36.68,36.68,0.0,0.0,37.05,37.05,0.0,0.0
2016-11-06,37.23,37.23,0.0,0.0,37.23,37.23,0.0,0.0,36.98,36.98,0.0,0.0,37.09,37.09,0.0,0.0
2016-11-13,37.23,37.23,0.0,0.0,37.44,37.44,0.0,0.0,37.23,37.23,0.0,0.0,37.44,37.44,0.0,0.0
2016-11-20,37.48,37.48,0.0,0.0,37.53,37.53,0.0,0.0,37.38,37.38,0.0,0.0,37.4,37.4,0.0,0.0
2016-11-27,37.58,37.58,0.0,0.0,37.74,37.74,0.0,0.0,37.58,37.58,0.0,0.0,37.7,37.7,0.0,0.0
2016-12-04,38.77,38.77,0.0,0.0,38.9,38.9,0.0,0.0,38.75,38.75,0.0,0.0,38.8,38.8,0.0,0.0
2016-12-11,38.93,38.93,0.0,0.0,39.04,39.04,0.0,0.0,38.9,38.9,0.0,0.0,38.95,38.95,0.0,0.0
2016-12-18,38.56,38.56,0.0,0.0,38.57,38.57,0.0,0.0,38.51,38.51,0.0,0.0,38.55,38.55,0.0,0.0
2016-12-25,38.62,38.62,0.0,0.0,38.62,38.62,0.0,0.0,38.29,38.29,0.0,0.0,38.36,38.36,0.0,0.0
2017-01-01,38.93,38.93,0.0,0.0,38.96,38.96,0.0,0.0,38.84,38.84,0.0,0.0,38.91,38.91,0.0,0.0
2017-01-08,38.98,38.98,0.0,0.0,39.03,39.03,0.0,0.0,38.95,38.95,0.0,0.0,39.02,39.02,0.0,0.0
2017-01-15,38.78,38.78,0.0,0.0,38.83,38.83,0.0,0.0,38.68,38.68,0.0,0.0,38.8,38.8,0.0,0.0
2017-01-22,38.97,38.97,0.0,0.0,38.97,38.97,0.0,0.0,38.8,38.8,0.0,0.0,38.94,38.94,0.0,0.0
2017-01-29,39.17,39.17,0.0,0.0,39.23,39.23,0.0,0.0,39.15,39.15,0.0,0.0,39.21,39.21,0.0,0.0
2017-02-05,39.61,39.61,0.0,0.0,39.75,39.75,0.0,0.0,39.61,39.61,0.0,0.0,39.68,39.68,0.0,0.0
2017-02-12,39.89,39.89,0.0,0.0,40.05,40.05,0.0,0.0,39.89,39.89,0.0,0.0,40.0,40.0,0.0,0.0
