Date,iShares Global Utilities_Open_average,iShares Global Utilities_Open_max,iShares Global Utilities_Open_min,iShares Global Utilities_Open_volatility,iShares Global Utilities_Open_change,iShares Global Utilities_High_average,iShares Global Utilities_High_max,iShares Global Utilities_High_min,iShares Global Utilities_High_volatility,iShares Global Utilities_High_change,iShares Global Utilities_Low_average,iShares Global Utilities_Low_max,iShares Global Utilities_Low_min,iShares Global Utilities_Low_volatility,iShares Global Utilities_Low_change,iShares Global Utilities_Close_average,iShares Global Utilities_Close_max,iShares Global Utilities_Close_min,iShares Global Utilities_Close_volatility,iShares Global Utilities_Close_change
2018-01-14,48.63,48.63,48.63,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2018-01-21,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2018-01-28,47.81,47.81,47.81,0.0,0.0,47.92,47.92,47.92,0.0,0.0,46.71,46.71,46.71,0.0,0.0,46.71,46.71,46.71,0.0,0.0
2018-02-04,46.16,46.16,46.16,0.0,0.0,46.49,46.49,46.49,0.0,0.0,45.93,45.93,45.93,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2018-02-11,47.19,47.19,47.19,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.19,47.19,47.19,0.0,0.0,47.58,47.58,47.58,0.0,0.0
2018-02-18,48.08,48.08,48.08,0.0,0.0,48.08,48.08,48.08,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.92,47.92,47.92,0.0,0.0
2018-02-25,46.42,46.42,46.42,0.0,0.0,47.36,47.36,47.36,0.0,0.0,46.42,46.42,46.42,0.0,0.0,47.26,47.26,47.26,0.0,0.0
2018-03-04,47.55,47.55,47.55,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.53,47.53,47.53,0.0,0.0
2018-03-11,48.22,48.22,48.22,0.0,0.0,48.24,48.24,48.24,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.89,47.89,47.89,0.0,0.0
2018-03-18,47.73,47.73,47.73,0.0,0.0,47.97,47.97,47.97,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2018-03-25,48.8,48.8,48.8,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2018-04-01,49.17,49.17,49.17,0.0,0.0,49.47,49.47,49.47,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.15,49.15,49.15,0.0,0.0
