Date,iShares US Consumer ServicesEtf_Open_average,iShares US Consumer ServicesEtf_Open_max,iShares US Consumer ServicesEtf_Open_min,iShares US Consumer ServicesEtf_Open_volatility,iShares US Consumer ServicesEtf_Open_change,iShares US Consumer ServicesEtf_High_average,iShares US Consumer ServicesEtf_High_max,iShares US Consumer ServicesEtf_High_min,iShares US Consumer ServicesEtf_High_volatility,iShares US Consumer ServicesEtf_High_change,iShares US Consumer ServicesEtf_Low_average,iShares US Consumer ServicesEtf_Low_max,iShares US Consumer ServicesEtf_Low_min,iShares US Consumer ServicesEtf_Low_volatility,iShares US Consumer ServicesEtf_Low_change,iShares US Consumer ServicesEtf_Close_average,iShares US Consumer ServicesEtf_Close_max,iShares US Consumer ServicesEtf_Close_min,iShares US Consumer ServicesEtf_Close_volatility,iShares US Consumer ServicesEtf_Close_change
2018-01-14,191.72,191.72,191.72,0.0,0.0,191.89,191.89,191.89,0.0,0.0,190.68,190.68,190.68,0.0,0.0,191.89,191.89,191.89,0.0,0.0
2018-01-21,196.34,196.34,196.34,0.0,0.0,197.49,197.49,197.49,0.0,0.0,195.84,195.84,195.84,0.0,0.0,197.46,197.46,197.46,0.0,0.0
2018-01-28,194.21,194.21,194.21,0.0,0.0,195.18,195.18,195.18,0.0,0.0,191.11,191.11,191.11,0.0,0.0,191.14,191.14,191.14,0.0,0.0
2018-02-04,182.21,182.21,182.21,0.0,0.0,182.92,182.92,182.92,0.0,0.0,175.23,175.23,175.23,0.0,0.0,181.28,181.28,181.28,0.0,0.0
2018-02-11,189.01,189.01,189.01,0.0,0.0,190.67,190.67,190.67,0.0,0.0,188.99,188.99,188.99,0.0,0.0,189.39,189.39,189.39,0.0,0.0
2018-02-18,188.39,188.39,188.39,0.0,0.0,189.88,189.88,189.88,0.0,0.0,187.79,187.79,187.79,0.0,0.0,189.88,189.88,189.88,0.0,0.0
2018-02-25,183.37,183.37,183.37,0.0,0.0,186.11,186.11,186.11,0.0,0.0,182.86,182.86,182.86,0.0,0.0,186.02,186.02,186.02,0.0,0.0
2018-03-04,189.52,189.52,189.52,0.0,0.0,191.48,191.48,191.48,0.0,0.0,189.11,189.11,189.11,0.0,0.0,191.48,191.48,191.48,0.0,0.0
2018-03-11,189.71,189.71,189.71,0.0,0.0,190.48,190.48,190.48,0.0,0.0,189.63,189.63,189.63,0.0,0.0,189.63,189.63,189.63,0.0,0.0
2018-03-18,183.93,183.93,183.93,0.0,0.0,184.2,184.2,184.2,0.0,0.0,179.98,179.98,179.98,0.0,0.0,180.01,180.01,180.01,0.0,0.0
2018-03-25,180.07,180.07,180.07,0.0,0.0,182.93,182.93,182.93,0.0,0.0,179.08,179.08,179.08,0.0,0.0,182.32,182.32,182.32,0.0,0.0
