Date,AAXN_stock_Open_average,AAXN_stock_Open_max,AAXN_stock_Open_min,AAXN_stock_Open_volatility,AAXN_stock_Open_change,AAXN_stock_High_average,AAXN_stock_High_max,AAXN_stock_High_min,AAXN_stock_High_volatility,AAXN_stock_High_change,AAXN_stock_Low_average,AAXN_stock_Low_max,AAXN_stock_Low_min,AAXN_stock_Low_volatility,AAXN_stock_Low_change,AAXN_stock_Close_average,AAXN_stock_Close_max,AAXN_stock_Close_min,AAXN_stock_Close_volatility,AAXN_stock_Close_change,AAXN_stock_Volume_average,AAXN_stock_Volume_max,AAXN_stock_Volume_min,AAXN_stock_Volume_volatility,AAXN_stock_Volume_change
2016-01-03,17.18,17.92,16.8,1.120000000000001,-0.1999999999999993,17.462,18.37,17.12,1.25,0.0,16.652,17.4,16.24,1.1600000000000001,-0.26000000000000156,16.872,17.64,16.28,1.3599999999999994,-0.5499999999999972,1800536,3030576,1242020,1788556,-167961
2016-01-10,15.75,16.5,14.7,1.8000000000000007,-1.8000000000000007,16.11,16.72,15.21,1.509999999999998,-1.509999999999998,15.13,15.58,14.24,1.3399999999999999,-1.33,15.48,16.02,14.63,1.3899999999999988,-1.2299999999999986,1625137,2356133,1227017,1129116,737867
2016-01-17,15.175,16.06,14.15,1.9099999999999984,1.429999999999998,15.8,16.68,14.89,1.7899999999999991,1.3200000000000003,14.6525,15.58,13.56,2.0199999999999996,1.0899999999999999,15.1725,15.66,14.5,1.1600000000000001,0.9299999999999997,2240729,3081199,1361820,1719379,-123572
2016-01-24,15.234,15.63,14.86,0.7700000000000014,-0.41000000000000014,15.58,15.87,15.35,0.5199999999999996,0.05000000000000071,14.83,15.12,14.72,0.3999999999999986,0.1399999999999988,15.242,15.85,14.8,1.049999999999999,0.370000000000001,1184690,1531892,776859,755033,-364179
2016-01-31,15.178,15.64,14.8,0.8399999999999999,0.47000000000000064,15.584,15.95,15.15,0.7999999999999989,0.3999999999999986,14.734,15.18,14.22,0.9599999999999991,0.379999999999999,15.314,15.8,14.75,1.0500000000000007,0.09999999999999964,1200550,1617137,905167,711970,250702
2016-02-07,15.286,15.55,15.09,0.46000000000000085,0.3100000000000005,15.684000000000001,16.19,15.38,0.8100000000000005,0.29999999999999893,14.996,15.39,14.72,0.6699999999999999,0.27999999999999936,15.414,15.48,15.37,0.11000000000000121,0.049999999999998934,1049373,1190447,802977,387470,-387470
2016-02-14,16.565,17.2,15.63,1.5699999999999985,1.4000000000000004,17.025,17.39,16.35,1.0399999999999991,0.7799999999999976,16.240000000000002,16.71,15.41,1.3000000000000007,1.3000000000000007,16.92,17.13,16.32,0.8099999999999987,0.8000000000000007,1058293,1460060,801626,658434,-94669
2016-02-21,17.193333333333335,17.51,16.8,0.7100000000000009,0.2700000000000031,17.416666666666668,17.8,17.23,0.5700000000000003,0.19000000000000128,16.988333333333333,17.51,16.3,1.2100000000000009,0.46000000000000085,17.28,17.51,17.0,0.5100000000000016,0.25,1047159,1327488,684338,643150,58864
2016-02-28,19.588,20.52,19.11,1.4100000000000001,-1.0799999999999983,19.926000000000002,20.69,19.57,1.120000000000001,-0.8399999999999999,19.07,19.3,18.52,0.7800000000000011,-0.129999999999999,19.451999999999998,19.52,19.38,0.14000000000000057,0.07000000000000028,2874904,7326641,1260153,6066488,-5811146
2016-03-06,19.596,19.81,19.4,0.41000000000000014,0.060000000000002274,20.05,20.58,19.72,0.8599999999999994,-0.8599999999999994,19.328,19.52,19.16,0.35999999999999943,-0.120000000000001,19.558,19.85,19.33,0.5200000000000031,-0.3200000000000003,1184900,2115760,666646,1449114,-1303565
2016-03-13,18.864,19.45,18.22,1.2300000000000004,-0.46999999999999886,19.192,19.53,18.83,0.7000000000000028,-0.3200000000000003,18.612000000000002,19.16,18.2,0.9600000000000009,-0.21999999999999886,18.832,19.33,18.37,0.9599999999999973,-0.25,1215843,1467021,794468,672553,672553
2016-03-20,18.7,19.0,18.28,0.7199999999999989,-0.7199999999999989,18.9625,19.47,18.41,1.0599999999999987,-1.0599999999999987,18.490000000000002,18.78,18.1,0.6799999999999997,-0.6799999999999997,18.585,18.96,18.27,0.6900000000000013,-0.6900000000000013,762301,965174,632846,332328,-179148
2016-03-27,19.078,19.72,18.32,1.3999999999999986,1.1000000000000014,19.490000000000002,19.89,18.6,1.2899999999999991,1.0,18.856,19.42,18.2,1.2200000000000024,0.8000000000000007,19.226,19.63,18.31,1.3200000000000003,0.740000000000002,977469,1381443,471271,910172,533271
2016-04-03,18.668,19.0,18.47,0.5300000000000011,-0.14000000000000057,18.904,19.21,18.66,0.5500000000000007,-0.28000000000000114,18.428,18.6,18.24,0.360000000000003,-0.360000000000003,18.55,18.68,18.3,0.379999999999999,-0.3200000000000003,722552,835084,641565,193519,-175066
2016-04-10,18.95,19.57,18.46,1.1099999999999994,0.75,19.304,19.73,18.77,0.9600000000000009,0.620000000000001,18.774,19.28,18.39,0.8900000000000006,0.5,19.054,19.52,18.46,1.0599999999999987,0.6799999999999997,623715,886286,481923,404363,-113757
2016-04-17,18.548000000000002,19.01,18.0,1.0100000000000016,0.5399999999999991,18.914,19.1,18.8,0.3000000000000007,-0.03999999999999915,18.308,18.57,17.8,0.7699999999999996,0.6499999999999986,18.6,18.67,18.49,0.18000000000000327,0.18000000000000327,1056059,2237654,642091,1595563,-1595563
2016-04-24,18.312,18.52,18.13,0.39000000000000057,-0.39000000000000057,18.624,18.72,18.48,0.23999999999999844,-0.1999999999999993,18.104,18.22,18.03,0.18999999999999773,0.0799999999999983,18.312,18.61,18.11,0.5,0.11000000000000298,688799,838216,551553,286663,-212218
