Date,BREW_stock_Open_average,BREW_stock_Open_max,BREW_stock_Open_min,BREW_stock_Open_volatility,BREW_stock_Open_change,BREW_stock_High_average,BREW_stock_High_max,BREW_stock_High_min,BREW_stock_High_volatility,BREW_stock_High_change,BREW_stock_Low_average,BREW_stock_Low_max,BREW_stock_Low_min,BREW_stock_Low_volatility,BREW_stock_Low_change,BREW_stock_Close_average,BREW_stock_Close_max,BREW_stock_Close_min,BREW_stock_Close_volatility,BREW_stock_Close_change,BREW_stock_Volume_average,BREW_stock_Volume_max,BREW_stock_Volume_min,BREW_stock_Volume_volatility,BREW_stock_Volume_change
2016-01-03,8.02,8.25,7.57,0.6799999999999997,-0.6799999999999997,8.134,8.34,7.7,0.6399999999999997,-0.6399999999999997,7.76,8.12,7.12,0.9999999999999991,-0.8999999999999995,7.8420000000000005,8.25,7.14,1.1100000000000003,-1.0700000000000012,45869,77868,20663,57205,-14283
2016-01-10,7.172,7.41,7.04,0.3700000000000001,-0.16999999999999993,7.472,7.8,7.32,0.47999999999999954,-0.47999999999999954,6.978,7.03,6.91,0.1200000000000001,-0.040000000000000036,7.154,7.31,7.04,0.2699999999999996,-0.23999999999999932,59621,123323,34836,88487,10323
2016-01-17,7.5625,8.16,6.95,1.21,1.0200000000000005,7.945,8.48,7.19,1.29,1.29,7.355,8.07,6.8,1.2700000000000005,1.12,7.765,8.28,7.02,1.2599999999999998,1.2599999999999998,50289,97104,27143,69961,8924
2016-01-24,8.178,8.31,7.94,0.3700000000000001,0.11000000000000121,8.41,8.63,8.23,0.40000000000000036,0.40000000000000036,8.034,8.31,7.88,0.4300000000000006,0.4300000000000006,8.222000000000001,8.57,7.9,0.6699999999999999,0.6699999999999999,21895,27732,17077,10655,7397
2016-01-31,8.344,8.56,8.22,0.33999999999999986,-0.2400000000000002,8.484,8.59,8.3,0.28999999999999915,-0.009999999999999787,8.154,8.27,8.0,0.2699999999999996,-0.2699999999999996,8.238,8.36,8.02,0.33999999999999986,-0.2900000000000009,23384,37857,15625,22232,22232
2016-02-07,7.804,7.98,7.62,0.3600000000000003,-0.16000000000000014,7.936,8.09,7.81,0.28000000000000025,-0.1200000000000001,7.652,7.74,7.51,0.23000000000000043,-0.040000000000000036,7.779999999999999,7.89,7.72,0.16999999999999993,-0.1299999999999999,17079,25736,11694,14042,-7322
2016-02-14,8.16,8.34,8.0,0.33999999999999986,0.10999999999999943,8.3725,8.5,8.25,0.25,0.08000000000000007,8.025,8.14,7.88,0.2600000000000007,0.1800000000000006,8.21,8.32,8.13,0.1899999999999995,-0.13000000000000078,25439,36033,19649,16384,-4753
2016-02-21,8.148,8.27,7.96,0.3099999999999996,-0.07000000000000028,8.292,8.46,8.14,0.3200000000000003,-0.03999999999999915,8.0,8.24,7.6,0.6400000000000006,-0.16000000000000014,8.182,8.31,8.1,0.21000000000000085,-0.07000000000000028,16526,23713,11637,12076,-7667
2016-02-28,8.636,9.38,8.24,1.1400000000000006,0.629999999999999,8.85,9.38,8.35,1.0300000000000011,0.46999999999999886,8.394,8.77,8.16,0.6099999999999994,0.5299999999999994,8.656,9.02,8.27,0.75,0.5300000000000011,45237,93582,20928,72654,2019
2016-03-06,8.418,8.7,8.2,0.5,-0.28999999999999915,8.532,8.84,8.42,0.41999999999999993,-0.3200000000000003,8.254,8.41,8.12,0.2900000000000009,-0.08999999999999986,8.324,8.49,8.13,0.35999999999999943,-0.09999999999999964,35780,75424,9051,66373,28633
