Date,BXMTStock_Open_average,BXMTStock_Open_max,BXMTStock_Open_min,BXMTStock_Open_volatility,BXMTStock_Open_change,BXMTStock_High_average,BXMTStock_High_max,BXMTStock_High_min,BXMTStock_High_volatility,BXMTStock_High_change,BXMTStock_Low_average,BXMTStock_Low_max,BXMTStock_Low_min,BXMTStock_Low_volatility,BXMTStock_Low_change,BXMTStock_Close_average,BXMTStock_Close_max,BXMTStock_Close_min,BXMTStock_Close_volatility,BXMTStock_Close_change,BXMTStock_Volume_average,BXMTStock_Volume_max,BXMTStock_Volume_min,BXMTStock_Volume_volatility,BXMTStock_Volume_change
2016-01-03,26.612000000000002,26.71,26.51,0.1999999999999993,-0.129999999999999,26.828,27.02,26.58,0.4400000000000013,-0.19000000000000128,26.396,26.69,26.11,0.5800000000000018,-0.16000000000000014,26.568,26.94,26.13,0.8100000000000023,-0.38000000000000256,432013,500193,356077,144116,-86607
2016-01-10,25.564,26.19,24.81,1.3800000000000026,-1.3800000000000026,25.678,26.41,24.81,1.6000000000000014,-1.6000000000000014,24.76,25.88,23.87,2.009999999999998,-1.9399999999999977,25.166,25.98,24.36,1.620000000000001,-1.620000000000001,901432,1457757,437188,1020569,586715
2016-01-17,23.7075,24.44,23.38,1.0600000000000023,-0.9100000000000001,24.167499999999997,24.65,23.58,1.0700000000000003,0.10999999999999943,23.02,23.66,22.13,1.5300000000000011,-0.16000000000000014,23.68,24.36,23.25,1.1099999999999994,0.6499999999999986,1299738,2253624,763433,1490191,-144882
2016-01-24,24.082,24.54,23.5,1.0399999999999991,0.23000000000000043,24.486,24.92,24.32,0.6000000000000014,0.5800000000000018,23.768,24.43,23.34,1.0899999999999999,1.0399999999999991,24.1,24.78,23.4,1.3800000000000026,1.3800000000000026,648807,828731,518764,309967,63311
2016-01-31,24.592,24.79,24.32,0.46999999999999886,-0.28999999999999915,24.830000000000002,25.16,24.57,0.5899999999999999,-0.1999999999999993,24.256,24.45,23.98,0.46999999999999886,-0.25,24.532,24.84,24.36,0.4800000000000004,-0.05000000000000071,436924,521925,346684,175241,-58367
2016-02-07,23.39,24.22,22.74,1.4800000000000004,-1.4800000000000004,23.588,24.22,23.1,1.1199999999999974,-1.0199999999999996,22.924,23.24,22.49,0.75,-0.5999999999999979,23.23,23.86,22.66,1.1999999999999993,-0.8099999999999987,732975,1064490,547998,516492,-255146
2016-02-14,23.810000000000002,24.25,23.23,1.0199999999999996,0.7699999999999996,24.177500000000002,24.43,23.61,0.8200000000000003,0.740000000000002,23.4025,23.9,22.79,1.1099999999999994,0.7600000000000016,23.990000000000002,24.21,23.57,0.6400000000000006,0.6400000000000006,644011,891987,354837,537150,-480309
2016-02-21,24.846,26.12,24.09,2.030000000000001,1.0,25.018,26.12,24.38,1.740000000000002,0.7899999999999991,24.212,24.66,23.6,1.0599999999999987,0.39000000000000057,24.528,25.02,24.16,0.8599999999999994,0.21999999999999886,440031,579553,266755,312798,217684
2016-02-28,25.314,25.91,24.7,1.2100000000000009,1.2100000000000009,25.7,26.34,24.94,1.3999999999999986,1.3999999999999986,25.166,25.77,24.57,1.1999999999999993,1.1999999999999993,25.578,26.19,24.74,1.4500000000000028,1.4500000000000028,554465,941847,384769,557078,126687
2016-03-06,25.98,26.38,25.7,0.6799999999999997,-0.5300000000000011,26.326,26.86,25.9,0.9600000000000009,0.34999999999999787,25.656,26.07,25.34,0.7300000000000004,-0.39000000000000057,26.01,26.59,25.46,1.129999999999999,0.08999999999999986,514256,773027,360939,412088,283414
