Date,CSCO_stock_Open_average,CSCO_stock_Open_max,CSCO_stock_Open_min,CSCO_stock_Open_volatility,CSCO_stock_Open_change,CSCO_stock_High_average,CSCO_stock_High_max,CSCO_stock_High_min,CSCO_stock_High_volatility,CSCO_stock_High_change,CSCO_stock_Low_average,CSCO_stock_Low_max,CSCO_stock_Low_min,CSCO_stock_Low_volatility,CSCO_stock_Low_change,CSCO_stock_Close_average,CSCO_stock_Close_max,CSCO_stock_Close_min,CSCO_stock_Close_volatility,CSCO_stock_Close_change,CSCO_stock_Volume_average,CSCO_stock_Volume_max,CSCO_stock_Volume_min,CSCO_stock_Volume_volatility,CSCO_stock_Volume_change
2016-01-03,26.009999999999998,26.54,25.49,1.0500000000000007,-0.8399999999999999,26.118,26.66,25.63,1.0300000000000011,-0.7900000000000027,25.544,26.18,24.72,1.4600000000000009,-1.1600000000000001,25.78,26.41,24.78,1.629999999999999,-1.629999999999999,32099369,43235368,22024912,21210456,-7217372
2016-01-10,24.896,25.51,23.93,1.5800000000000018,-1.0,25.152,25.57,24.43,1.1400000000000006,-0.9100000000000001,24.512,25.03,23.57,1.4600000000000009,-1.3599999999999994,24.7,25.35,23.62,1.7300000000000004,-1.6499999999999986,40579211,64092780,30122412,33970368,31745876
2016-01-17,23.4725,23.8,23.09,0.7100000000000009,-0.1999999999999993,23.6575,24.03,23.45,0.5800000000000018,-0.39000000000000057,22.98,23.59,22.47,1.120000000000001,-0.6000000000000014,23.255,23.85,22.9,0.9500000000000028,-0.4800000000000004,59370702,83632352,46267872,37364480,2515496
2016-01-24,23.488,23.73,23.24,0.490000000000002,0.019999999999999574,23.772,23.9,23.52,0.379999999999999,0.28000000000000114,23.172,23.3,22.98,0.3200000000000003,0.05999999999999872,23.444,23.79,23.11,0.6799999999999997,0.6199999999999974,37081680,64066120,24654016,39412104,-24373568
2016-01-31,23.292,23.51,23.09,0.4200000000000017,0.05000000000000071,23.446,23.66,23.18,0.4800000000000004,0.08999999999999986,22.855999999999998,23.23,22.58,0.6500000000000021,-0.4200000000000017,23.168,23.54,22.83,0.7100000000000009,-0.5899999999999999,30872584,36203660,24006388,12197272,8634588
2016-02-07,23.468,24.89,22.6,2.289999999999999,2.2600000000000016,23.868,25.36,22.86,2.5,2.34,23.216,24.52,22.46,2.0599999999999987,2.039999999999999,23.576,25.11,22.51,2.599999999999998,2.1799999999999997,49791005,92695952,30767214,61928738,10911464
2016-02-14,26.0375,26.44,25.27,1.1700000000000017,1.0,26.4275,26.59,25.98,0.6099999999999994,0.5799999999999983,25.95,26.28,25.19,1.0899999999999999,1.0599999999999987,26.32,26.55,25.84,0.7100000000000009,0.7100000000000009,34346573,40401696,28791720,11609976,-11609976
2016-02-21,26.505,26.87,25.89,0.9800000000000004,-0.4299999999999997,26.611666666666668,26.91,26.33,0.5800000000000018,-0.46999999999999886,26.181666666666665,26.44,25.65,0.7900000000000027,0.019999999999999574,26.42,26.63,26.12,0.509999999999998,-0.18999999999999773,21276377,28097508,15223721,12873787,-9384407
2016-02-28,26.706,26.95,26.42,0.5299999999999976,0.48999999999999844,26.884,26.97,26.65,0.3200000000000003,0.3100000000000023,26.448,26.67,26.15,0.5200000000000031,0.5200000000000031,26.716,26.9,26.18,0.7199999999999989,0.620000000000001,21492131,25245390,19002244,6243146,-5333246
2016-03-06,27.274,27.82,26.58,1.240000000000002,1.240000000000002,27.634,27.98,27.18,0.8000000000000007,0.7300000000000004,26.968,27.67,26.33,1.3400000000000034,1.3400000000000034,27.408,27.86,27.05,0.8099999999999987,0.7199999999999989,27892278,38890208,21549496,17340712,323588
