Date,ESGR_stock_Open_average,ESGR_stock_Open_max,ESGR_stock_Open_min,ESGR_stock_Open_volatility,ESGR_stock_Open_change,ESGR_stock_High_average,ESGR_stock_High_max,ESGR_stock_High_min,ESGR_stock_High_volatility,ESGR_stock_High_change,ESGR_stock_Low_average,ESGR_stock_Low_max,ESGR_stock_Low_min,ESGR_stock_Low_volatility,ESGR_stock_Low_change,ESGR_stock_Close_average,ESGR_stock_Close_max,ESGR_stock_Close_min,ESGR_stock_Close_volatility,ESGR_stock_Close_change,ESGR_stock_Volume_average,ESGR_stock_Volume_max,ESGR_stock_Volume_min,ESGR_stock_Volume_volatility,ESGR_stock_Volume_change
2016-01-03,150.03,151.4,149.31,2.0900000000000034,0.18999999999999773,151.036,151.71,150.54,1.170000000000016,-0.06999999999999318,149.16,149.52,148.05,1.4699999999999989,1.4699999999999989,150.35,151.36,149.9,1.460000000000008,-0.14000000000001478,44506,72874,26953,45921,-17871
2016-01-10,150.32399999999998,151.42,148.88,2.539999999999992,-1.7800000000000011,151.852,152.9,150.93,1.9699999999999989,0.27000000000001023,149.478,149.77,148.88,0.8900000000000148,-0.6500000000000057,150.762,151.53,150.12,1.4099999999999966,0.7800000000000011,40558,60650,28424,32226,28626
2016-01-17,150.4725,151.55,149.35,2.200000000000017,-0.5600000000000023,151.27,152.31,150.58,1.7299999999999898,-1.3199999999999932,148.9325,149.49,147.94,1.5500000000000114,0.3400000000000034,150.185,150.37,149.95,0.4200000000000159,-0.0800000000000125,54055,95954,35426,60528,10561
2016-01-24,150.862,151.61,149.65,1.960000000000008,1.960000000000008,153.33,159.56,150.58,8.97999999999999,8.97999999999999,150.17,151.54,149.65,1.8899999999999864,1.8899999999999864,152.526,159.55,149.88,9.670000000000016,9.52000000000001,40029,61899,27011,34888,16067
2016-01-31,152.816,158.74,148.28,10.460000000000008,-10.460000000000008,153.81,159.12,150.2,8.920000000000016,-6.349999999999994,149.062,154.31,144.56,9.75,-9.75,150.13,155.19,145.46,9.72999999999999,-9.72999999999999,54583,102587,29639,72948,8122
2016-02-07,145.71,147.02,143.98,3.0400000000000205,2.670000000000016,148.274,152.18,145.19,6.990000000000009,6.990000000000009,144.8,146.65,142.35,4.300000000000011,2.740000000000009,146.952,151.35,144.13,7.219999999999999,7.219999999999999,46955,91152,24571,66581,-64666
2016-02-14,153.2225,154.0,152.56,1.4399999999999977,1.3000000000000114,155.1975,158.09,152.7,5.390000000000015,2.3000000000000114,152.345,153.59,151.26,2.3300000000000125,2.3300000000000125,153.315,153.85,152.12,1.7299999999999898,1.7299999999999898,26225,43322,15883,27439,4365
2016-02-21,155.88333333333333,159.0,153.97,5.030000000000001,2.2299999999999898,157.615,159.8,155.75,4.050000000000011,0.3100000000000023,154.92000000000002,157.1,152.47,4.6299999999999955,3.8799999999999955,156.4,159.0,154.46,4.539999999999992,2.469999999999999,23001,35771,0,35771,-23048
2016-02-28,159.6,160.9,158.31,2.5900000000000034,0.18000000000000682,160.628,162.5,159.1,3.4000000000000057,-0.6899999999999977,157.544,158.54,156.41,2.1299999999999955,-0.3100000000000023,159.338,161.21,158.05,3.1599999999999966,1.049999999999983,27400,31302,24249,7053,-3581
2016-03-06,160.36599999999999,161.41,158.22,3.1899999999999977,2.6899999999999977,162.176,164.69,160.0,4.689999999999998,4.689999999999998,159.572,160.85,158.22,2.6299999999999955,2.6299999999999955,161.162,162.77,159.99,2.780000000000001,2.780000000000001,28042,34910,20261,14649,4086
2016-03-13,161.702,163.3,160.35,2.950000000000017,-0.5500000000000114,162.838,163.5,161.84,1.6599999999999966,-1.6599999999999966,160.606,161.99,158.33,3.6599999999999966,-3.6599999999999966,161.496,162.9,158.82,4.0800000000000125,-4.0800000000000125,31396,64344,16814,47530,40663
2016-03-20,157.9975,159.12,157.45,1.670000000000016,-1.670000000000016,158.70749999999998,160.84,157.45,3.390000000000015,-3.390000000000015,157.07,158.45,155.74,2.7099999999999795,-2.7099999999999795,157.71,159.11,156.07,3.0400000000000205,-3.0400000000000205,25133,30511,21473,9038,-9038
2016-03-27,160.304,162.61,156.77,5.840000000000003,4.819999999999993,162.72,164.91,158.74,6.1699999999999875,6.1699999999999875,159.656,161.85,156.77,5.079999999999984,4.819999999999993,162.098,164.87,157.4,7.469999999999999,7.469999999999999,25089,30245,19623,10622,-8815
2016-04-03,161.138,164.68,159.02,5.659999999999997,-5.659999999999997,162.338,164.68,159.96,4.719999999999999,-4.719999999999999,159.772,162.13,158.09,4.039999999999992,-4.039999999999992,160.65200000000002,162.36,159.22,3.140000000000015,-3.140000000000015,24563,33711,19133,14578,-2550
2016-04-10,161.138,164.06,159.04,5.02000000000001,2.490000000000009,162.22,164.14,159.78,4.359999999999985,2.609999999999985,159.502,161.92,158.12,3.799999999999983,1.740000000000009,161.704,163.49,159.3,4.189999999999998,2.569999999999993,29965,42001,18258,23743,23743
2016-04-17,161.494,163.22,159.63,3.5900000000000034,-1.3700000000000045,162.548,163.22,161.72,1.5,-0.46000000000000796,159.404,159.85,158.92,0.9300000000000068,0.3100000000000023,161.42600000000002,162.8,159.36,3.4399999999999977,-1.049999999999983,21545,35538,9113,26425,-8002
2016-04-24,159.902,161.16,158.5,2.6599999999999966,-1.9099999999999966,160.904,162.47,159.47,3.0,-1.3300000000000125,158.614,160.15,156.79,3.3600000000000136,-2.210000000000008,159.65800000000002,161.78,158.4,3.3799999999999955,-0.8000000000000114,28010,35239,20925,14314,11715
2016-05-01,158.65,160.66,157.77,2.8899999999999864,-0.1799999999999784,160.444,161.5,158.69,2.8100000000000023,-2.5,157.858,158.42,157.24,1.1799999999999784,-1.1799999999999784,159.04,160.65,158.46,2.1899999999999977,-2.1899999999999977,18351,21912,14796,7116,940
2016-05-08,158.072,159.27,156.63,2.640000000000015,-2.3600000000000136,160.044,161.54,158.3,3.2399999999999807,1.6699999999999875,156.672,157.85,155.03,2.819999999999993,-2.819999999999993,157.368,158.61,156.2,2.410000000000025,-1.920000000000016,16977,19529,9207,10322,9400
2016-05-15,155.858,157.54,154.16,3.3799999999999955,-1.7299999999999898,157.61599999999999,159.94,155.7,4.240000000000009,1.6699999999999875,154.3,156.44,152.54,3.9000000000000057,-2.079999999999984,155.528,157.1,154.17,2.930000000000007,-1.3100000000000023,22161,30246,11336,18910,9245
2016-05-22,155.584,156.8,154.5,2.3000000000000114,0.8000000000000114,156.798,157.4,155.89,1.5100000000000193,1.4300000000000068,154.448,155.16,152.91,2.25,2.25,155.59,157.24,153.38,3.8600000000000136,3.8600000000000136,20464,29882,10197,19685,-8814
2016-05-29,155.66750000000002,156.84,155.15,1.6899999999999977,-1.6899999999999977,156.74,156.85,156.5,0.3499999999999943,-0.01999999999998181,154.8,155.18,153.92,1.2600000000000193,-1.0800000000000125,155.57,156.67,154.34,2.329999999999984,-1.5300000000000011,23104,25479,19832,5647,2875
2016-06-05,155.12,156.4,153.38,3.0200000000000102,1.1400000000000148,156.228,156.82,155.81,1.009999999999991,-0.28999999999999204,152.566,154.16,150.11,4.049999999999983,3.9199999999999875,155.118,155.52,154.61,0.9099999999999966,-0.38999999999998636,23539,27823,18663,9160,-6207
2016-06-12,155.032,156.44,153.38,3.0600000000000023,-1.670000000000016,157.114,157.72,156.2,1.5200000000000102,0.21999999999999886,154.004,155.44,153.0,2.4399999999999977,-0.960000000000008,155.138,156.22,153.15,3.069999999999993,-3.069999999999993,58198,146923,23969,122954,92118
