Date,NPTN_stock_Open_average,NPTN_stock_Open_max,NPTN_stock_Open_min,NPTN_stock_Open_volatility,NPTN_stock_Open_change,NPTN_stock_High_average,NPTN_stock_High_max,NPTN_stock_High_min,NPTN_stock_High_volatility,NPTN_stock_High_change,NPTN_stock_Low_average,NPTN_stock_Low_max,NPTN_stock_Low_min,NPTN_stock_Low_volatility,NPTN_stock_Low_change,NPTN_stock_Close_average,NPTN_stock_Close_max,NPTN_stock_Close_min,NPTN_stock_Close_volatility,NPTN_stock_Close_change,NPTN_stock_Volume_average,NPTN_stock_Volume_max,NPTN_stock_Volume_min,NPTN_stock_Volume_volatility,NPTN_stock_Volume_change
2016-01-03,9.78,10.5,9.06,1.4399999999999995,-1.4399999999999995,9.888,10.51,9.23,1.2799999999999994,-1.2799999999999994,9.282,9.81,8.68,1.1300000000000008,-0.9199999999999999,9.446,9.97,8.77,1.200000000000001,-1.200000000000001,642218,1001047,462705,538342,-538342
2016-01-10,8.614,8.79,8.41,0.379999999999999,-0.379999999999999,8.852,8.96,8.63,0.33000000000000007,-0.33000000000000007,8.268,8.35,8.05,0.29999999999999893,-0.28999999999999915,8.566,8.73,8.5,0.23000000000000043,-0.08000000000000007,516076,576366,471483,104883,71054
2016-01-17,8.2925,8.6,7.9,0.6999999999999993,-0.27999999999999936,8.5725,8.73,8.36,0.370000000000001,-0.030000000000001137,7.9125000000000005,8.14,7.61,0.5300000000000002,0.2400000000000002,8.2625,8.65,8.04,0.6100000000000012,0.6100000000000012,501758,711814,330471,381343,-182118
2016-01-24,8.46,8.65,8.35,0.3000000000000007,-0.3000000000000007,8.674,8.98,8.46,0.5199999999999996,0.16999999999999993,8.228,8.3,8.12,0.1800000000000015,0.120000000000001,8.438,8.97,8.25,0.7200000000000006,0.6699999999999999,288229,393252,220282,172970,105141
2016-01-31,9.476,9.99,8.8,1.1899999999999995,1.0700000000000003,9.67,10.57,8.87,1.700000000000001,0.9700000000000006,9.024000000000001,9.78,8.46,1.3199999999999985,0.21999999999999886,9.347999999999999,10.0,8.7,1.3000000000000007,0.46999999999999886,762657,1549939,352756,1197183,607604
2016-02-07,9.092,9.42,8.86,0.5600000000000005,0.40000000000000036,9.366,9.67,9.2,0.47000000000000064,0.47000000000000064,8.896,9.09,8.8,0.28999999999999915,0.25,9.222,9.59,9.07,0.5199999999999996,0.5,469135,697758,361619,336139,-159184
2016-02-14,9.9025,10.05,9.73,0.3200000000000003,0.08999999999999986,10.07,10.18,10.0,0.17999999999999972,0.05000000000000071,9.6425,9.85,9.41,0.4399999999999995,0.3699999999999992,9.93,10.0,9.82,0.17999999999999972,-0.08000000000000007,408987,479039,334875,144164,-121838
2016-02-21,10.29,10.62,10.01,0.6099999999999994,0.6099999999999994,10.57,10.85,10.1,0.75,0.75,10.084,10.5,9.72,0.7799999999999994,0.5899999999999999,10.436,10.8,10.0,0.8000000000000007,0.8000000000000007,540955,768258,374625,393633,271379
2016-02-28,11.648,12.5,10.85,1.6500000000000004,0.7300000000000004,12.126,13.25,11.47,1.7799999999999994,0.29999999999999893,11.194,11.82,10.77,1.0500000000000007,0.5800000000000001,11.628,12.5,10.96,1.5399999999999991,0.6099999999999994,1818622,3678481,558488,3119993,-1282065
2016-03-06,11.228,11.75,10.66,1.0899999999999999,0.14000000000000057,11.676,12.27,11.22,1.049999999999999,0.40000000000000036,10.936,11.55,10.04,1.5100000000000016,0.23000000000000043,11.312,12.07,10.44,1.6300000000000008,0.6500000000000004,1093790,1568432,682084,886348,372321
