Date,SPDR S&P International Small Cap_etf_Open_average,SPDR S&P International Small Cap_etf_Open_max,SPDR S&P International Small Cap_etf_Open_min,SPDR S&P International Small Cap_etf_Open_volatility,SPDR S&P International Small Cap_etf_Open_change,SPDR S&P International Small Cap_etf_High_average,SPDR S&P International Small Cap_etf_High_max,SPDR S&P International Small Cap_etf_High_min,SPDR S&P International Small Cap_etf_High_volatility,SPDR S&P International Small Cap_etf_High_change,SPDR S&P International Small Cap_etf_Low_average,SPDR S&P International Small Cap_etf_Low_max,SPDR S&P International Small Cap_etf_Low_min,SPDR S&P International Small Cap_etf_Low_volatility,SPDR S&P International Small Cap_etf_Low_change,SPDR S&P International Small Cap_etf_Close_average,SPDR S&P International Small Cap_etf_Close_max,SPDR S&P International Small Cap_etf_Close_min,SPDR S&P International Small Cap_etf_Close_volatility,SPDR S&P International Small Cap_etf_Close_change
2016-01-03,26.98,26.98,26.98,0.0,0.0,27.04,27.04,27.04,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.62,26.62,26.62,0.0,0.0
2016-01-10,25.64,25.64,25.64,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.55,25.55,25.55,0.0,0.0
2016-01-17,25.64,25.64,25.64,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2016-01-24,26.16,26.16,26.16,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.39,26.39,26.39,0.0,0.0
2016-01-31,26.11,26.11,26.11,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.88,25.88,25.88,0.0,0.0
2016-02-07,24.72,24.72,24.72,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.66,24.66,24.66,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2016-02-14,25.73,25.73,25.73,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.81,25.81,25.81,0.0,0.0
2016-02-21,26.32,26.32,26.32,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2016-02-28,27.41,27.41,27.41,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2016-03-06,27.69,27.69,27.69,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2016-03-13,28.41,28.41,28.41,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2016-03-20,27.85,27.85,27.85,0.0,0.0,28.09,28.09,28.09,0.0,0.0,27.77,27.77,27.77,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2016-03-27,28.15,28.15,28.15,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2016-04-03,28.55,28.55,28.55,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2016-04-10,29.08,29.08,29.08,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2016-04-17,29.56,29.56,29.56,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2016-04-24,29.52,29.52,29.52,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.42,29.42,29.42,0.0,0.0
2016-05-01,29.03,29.03,29.03,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2016-05-08,29.26,29.26,29.26,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2016-05-15,29.16,29.16,29.16,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2016-05-22,29.57,29.57,29.57,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.56,29.56,29.56,0.0,0.0
2016-05-29,30.0,30.0,30.0,0.0,0.0,30.21,30.21,30.21,0.0,0.0,29.96,29.96,29.96,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2016-06-05,30.13,30.13,30.13,0.0,0.0,30.16,30.16,30.16,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2016-06-12,29.0,29.0,29.0,0.0,0.0,29.19,29.19,29.19,0.0,0.0,28.89,28.89,28.89,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2016-06-19,28.43,28.43,28.43,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.54,28.54,28.54,0.0,0.0
2016-06-26,29.21,29.21,29.21,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2016-07-03,29.1,29.1,29.1,0.0,0.0,29.22,29.22,29.22,0.0,0.0,28.99,28.99,28.99,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2016-07-10,29.85,29.85,29.85,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2016-07-17,29.82,29.82,29.82,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.8,29.8,29.8,0.0,0.0
2016-07-24,30.52,30.52,30.52,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2016-07-31,30.39,30.39,30.39,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2016-08-07,31.13,31.13,31.13,0.0,0.0,31.14,31.14,31.14,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2016-08-14,30.89,30.89,30.89,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2016-08-21,30.86,30.86,30.86,0.0,0.0,31.12,31.12,31.12,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2016-08-28,30.78,30.78,30.78,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2016-09-04,31.1,31.1,31.1,0.0,0.0,31.13,31.13,31.13,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2016-09-11,30.35,30.35,30.35,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2016-09-18,31.3,31.3,31.3,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2016-09-25,31.32,31.32,31.32,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2016-10-02,30.95,30.95,30.95,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2016-10-09,30.75,30.75,30.75,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2016-10-16,30.78,30.78,30.78,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2016-10-23,30.49,30.49,30.49,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2016-10-30,30.08,30.08,30.08,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2016-11-06,29.84,29.84,29.84,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.74,29.74,29.74,0.0,0.0
2016-11-13,29.73,29.73,29.73,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.63,29.63,29.63,0.0,0.0
2016-11-20,29.68,29.68,29.68,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2016-11-27,29.72,29.72,29.72,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2016-12-04,30.46,30.46,30.46,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2016-12-11,28.84,28.84,28.84,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2016-12-18,28.86,28.86,28.86,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2016-12-25,29.23,29.23,29.23,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2017-01-01,29.79,29.79,29.79,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.74,29.74,29.74,0.0,0.0
2017-01-08,29.94,29.94,29.94,0.0,0.0,30.11,30.11,30.11,0.0,0.0,29.93,29.93,29.93,0.0,0.0,30.1,30.1,30.1,0.0,0.0
2017-01-15,30.03,30.03,30.03,0.0,0.0,30.07,30.07,30.07,0.0,0.0,29.98,29.98,29.98,0.0,0.0,30.03,30.03,30.03,0.0,0.0
2017-01-22,30.27,30.27,30.27,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2017-01-29,30.52,30.52,30.52,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.64,30.64,30.64,0.0,0.0
2017-02-05,30.68,30.68,30.68,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2017-02-12,31.06,31.06,31.06,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.02,31.02,31.02,0.0,0.0
