Date,UBS ETRACS Monthly Pay 2X_etf_Open_average,UBS ETRACS Monthly Pay 2X_etf_Open_max,UBS ETRACS Monthly Pay 2X_etf_Open_min,UBS ETRACS Monthly Pay 2X_etf_Open_volatility,UBS ETRACS Monthly Pay 2X_etf_Open_change,UBS ETRACS Monthly Pay 2X_etf_High_average,UBS ETRACS Monthly Pay 2X_etf_High_max,UBS ETRACS Monthly Pay 2X_etf_High_min,UBS ETRACS Monthly Pay 2X_etf_High_volatility,UBS ETRACS Monthly Pay 2X_etf_High_change,UBS ETRACS Monthly Pay 2X_etf_Low_average,UBS ETRACS Monthly Pay 2X_etf_Low_max,UBS ETRACS Monthly Pay 2X_etf_Low_min,UBS ETRACS Monthly Pay 2X_etf_Low_volatility,UBS ETRACS Monthly Pay 2X_etf_Low_change,UBS ETRACS Monthly Pay 2X_etf_Close_average,UBS ETRACS Monthly Pay 2X_etf_Close_max,UBS ETRACS Monthly Pay 2X_etf_Close_min,UBS ETRACS Monthly Pay 2X_etf_Close_volatility,UBS ETRACS Monthly Pay 2X_etf_Close_change
2016-01-03,15.52,15.52,15.52,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.17,15.17,15.17,0.0,0.0
2016-01-10,13.21,13.21,13.21,0.0,0.0,13.38,13.38,13.38,0.0,0.0,12.67,12.67,12.67,0.0,0.0,13.01,13.01,13.01,0.0,0.0
2016-01-17,12.45,12.45,12.45,0.0,0.0,13.04,13.04,13.04,0.0,0.0,12.45,12.45,12.45,0.0,0.0,13.01,13.01,13.01,0.0,0.0
2016-01-24,13.6,13.6,13.6,0.0,0.0,13.94,13.94,13.94,0.0,0.0,13.6,13.6,13.6,0.0,0.0,13.94,13.94,13.94,0.0,0.0
2016-01-31,13.92,13.92,13.92,0.0,0.0,13.93,13.93,13.93,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.89,13.89,13.89,0.0,0.0
2016-02-07,12.31,12.31,12.31,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.31,12.31,12.31,0.0,0.0
2016-02-14,12.91,12.91,12.91,0.0,0.0,13.17,13.17,13.17,0.0,0.0,12.9,12.9,12.9,0.0,0.0,13.1,13.1,13.1,0.0,0.0
2016-02-21,13.7,13.7,13.7,0.0,0.0,13.75,13.75,13.75,0.0,0.0,13.68,13.68,13.68,0.0,0.0,13.72,13.72,13.72,0.0,0.0
2016-02-28,14.71,14.71,14.71,0.0,0.0,15.0,15.0,15.0,0.0,0.0,14.7,14.7,14.7,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2016-03-06,14.85,14.85,14.85,0.0,0.0,15.19,15.19,15.19,0.0,0.0,14.85,14.85,14.85,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2016-03-13,15.59,15.59,15.59,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.58,15.58,15.58,0.0,0.0,15.67,15.67,15.67,0.0,0.0
2016-03-20,15.48,15.48,15.48,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.3,15.3,15.3,0.0,0.0
2016-03-27,15.9,15.9,15.9,0.0,0.0,15.97,15.97,15.97,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.97,15.97,15.97,0.0,0.0
2016-04-03,15.45,15.45,15.45,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.45,15.45,15.45,0.0,0.0
2016-04-10,16.09,16.09,16.09,0.0,0.0,16.09,16.09,16.09,0.0,0.0,15.91,15.91,15.91,0.0,0.0,16.01,16.01,16.01,0.0,0.0
2016-04-17,16.69,16.69,16.69,0.0,0.0,16.71,16.71,16.71,0.0,0.0,16.55,16.55,16.55,0.0,0.0,16.55,16.55,16.55,0.0,0.0
2016-04-24,16.9,16.9,16.9,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.82,16.82,16.82,0.0,0.0,16.98,16.98,16.98,0.0,0.0
2016-05-01,16.5,16.5,16.5,0.0,0.0,16.65,16.65,16.65,0.0,0.0,16.48,16.48,16.48,0.0,0.0,16.58,16.58,16.58,0.0,0.0
2016-05-08,16.36,16.36,16.36,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.24,16.24,16.24,0.0,0.0
2016-05-15,15.97,15.97,15.97,0.0,0.0,16.15,16.15,16.15,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.25,15.25,15.25,0.0,0.0
2016-05-22,16.64,16.64,16.64,0.0,0.0,16.68,16.68,16.68,0.0,0.0,16.55,16.55,16.55,0.0,0.0,16.65,16.65,16.65,0.0,0.0
2016-05-29,16.79,16.79,16.79,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.9,16.9,16.9,0.0,0.0
2016-06-05,17.09,17.09,17.09,0.0,0.0,17.16,17.16,17.16,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.89,16.89,16.89,0.0,0.0
2016-06-12,16.49,16.49,16.49,0.0,0.0,16.58,16.58,16.58,0.0,0.0,16.46,16.46,16.46,0.0,0.0,16.5,16.5,16.5,0.0,0.0
2016-06-19,16.4,16.4,16.4,0.0,0.0,16.77,16.77,16.77,0.0,0.0,16.11,16.11,16.11,0.0,0.0,16.53,16.53,16.53,0.0,0.0
2016-06-26,16.94,16.94,16.94,0.0,0.0,17.11,17.11,17.11,0.0,0.0,16.9,16.9,16.9,0.0,0.0,17.04,17.04,17.04,0.0,0.0
2016-07-03,17.3,17.3,17.3,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.43,17.43,17.43,0.0,0.0
2016-07-10,17.5,17.5,17.5,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.37,17.37,17.37,0.0,0.0,17.44,17.44,17.44,0.0,0.0
2016-07-17,17.84,17.84,17.84,0.0,0.0,17.89,17.89,17.89,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.88,17.88,17.88,0.0,0.0
2016-07-24,18.1,18.1,18.1,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.06,18.06,18.06,0.0,0.0,18.17,18.17,18.17,0.0,0.0
2016-07-31,18.06,18.06,18.06,0.0,0.0,18.24,18.24,18.24,0.0,0.0,17.99,17.99,17.99,0.0,0.0,18.22,18.22,18.22,0.0,0.0
2016-08-07,18.17,18.17,18.17,0.0,0.0,18.3,18.3,18.3,0.0,0.0,18.17,18.17,18.17,0.0,0.0,18.23,18.23,18.23,0.0,0.0
