Date,VanEck Vectors Gold Miners_etf_Open_average,VanEck Vectors Gold Miners_etf_Open_max,VanEck Vectors Gold Miners_etf_Open_min,VanEck Vectors Gold Miners_etf_Open_volatility,VanEck Vectors Gold Miners_etf_Open_change,VanEck Vectors Gold Miners_etf_High_average,VanEck Vectors Gold Miners_etf_High_max,VanEck Vectors Gold Miners_etf_High_min,VanEck Vectors Gold Miners_etf_High_volatility,VanEck Vectors Gold Miners_etf_High_change,VanEck Vectors Gold Miners_etf_Low_average,VanEck Vectors Gold Miners_etf_Low_max,VanEck Vectors Gold Miners_etf_Low_min,VanEck Vectors Gold Miners_etf_Low_volatility,VanEck Vectors Gold Miners_etf_Low_change,VanEck Vectors Gold Miners_etf_Close_average,VanEck Vectors Gold Miners_etf_Close_max,VanEck Vectors Gold Miners_etf_Close_min,VanEck Vectors Gold Miners_etf_Close_volatility,VanEck Vectors Gold Miners_etf_Close_change
2016-01-03,14.5,14.5,14.5,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.26,14.26,14.26,0.0,0.0,14.52,14.52,14.52,0.0,0.0
2016-01-10,13.6,13.6,13.6,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.06,13.06,13.06,0.0,0.0,13.09,13.09,13.09,0.0,0.0
2016-01-17,12.73,12.73,12.73,0.0,0.0,13.17,13.17,13.17,0.0,0.0,12.69,12.69,12.69,0.0,0.0,13.03,13.03,13.03,0.0,0.0
2016-01-24,13.83,13.83,13.83,0.0,0.0,14.24,14.24,14.24,0.0,0.0,13.74,13.74,13.74,0.0,0.0,14.21,14.21,14.21,0.0,0.0
2016-01-31,15.75,15.75,15.75,0.0,0.0,17.12,17.12,17.12,0.0,0.0,15.57,15.57,15.57,0.0,0.0,17.05,17.05,17.05,0.0,0.0
2016-02-07,17.85,17.85,17.85,0.0,0.0,18.85,18.85,18.85,0.0,0.0,17.78,17.78,17.78,0.0,0.0,18.84,18.84,18.84,0.0,0.0
2016-02-14,18.61,18.61,18.61,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.28,18.28,18.28,0.0,0.0,18.38,18.38,18.38,0.0,0.0
2016-02-21,18.95,18.95,18.95,0.0,0.0,19.33,19.33,19.33,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.69,18.69,18.69,0.0,0.0
2016-02-28,19.84,19.84,19.84,0.0,0.0,20.88,20.88,20.88,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.71,19.71,19.71,0.0,0.0
2016-03-06,20.24,20.24,20.24,0.0,0.0,20.58,20.58,20.58,0.0,0.0,19.84,19.84,19.84,0.0,0.0,19.98,19.98,19.98,0.0,0.0
2016-03-13,20.36,20.36,20.36,0.0,0.0,20.93,20.93,20.93,0.0,0.0,20.35,20.35,20.35,0.0,0.0,20.61,20.61,20.61,0.0,0.0
2016-03-20,19.25,19.25,19.25,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.07,19.07,19.07,0.0,0.0,19.46,19.46,19.46,0.0,0.0
2016-03-27,19.46,19.46,19.46,0.0,0.0,20.12,20.12,20.12,0.0,0.0,19.32,19.32,19.32,0.0,0.0,20.12,20.12,20.12,0.0,0.0
2016-04-03,20.71,20.71,20.71,0.0,0.0,21.55,21.55,21.55,0.0,0.0,20.7,20.7,20.7,0.0,0.0,21.44,21.44,21.44,0.0,0.0
2016-04-10,21.75,21.75,21.75,0.0,0.0,22.31,22.31,22.31,0.0,0.0,21.45,21.45,21.45,0.0,0.0,22.2,22.2,22.2,0.0,0.0
2016-04-17,22.95,22.95,22.95,0.0,0.0,23.41,23.41,23.41,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.59,22.59,22.59,0.0,0.0
2016-04-24,24.75,24.75,24.75,0.0,0.0,25.83,25.83,25.83,0.0,0.0,24.72,24.72,24.72,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2016-05-01,24.69,24.69,24.69,0.0,0.0,25.44,25.44,25.44,0.0,0.0,24.56,24.56,24.56,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2016-05-08,24.58,24.58,24.58,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2016-05-15,24.24,24.24,24.24,0.0,0.0,24.27,24.27,24.27,0.0,0.0,23.38,23.38,23.38,0.0,0.0,24.05,24.05,24.05,0.0,0.0
2016-05-22,22.74,22.74,22.74,0.0,0.0,22.96,22.96,22.96,0.0,0.0,22.17,22.17,22.17,0.0,0.0,22.28,22.28,22.28,0.0,0.0
2016-05-29,24.08,24.08,24.08,0.0,0.0,25.36,25.36,25.36,0.0,0.0,24.08,24.08,24.08,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2016-06-05,26.53,26.53,26.53,0.0,0.0,26.9,26.9,26.9,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2016-06-12,25.95,25.95,25.95,0.0,0.0,26.03,26.03,26.03,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2016-06-19,27.67,27.67,27.67,0.0,0.0,27.71,27.71,27.71,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.71,26.71,26.71,0.0,0.0
2016-06-26,28.5,28.5,28.5,0.0,0.0,29.2,29.2,29.2,0.0,0.0,28.44,28.44,28.44,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2016-07-03,29.66,29.66,29.66,0.0,0.0,30.68,30.68,30.68,0.0,0.0,29.43,29.43,29.43,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2016-07-10,29.71,29.71,29.71,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2016-07-17,28.5,28.5,28.5,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.78,28.78,28.78,0.0,0.0
2016-07-24,30.27,30.27,30.27,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2016-07-31,30.35,30.35,30.35,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2016-08-07,31.76,31.76,31.76,0.0,0.0,31.79,31.79,31.79,0.0,0.0,30.92,30.92,30.92,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2016-08-14,30.14,30.14,30.14,0.0,0.0,30.33,30.33,30.33,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2016-08-21,27.89,27.89,27.89,0.0,0.0,28.43,28.43,28.43,0.0,0.0,26.82,26.82,26.82,0.0,0.0,27.18,27.18,27.18,0.0,0.0
2016-08-28,27.25,27.25,27.25,0.0,0.0,27.46,27.46,27.46,0.0,0.0,26.79,26.79,26.79,0.0,0.0,27.35,27.35,27.35,0.0,0.0
2016-09-04,27.51,27.51,27.51,0.0,0.0,27.52,27.52,27.52,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.41,26.41,26.41,0.0,0.0
2016-09-11,25.84,25.84,25.84,0.0,0.0,26.31,26.31,26.31,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2016-09-18,27.69,27.69,27.69,0.0,0.0,27.77,27.77,27.77,0.0,0.0,26.75,26.75,26.75,0.0,0.0,27.02,27.02,27.02,0.0,0.0
2016-09-25,27.21,27.21,27.21,0.0,0.0,27.25,27.25,27.25,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.43,26.43,26.43,0.0,0.0
2016-10-02,23.57,23.57,23.57,0.0,0.0,23.74,23.74,23.74,0.0,0.0,22.59,22.59,22.59,0.0,0.0,23.0,23.0,23.0,0.0,0.0
2016-10-09,23.14,23.14,23.14,0.0,0.0,23.64,23.64,23.64,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2016-10-16,24.71,24.71,24.71,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.62,24.62,24.62,0.0,0.0
2016-10-23,23.67,23.67,23.67,0.0,0.0,24.29,24.29,24.29,0.0,0.0,23.43,23.43,23.43,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2016-10-30,25.29,25.29,25.29,0.0,0.0,25.33,25.33,25.33,0.0,0.0,24.65,24.65,24.65,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2016-11-06,22.67,22.67,22.67,0.0,0.0,22.75,22.75,22.75,0.0,0.0,20.83,20.83,20.83,0.0,0.0,20.92,20.92,20.92,0.0,0.0
2016-11-13,21.05,21.05,21.05,0.0,0.0,21.28,21.28,21.28,0.0,0.0,20.77,20.77,20.77,0.0,0.0,21.05,21.05,21.05,0.0,0.0
2016-11-20,20.7,20.7,20.7,0.0,0.0,20.86,20.86,20.86,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.61,20.61,20.61,0.0,0.0
2016-11-27,20.91,20.91,20.91,0.0,0.0,21.5,21.5,21.5,0.0,0.0,20.9,20.9,20.9,0.0,0.0,21.37,21.37,21.37,0.0,0.0
2016-12-04,21.23,21.23,21.23,0.0,0.0,21.3,21.3,21.3,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.67,20.67,20.67,0.0,0.0
2016-12-11,19.26,19.26,19.26,0.0,0.0,19.48,19.48,19.48,0.0,0.0,18.79,18.79,18.79,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2016-12-18,19.15,19.15,19.15,0.0,0.0,19.43,19.43,19.43,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.34,19.34,19.34,0.0,0.0
2016-12-25,21.79,21.79,21.79,0.0,0.0,22.24,22.24,22.24,0.0,0.0,20.79,20.79,20.79,0.0,0.0,20.92,20.92,20.92,0.0,0.0
2017-01-01,22.68,22.68,22.68,0.0,0.0,23.09,23.09,23.09,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.39,22.39,22.39,0.0,0.0
2017-01-08,22.39,22.39,22.39,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.15,22.15,22.15,0.0,0.0,22.74,22.74,22.74,0.0,0.0
2017-01-15,22.91,22.91,22.91,0.0,0.0,23.46,23.46,23.46,0.0,0.0,22.72,22.72,22.72,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2017-01-22,22.88,22.88,22.88,0.0,0.0,23.27,23.27,23.27,0.0,0.0,22.88,22.88,22.88,0.0,0.0,23.22,23.22,23.22,0.0,0.0
2017-01-29,24.38,24.38,24.38,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.5,24.5,24.5,0.0,0.0
2017-02-05,24.67,24.67,24.67,0.0,0.0,25.36,25.36,25.36,0.0,0.0,24.6,24.6,24.6,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2017-02-12,25.29,25.29,25.29,0.0,0.0,25.32,25.32,25.32,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2017-02-19,24.71,24.71,24.71,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2017-02-26,21.73,21.73,21.73,0.0,0.0,22.47,22.47,22.47,0.0,0.0,21.57,21.57,21.57,0.0,0.0,22.2,22.2,22.2,0.0,0.0
2017-03-05,21.32,21.32,21.32,0.0,0.0,21.89,21.89,21.89,0.0,0.0,21.19,21.19,21.19,0.0,0.0,21.73,21.73,21.73,0.0,0.0
2017-03-12,22.86,22.86,22.86,0.0,0.0,23.08,23.08,23.08,0.0,0.0,22.51,22.51,22.51,0.0,0.0,22.67,22.67,22.67,0.0,0.0
2017-03-19,22.95,22.95,22.95,0.0,0.0,23.18,23.18,23.18,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.92,22.92,22.92,0.0,0.0
2017-03-26,22.65,22.65,22.65,0.0,0.0,23.11,23.11,23.11,0.0,0.0,22.55,22.55,22.55,0.0,0.0,22.81,22.81,22.81,0.0,0.0
