Date,Vanguard Short-Term Government Bond_etf_Open_average,Vanguard Short-Term Government Bond_etf_Open_max,Vanguard Short-Term Government Bond_etf_Open_min,Vanguard Short-Term Government Bond_etf_Open_volatility,Vanguard Short-Term Government Bond_etf_Open_change,Vanguard Short-Term Government Bond_etf_High_average,Vanguard Short-Term Government Bond_etf_High_max,Vanguard Short-Term Government Bond_etf_High_min,Vanguard Short-Term Government Bond_etf_High_volatility,Vanguard Short-Term Government Bond_etf_High_change,Vanguard Short-Term Government Bond_etf_Low_average,Vanguard Short-Term Government Bond_etf_Low_max,Vanguard Short-Term Government Bond_etf_Low_min,Vanguard Short-Term Government Bond_etf_Low_volatility,Vanguard Short-Term Government Bond_etf_Low_change,Vanguard Short-Term Government Bond_etf_Close_average,Vanguard Short-Term Government Bond_etf_Close_max,Vanguard Short-Term Government Bond_etf_Close_min,Vanguard Short-Term Government Bond_etf_Close_volatility,Vanguard Short-Term Government Bond_etf_Close_change
2016-01-03,60.86,60.86,60.86,0.0,0.0,60.88,60.88,60.88,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.88,60.88,60.88,0.0,0.0
2016-01-10,61.0,61.0,61.0,0.0,0.0,61.03,61.03,61.03,0.0,0.0,60.97,60.97,60.97,0.0,0.0,61.0,61.0,61.0,0.0,0.0
2016-01-17,60.97,60.97,60.97,0.0,0.0,61.0,61.0,61.0,0.0,0.0,60.93,60.93,60.93,0.0,0.0,61.0,61.0,61.0,0.0,0.0
2016-01-24,61.06,61.06,61.06,0.0,0.0,61.15,61.15,61.15,0.0,0.0,61.05,61.05,61.05,0.0,0.0,61.11,61.11,61.11,0.0,0.0
2016-01-31,61.11,61.11,61.11,0.0,0.0,61.16,61.16,61.16,0.0,0.0,61.1,61.1,61.1,0.0,0.0,61.14,61.14,61.14,0.0,0.0
2016-02-07,61.23,61.23,61.23,0.0,0.0,61.23,61.23,61.23,0.0,0.0,61.16,61.16,61.16,0.0,0.0,61.18,61.18,61.18,0.0,0.0
2016-02-14,61.17,61.17,61.17,0.0,0.0,61.19,61.19,61.19,0.0,0.0,61.14,61.14,61.14,0.0,0.0,61.15,61.15,61.15,0.0,0.0
2016-02-21,61.17,61.17,61.17,0.0,0.0,61.18,61.18,61.18,0.0,0.0,61.1,61.1,61.1,0.0,0.0,61.13,61.13,61.13,0.0,0.0
2016-02-28,61.03,61.03,61.03,0.0,0.0,61.06,61.06,61.06,0.0,0.0,61.0,61.0,61.0,0.0,0.0,61.02,61.02,61.02,0.0,0.0
2016-03-06,60.9,60.9,60.9,0.0,0.0,60.95,60.95,60.95,0.0,0.0,60.9,60.9,60.9,0.0,0.0,60.95,60.95,60.95,0.0,0.0
2016-03-13,61.04,61.04,61.04,0.0,0.0,61.08,61.08,61.08,0.0,0.0,61.04,61.04,61.04,0.0,0.0,61.07,61.07,61.07,0.0,0.0
2016-03-20,61.04,61.04,61.04,0.0,0.0,61.07,61.07,61.07,0.0,0.0,61.03,61.03,61.03,0.0,0.0,61.05,61.05,61.05,0.0,0.0
2016-03-27,61.14,61.14,61.14,0.0,0.0,61.14,61.14,61.14,0.0,0.0,61.09,61.09,61.09,0.0,0.0,61.1,61.1,61.1,0.0,0.0
2016-04-03,61.18,61.18,61.18,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.15,61.15,61.15,0.0,0.0,61.19,61.19,61.19,0.0,0.0
2016-04-10,61.17,61.17,61.17,0.0,0.0,61.21,61.21,61.21,0.0,0.0,61.13,61.13,61.13,0.0,0.0,61.19,61.19,61.19,0.0,0.0
2016-04-17,61.1,61.1,61.1,0.0,0.0,61.15,61.15,61.15,0.0,0.0,61.08,61.08,61.08,0.0,0.0,61.1,61.1,61.1,0.0,0.0
2016-04-24,61.12,61.12,61.12,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.12,61.12,61.12,0.0,0.0,61.18,61.18,61.18,0.0,0.0
2016-05-01,61.24,61.24,61.24,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.2,61.2,61.2,0.0,0.0
2016-05-08,61.16,61.16,61.16,0.0,0.0,61.2,61.2,61.2,0.0,0.0,61.11,61.11,61.11,0.0,0.0,61.19,61.19,61.19,0.0,0.0
2016-05-15,61.03,61.03,61.03,0.0,0.0,61.08,61.08,61.08,0.0,0.0,61.03,61.03,61.03,0.0,0.0,61.06,61.06,61.06,0.0,0.0
2016-05-22,61.06,61.06,61.06,0.0,0.0,61.12,61.12,61.12,0.0,0.0,61.0,61.0,61.0,0.0,0.0,61.05,61.05,61.05,0.0,0.0
2016-05-29,61.14,61.14,61.14,0.0,0.0,61.17,61.17,61.17,0.0,0.0,61.13,61.13,61.13,0.0,0.0,61.16,61.16,61.16,0.0,0.0
2016-06-05,61.2,61.2,61.2,0.0,0.0,61.23,61.23,61.23,0.0,0.0,61.17,61.17,61.17,0.0,0.0,61.22,61.22,61.22,0.0,0.0
2016-06-12,61.29,61.29,61.29,0.0,0.0,61.29,61.29,61.29,0.0,0.0,61.24,61.24,61.24,0.0,0.0,61.27,61.27,61.27,0.0,0.0
2016-06-19,61.3,61.3,61.3,0.0,0.0,61.4,61.4,61.4,0.0,0.0,61.3,61.3,61.3,0.0,0.0,61.36,61.36,61.36,0.0,0.0
2016-06-26,61.36,61.36,61.36,0.0,0.0,61.4,61.4,61.4,0.0,0.0,61.34,61.34,61.34,0.0,0.0,61.37,61.37,61.37,0.0,0.0
