Date,iShares Int High Yield BondEtf_Open_average,iShares Int High Yield BondEtf_Open_max,iShares Int High Yield BondEtf_Open_min,iShares Int High Yield BondEtf_Open_volatility,iShares Int High Yield BondEtf_Open_change,iShares Int High Yield BondEtf_High_average,iShares Int High Yield BondEtf_High_max,iShares Int High Yield BondEtf_High_min,iShares Int High Yield BondEtf_High_volatility,iShares Int High Yield BondEtf_High_change,iShares Int High Yield BondEtf_Low_average,iShares Int High Yield BondEtf_Low_max,iShares Int High Yield BondEtf_Low_min,iShares Int High Yield BondEtf_Low_volatility,iShares Int High Yield BondEtf_Low_change,iShares Int High Yield BondEtf_Close_average,iShares Int High Yield BondEtf_Close_max,iShares Int High Yield BondEtf_Close_min,iShares Int High Yield BondEtf_Close_volatility,iShares Int High Yield BondEtf_Close_change
2016-01-03,44.31,44.31,44.31,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.14,44.14,44.14,0.0,0.0,44.42,44.42,44.42,0.0,0.0
2016-01-10,43.77,43.77,43.77,0.0,0.0,43.89,43.89,43.89,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.7,43.7,43.7,0.0,0.0
2016-01-17,42.79,42.79,42.79,0.0,0.0,43.22,43.22,43.22,0.0,0.0,42.79,42.79,42.79,0.0,0.0,43.01,43.01,43.01,0.0,0.0
2016-01-24,43.8,43.8,43.8,0.0,0.0,44.28,44.28,44.28,0.0,0.0,43.34,43.34,43.34,0.0,0.0,44.28,44.28,44.28,0.0,0.0
2016-01-31,44.51,44.51,44.51,0.0,0.0,44.51,44.51,44.51,0.0,0.0,44.05,44.05,44.05,0.0,0.0,44.46,44.46,44.46,0.0,0.0
2016-02-07,44.03,44.03,44.03,0.0,0.0,44.07,44.07,44.07,0.0,0.0,43.66,43.66,43.66,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2016-02-14,43.79,43.79,43.79,0.0,0.0,44.2,44.2,44.2,0.0,0.0,43.55,43.55,43.55,0.0,0.0,43.74,43.74,43.74,0.0,0.0
2016-02-21,43.81,43.81,43.81,0.0,0.0,43.81,43.81,43.81,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.55,43.55,43.55,0.0,0.0
2016-02-28,44.67,44.67,44.67,0.0,0.0,44.88,44.88,44.88,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.82,44.82,44.82,0.0,0.0
2016-03-06,46.44,46.44,46.44,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2016-03-13,47.05,47.05,47.05,0.0,0.0,47.22,47.22,47.22,0.0,0.0,46.91,46.91,46.91,0.0,0.0,47.01,47.01,47.01,0.0,0.0
2016-03-20,46.33,46.33,46.33,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.51,46.51,46.51,0.0,0.0
2016-03-27,47.27,47.27,47.27,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.22,47.22,47.22,0.0,0.0,47.48,47.48,47.48,0.0,0.0
2016-04-03,47.34,47.34,47.34,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.17,47.17,47.17,0.0,0.0,47.4,47.4,47.4,0.0,0.0
2016-04-10,47.2,47.2,47.2,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.2,47.2,47.2,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2016-04-17,47.86,47.86,47.86,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2016-04-24,48.43,48.43,48.43,0.0,0.0,48.56,48.56,48.56,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.89,47.89,47.89,0.0,0.0
2016-05-01,48.18,48.18,48.18,0.0,0.0,48.35,48.35,48.35,0.0,0.0,47.76,47.76,47.76,0.0,0.0,48.31,48.31,48.31,0.0,0.0
2016-05-08,47.77,47.77,47.77,0.0,0.0,48.19,48.19,48.19,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.31,47.31,47.31,0.0,0.0
2016-05-15,47.12,47.12,47.12,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.08,47.08,47.08,0.0,0.0,47.52,47.52,47.52,0.0,0.0
2016-05-22,47.53,47.53,47.53,0.0,0.0,47.57,47.57,47.57,0.0,0.0,46.9,46.9,46.9,0.0,0.0,46.96,46.96,46.96,0.0,0.0
2016-05-29,47.5,47.5,47.5,0.0,0.0,48.25,48.25,48.25,0.0,0.0,47.5,47.5,47.5,0.0,0.0,48.02,48.02,48.02,0.0,0.0
2016-06-05,47.73,47.73,47.73,0.0,0.0,48.2,48.2,48.2,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2016-06-12,46.6,46.6,46.6,0.0,0.0,47.73,47.73,47.73,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2016-06-19,45.56,45.56,45.56,0.0,0.0,46.57,46.57,46.57,0.0,0.0,45.51,45.51,45.51,0.0,0.0,45.7,45.7,45.7,0.0,0.0
2016-06-26,46.34,46.34,46.34,0.0,0.0,47.17,47.17,47.17,0.0,0.0,46.34,46.34,46.34,0.0,0.0,46.44,46.44,46.44,0.0,0.0
2016-07-03,46.31,46.31,46.31,0.0,0.0,46.31,46.31,46.31,0.0,0.0,46.05,46.05,46.05,0.0,0.0,46.25,46.25,46.25,0.0,0.0
2016-07-10,46.92,46.92,46.92,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.64,46.64,46.64,0.0,0.0,46.75,46.75,46.75,0.0,0.0
2016-07-17,46.64,46.64,46.64,0.0,0.0,46.64,46.64,46.64,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.49,46.49,46.49,0.0,0.0
2016-07-24,47.35,47.35,47.35,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.3,47.3,47.3,0.0,0.0,47.38,47.38,47.38,0.0,0.0
2016-07-31,47.15,47.15,47.15,0.0,0.0,47.34,47.34,47.34,0.0,0.0,47.11,47.11,47.11,0.0,0.0,47.32,47.32,47.32,0.0,0.0
2016-08-07,47.82,47.82,47.82,0.0,0.0,47.92,47.92,47.92,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.81,47.81,47.81,0.0,0.0
2016-08-14,48.54,48.54,48.54,0.0,0.0,48.56,48.56,48.56,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2016-08-21,48.55,48.55,48.55,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.33,48.33,48.33,0.0,0.0
2016-08-28,48.49,48.49,48.49,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2016-09-04,48.49,48.49,48.49,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.37,48.37,48.37,0.0,0.0
2016-09-11,47.81,47.81,47.81,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.51,47.51,47.51,0.0,0.0,47.7,47.7,47.7,0.0,0.0
2016-09-18,47.98,47.98,47.98,0.0,0.0,48.16,48.16,48.16,0.0,0.0,47.98,47.98,47.98,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2016-09-25,47.82,47.82,47.82,0.0,0.0,48.04,48.04,48.04,0.0,0.0,47.82,47.82,47.82,0.0,0.0,48.04,48.04,48.04,0.0,0.0
2016-10-02,47.9,47.9,47.9,0.0,0.0,47.9,47.9,47.9,0.0,0.0,47.54,47.54,47.54,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2016-10-09,47.2,47.2,47.2,0.0,0.0,47.2,47.2,47.2,0.0,0.0,46.94,46.94,46.94,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2016-10-16,46.92,46.92,46.92,0.0,0.0,46.95,46.95,46.95,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.95,46.95,46.95,0.0,0.0
2016-10-23,46.93,46.93,46.93,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.96,46.96,46.96,0.0,0.0
2016-10-30,47.35,47.35,47.35,0.0,0.0,47.57,47.57,47.57,0.0,0.0,47.35,47.35,47.35,0.0,0.0,47.56,47.56,47.56,0.0,0.0
2016-11-06,46.48,46.48,46.48,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.13,46.13,46.13,0.0,0.0,46.18,46.18,46.18,0.0,0.0
2016-11-13,45.3,45.3,45.3,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.15,45.15,45.15,0.0,0.0,45.33,45.33,45.33,0.0,0.0
2016-11-20,45.49,45.49,45.49,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2016-11-27,45.59,45.59,45.59,0.0,0.0,45.83,45.83,45.83,0.0,0.0,44.82,44.82,44.82,0.0,0.0,45.07,45.07,45.07,0.0,0.0
2016-12-04,45.33,45.33,45.33,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.29,45.29,45.29,0.0,0.0,45.41,45.41,45.41,0.0,0.0
2016-12-11,45.04,45.04,45.04,0.0,0.0,45.3,45.3,45.3,0.0,0.0,44.97,44.97,44.97,0.0,0.0,45.09,45.09,45.09,0.0,0.0
2016-12-18,45.31,45.31,45.31,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.18,45.18,45.18,0.0,0.0,45.19,45.19,45.19,0.0,0.0
2016-12-25,45.75,45.75,45.75,0.0,0.0,45.9,45.9,45.9,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.85,45.85,45.85,0.0,0.0
2017-01-01,45.99,45.99,45.99,0.0,0.0,46.23,46.23,46.23,0.0,0.0,45.99,45.99,45.99,0.0,0.0,46.08,46.08,46.08,0.0,0.0
2017-01-08,46.34,46.34,46.34,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.26,46.26,46.26,0.0,0.0,46.34,46.34,46.34,0.0,0.0
2017-01-15,46.44,46.44,46.44,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.43,46.43,46.43,0.0,0.0,46.77,46.77,46.77,0.0,0.0
2017-01-22,46.83,46.83,46.83,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2017-01-29,47.02,47.02,47.02,0.0,0.0,47.2,47.2,47.2,0.0,0.0,46.99,46.99,46.99,0.0,0.0,47.12,47.12,47.12,0.0,0.0
2017-02-05,46.46,46.46,46.46,0.0,0.0,46.65,46.65,46.65,0.0,0.0,46.46,46.46,46.46,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2017-02-12,46.81,46.81,46.81,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2017-02-19,46.7,46.7,46.7,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.59,46.59,46.59,0.0,0.0
2017-02-26,46.55,46.55,46.55,0.0,0.0,46.78,46.78,46.78,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.77,46.77,46.77,0.0,0.0
2017-03-05,46.52,46.52,46.52,0.0,0.0,47.81,47.81,47.81,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2017-03-12,47.11,47.11,47.11,0.0,0.0,47.13,47.13,47.13,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.13,47.13,47.13,0.0,0.0
2017-03-19,47.3,47.3,47.3,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.3,47.3,47.3,0.0,0.0,47.41,47.41,47.41,0.0,0.0
2017-03-26,47.04,47.04,47.04,0.0,0.0,47.08,47.08,47.08,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.85,46.85,46.85,0.0,0.0
2017-04-02,46.66,46.66,46.66,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.67,46.67,46.67,0.0,0.0
2017-04-09,46.89,46.89,46.89,0.0,0.0,47.01,47.01,47.01,0.0,0.0,46.79,46.79,46.79,0.0,0.0,46.86,46.86,46.86,0.0,0.0
2017-04-16,47.3,47.3,47.3,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.22,47.22,47.22,0.0,0.0,47.3,47.3,47.3,0.0,0.0
2017-04-23,48.31,48.31,48.31,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2017-04-30,48.83,48.83,48.83,0.0,0.0,48.93,48.93,48.93,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2017-05-07,48.66,48.66,48.66,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2017-05-14,49.66,49.66,49.66,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.81,49.81,49.81,0.0,0.0
2017-05-21,49.75,49.75,49.75,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2017-05-28,50.35,50.35,50.35,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.45,50.45,50.45,0.0,0.0
2017-06-04,49.89,49.89,49.89,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2017-06-11,49.91,49.91,49.91,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.91,49.91,49.91,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2017-06-18,50.02,50.02,50.02,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2017-06-25,51.06,51.06,51.06,0.0,0.0,51.09,51.09,51.09,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2017-07-02,50.95,50.95,50.95,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.78,50.78,50.78,0.0,0.0
2017-07-09,51.04,51.04,51.04,0.0,0.0,51.22,51.22,51.22,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2017-07-16,52.12,52.12,52.12,0.0,0.0,52.26,52.26,52.26,0.0,0.0,52.07,52.07,52.07,0.0,0.0,52.23,52.23,52.23,0.0,0.0
2017-07-23,52.59,52.59,52.59,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.72,52.72,52.72,0.0,0.0
2017-07-30,53.32,53.32,53.32,0.0,0.0,53.32,53.32,53.32,0.0,0.0,52.93,52.93,52.93,0.0,0.0,53.11,53.11,53.11,0.0,0.0
2017-08-06,52.85,52.85,52.85,0.0,0.0,53.05,53.05,53.05,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.96,52.96,52.96,0.0,0.0
2017-08-13,52.62,52.62,52.62,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2017-08-20,52.93,52.93,52.93,0.0,0.0,53.28,53.28,53.28,0.0,0.0,52.93,52.93,52.93,0.0,0.0,53.21,53.21,53.21,0.0,0.0
2017-08-27,53.35,53.35,53.35,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2017-09-03,54.24,54.24,54.24,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.09,54.09,54.09,0.0,0.0,54.15,54.15,54.15,0.0,0.0
2017-09-10,54.0,54.0,54.0,0.0,0.0,54.14,54.14,54.14,0.0,0.0,53.93,53.93,53.93,0.0,0.0,54.04,54.04,54.04,0.0,0.0
2017-09-17,54.19,54.19,54.19,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.07,54.07,54.07,0.0,0.0
2017-09-24,53.52,53.52,53.52,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.56,53.56,53.56,0.0,0.0
2017-10-01,52.89,52.89,52.89,0.0,0.0,53.08,53.08,53.08,0.0,0.0,52.88,52.88,52.88,0.0,0.0,53.05,53.05,53.05,0.0,0.0
2017-10-08,53.77,53.77,53.77,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.57,53.57,53.57,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2017-10-15,53.6,53.6,53.6,0.0,0.0,53.61,53.61,53.61,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.49,53.49,53.49,0.0,0.0
2017-10-22,52.95,52.95,52.95,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.92,52.92,52.92,0.0,0.0,53.03,53.03,53.03,0.0,0.0
2017-10-29,53.41,53.41,53.41,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.12,53.12,53.12,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2017-11-05,53.14,53.14,53.14,0.0,0.0,53.19,53.19,53.19,0.0,0.0,53.09,53.09,53.09,0.0,0.0,53.17,53.17,53.17,0.0,0.0
2017-11-12,53.55,53.55,53.55,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.67,53.67,53.67,0.0,0.0
2017-11-19,54.26,54.26,54.26,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.36,54.36,54.36,0.0,0.0
2017-11-26,53.95,53.95,53.95,0.0,0.0,54.19,54.19,54.19,0.0,0.0,53.86,53.86,53.86,0.0,0.0,54.05,54.05,54.05,0.0,0.0
2017-12-03,53.57,53.57,53.57,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.39,53.39,53.39,0.0,0.0,53.57,53.57,53.57,0.0,0.0
2017-12-10,53.51,53.51,53.51,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2017-12-17,53.91,53.91,53.91,0.0,0.0,53.94,53.94,53.94,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.94,53.94,53.94,0.0,0.0
2017-12-24,54.57,54.57,54.57,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.45,54.45,54.45,0.0,0.0
2017-12-31,55.02,55.02,55.02,0.0,0.0,55.15,55.15,55.15,0.0,0.0,54.96,54.96,54.96,0.0,0.0,55.0,55.0,55.0,0.0,0.0
