Date,Guggenheim CurrencyShares Swedish Krona_Open_average,Guggenheim CurrencyShares Swedish Krona_Open_max,Guggenheim CurrencyShares Swedish Krona_Open_min,Guggenheim CurrencyShares Swedish Krona_High_average,Guggenheim CurrencyShares Swedish Krona_High_max,Guggenheim CurrencyShares Swedish Krona_High_min,Guggenheim CurrencyShares Swedish Krona_Low_average,Guggenheim CurrencyShares Swedish Krona_Low_max,Guggenheim CurrencyShares Swedish Krona_Low_min,Guggenheim CurrencyShares Swedish Krona_Close_average,Guggenheim CurrencyShares Swedish Krona_Close_max,Guggenheim CurrencyShares Swedish Krona_Close_min
2018-04-08,-1.4870556472669165,-1.4870556472669165,-1.4870556472669165,-1.525080505751206,-1.525080505751206,-1.525080505751206,-1.480667859866353,-1.480667859866353,-1.480667859866353,-1.5237726994145913,-1.5237726994145913,-1.5237726994145913
2018-04-15,-1.5886269835463382,-1.5886269835463382,-1.5886269835463382,-1.6138392279368274,-1.6138392279368274,-1.6138392279368274,-1.5988340817309834,-1.5988340817309834,-1.5988340817309834,-1.6207989346737455,-1.6207989346737455,-1.6207989346737455
2018-04-22,-1.9707351710062917,-1.9707351710062917,-1.9707351710062917,-1.978204880695077,-1.978204880695077,-1.978204880695077,-2.086695973964636,-2.086695973964636,-2.086695973964636,-2.091267009526831,-2.091267009526831,-2.091267009526831
2018-04-29,-1.9675947293230707,-1.9675947293230707,-1.9675947293230707,-1.9624038586629304,-1.9624038586629304,-1.9624038586629304,-1.9092712345461835,-1.9092712345461835,-1.9092712345461835,-1.915394785446591,-1.915394785446591,-1.915394785446591
2018-05-06,-0.9802689272472314,-0.9802689272472314,-0.9802689272472314,-0.9849076140773574,-0.9849076140773574,-0.9849076140773574,-1.0279125087484386,-1.0279125087484386,-1.0279125087484386,-1.037421321916495,-1.037421321916495,-1.037421321916495
2018-05-13,-1.224278168152308,-1.224278168152308,-1.224278168152308,-1.2208222571726368,-1.2208222571726368,-1.2208222571726368,-1.182534007991945,-1.182534007991945,-1.182534007991945,-1.1820203141267926,-1.1820203141267926,-1.1820203141267926
2018-05-20,-1.230932068582375,-1.230932068582375,-1.230932068582375,-1.2221775048341341,-1.2221775048341341,-1.2221775048341341,-1.182902645681904,-1.182902645681904,-1.182902645681904,-1.1796517946232798,-1.1796517946232798,-1.1796517946232798
2018-05-27,-1.0575549066839989,-1.0575549066839989,-1.0575549066839989,-1.052103000037002,-1.052103000037002,-1.052103000037002,-1.0718795546327444,-1.0718795546327444,-1.0718795546327444,-1.0414985903605656,-1.0414985903605656,-1.0414985903605656
2018-06-03,-0.6413612700494803,-0.6413612700494803,-0.6413612700494803,-0.5355259561750011,-0.5355259561750011,-0.5355259561750011,-0.6175726075192067,-0.6175726075192067,-0.6175726075192067,-0.5586031928449516,-0.5586031928449516,-0.5586031928449516
2018-06-10,-1.1123168521826838,-1.1123168521826838,-1.1123168521826838,-1.1145098424344635,-1.1145098424344635,-1.1145098424344635,-1.0582075643618185,-1.0582075643618185,-1.0582075643618185,-1.0640192185574013,-1.0640192185574013,-1.0640192185574013
2018-06-17,-1.2624726078950652,-1.2624726078950652,-1.2624726078950652,-1.1848813737922552,-1.1848813737922552,-1.1848813737922552,-1.2071061702492902,-1.2071061702492902,-1.2071061702492902,-1.1347873075882824,-1.1347873075882824,-1.1347873075882824
2018-06-24,-1.4978884281584675,-1.4978884281584675,-1.4978884281584675,-1.5261021581953882,-1.5261021581953882,-1.5261021581953882,-1.637509099339694,-1.637509099339694,-1.637509099339694,-1.6701327221820772,-1.6701327221820772,-1.6701327221820772
2018-07-01,-0.25316593941977367,-0.25316593941977367,-0.25316593941977367,-0.1727430174965396,-0.1727430174965396,-0.1727430174965396,-0.17218887612523034,-0.17218887612523034,-0.17218887612523034,-0.09642353946248297,-0.09642353946248297,-0.09642353946248297
2018-07-08,-0.7209055091914877,-0.7209055091914877,-0.7209055091914877,-0.7169753342760481,-0.7169753342760481,-0.7169753342760481,-0.6748079819516299,-0.6748079819516299,-0.6748079819516299,-0.6330102425572712,-0.6330102425572712,-0.6330102425572712
2018-07-15,-1.126187690536492,-1.126187690536492,-1.126187690536492,-1.166380126690008,-1.166380126690008,-1.166380126690008,-1.0002484970910883,-1.0002484970910883,-1.0002484970910883,-1.0529993863236191,-1.0529993863236191,-1.0529993863236191
2018-07-22,-0.042427506087690685,-0.042427506087690685,-0.042427506087690685,-0.09877658416623306,-0.09877658416623306,-0.09877658416623306,0.04443379892273664,0.04443379892273664,0.04443379892273664,-0.015874765833425196,-0.015874765833425196,-0.015874765833425196
2018-07-29,-0.990477240497426,-0.990477240497426,-0.990477240497426,-1.0248395867160653,-1.0248395867160653,-1.0248395867160653,-0.8888584778664935,-0.8888584778664935,-0.8888584778664935,-0.9348135442903949,-0.9348135442903949,-0.9348135442903949
2018-08-05,-2.396183539044741,-2.396183539044741,-2.396183539044741,-2.3665699213399822,-2.3665699213399822,-2.3665699213399822,-2.310851915572223,-2.310851915572223,-2.310851915572223,-2.3003083049803252,-2.3003083049803252,-2.3003083049803252
2018-08-12,-2.180087410994571,-2.180087410994571,-2.180087410994571,-2.0552031316913006,-2.0552031316913006,-2.0552031316913006,-2.12536035659222,-2.12536035659222,-2.12536035659222,-1.9885952641585896,-1.9885952641585896,-1.9885952641585896
2018-08-19,-1.3766452353128014,-1.3766452353128014,-1.3766452353128014,-1.3954241167514185,-1.3954241167514185,-1.3954241167514185,-1.3183117617250693,-1.3183117617250693,-1.3183117617250693,-1.351567010947276,-1.351567010947276,-1.351567010947276
2018-08-26,-1.287178495623882,-1.287178495623882,-1.287178495623882,-1.3135717055113514,-1.3135717055113514,-1.3135717055113514,-1.2396105582866768,-1.2396105582866768,-1.2396105582866768,-1.2800019825073259,-1.2800019825073259,-1.2800019825073259
2018-09-02,-0.7141056798489896,-0.7141056798489896,-0.7141056798489896,-0.7423004080944743,-0.7423004080944743,-0.7423004080944743,-0.7142150759156146,-0.7142150759156146,-0.7142150759156146,-0.7578749011970479,-0.7578749011970479,-0.7578749011970479
2018-09-09,-0.48824667810435746,-0.48824667810435746,-0.48824667810435746,0.04463982682459079,0.04463982682459079,0.04463982682459079,-0.4441416539786695,-0.4441416539786695,-0.4441416539786695,0.043763947814453905,0.043763947814453905,0.043763947814453905
2018-09-16,0.9830595136581862,0.9830595136581862,0.9830595136581862,0.9239658990479053,0.9239658990479053,0.9239658990479053,0.8479692383803933,0.8479692383803933,0.8479692383803933,0.7819568272394157,0.7819568272394157,0.7819568272394157
2018-09-23,0.14698676039187086,0.14698676039187086,0.14698676039187086,0.20020552594980634,0.20020552594980634,0.20020552594980634,0.17831296126410193,0.17831296126410193,0.17831296126410193,0.23016347174924812,0.23016347174924812,0.23016347174924812
2018-09-30,-1.0228908126813068,-1.0228908126813068,-1.0228908126813068,-1.1208596508133826,-1.1208596508133826,-1.1208596508133826,-1.0071709715565926,-1.0071709715565926,-1.0071709715565926,-1.1077424356278163,-1.1077424356278163,-1.1077424356278163
2018-10-07,0.19960859650201443,0.19960859650201443,0.19960859650201443,0.11915607747212388,0.11915607747212388,0.11915607747212388,0.11736178627483283,0.11736178627483283,0.11736178627483283,0.05876419218672618,0.05876419218672618,0.05876419218672618
2018-10-14,-0.2103591388608603,-0.2103591388608603,-0.2103591388608603,-0.29759406806344824,-0.29759406806344824,-0.29759406806344824,-0.17455964169204524,-0.17455964169204524,-0.17455964169204524,-0.2651755322111441,-0.2651755322111441,-0.2651755322111441
2018-10-21,-1.115577890169142,-1.115577890169142,-1.115577890169142,-1.189342863790626,-1.189342863790626,-1.189342863790626,-1.1155976262932212,-1.1155976262932212,-1.1155976262932212,-1.1962257733230566,-1.1962257733230566,-1.1962257733230566
2018-10-28,-0.45176024305201906,-0.45176024305201906,-0.45176024305201906,-0.3985203288242552,-0.3985203288242552,-0.3985203288242552,-0.4275634271433266,-0.4275634271433266,-0.4275634271433266,-0.3735477067157852,-0.3735477067157852,-0.3735477067157852
2018-11-04,-0.889091197128281,-0.889091197128281,-0.889091197128281,-0.9668217520184905,-0.9668217520184905,-0.9668217520184905,-0.8998067777277918,-0.8998067777277918,-0.8998067777277918,-0.9839475835424818,-0.9839475835424818,-0.9839475835424818
2018-11-11,0.21047069595487042,0.21047069595487042,0.21047069595487042,0.13895475697439172,0.13895475697439172,0.13895475697439172,0.11738260088989766,0.11738260088989766,0.11738260088989766,0.19131627466812676,0.19131627466812676,0.19131627466812676
2018-11-18,-0.758181764542856,-0.758181764542856,-0.758181764542856,-0.8125608148752782,-0.8125608148752782,-0.8125608148752782,-0.7585941137628198,-0.7585941137628198,-0.7585941137628198,-0.8189782466915564,-0.8189782466915564,-0.8189782466915564
