Date,JPMorgan Diversified Return Emergin_Open_average,JPMorgan Diversified Return Emergin_Open_max,JPMorgan Diversified Return Emergin_Open_min,JPMorgan Diversified Return Emergin_High_average,JPMorgan Diversified Return Emergin_High_max,JPMorgan Diversified Return Emergin_High_min,JPMorgan Diversified Return Emergin_Low_average,JPMorgan Diversified Return Emergin_Low_max,JPMorgan Diversified Return Emergin_Low_min,JPMorgan Diversified Return Emergin_Close_average,JPMorgan Diversified Return Emergin_Close_max,JPMorgan Diversified Return Emergin_Close_min
2018-04-08,-1.1376513731933475,-1.1376513731933475,-1.1376513731933475,-1.3012157121058199,-1.3012157121058199,-1.3012157121058199,-0.8415723945718216,-0.8415723945718216,-0.8415723945718216,-0.9011481774238599,-0.9011481774238599,-0.9011481774238599
2018-04-15,-1.2120265675490995,-1.2120265675490995,-1.2120265675490995,-1.3600258486671837,-1.3600258486671837,-1.3600258486671837,-1.0256944522901354,-1.0256944522901354,-1.0256944522901354,-1.1512512052114672,-1.1512512052114672,-1.1512512052114672
2018-04-22,-1.0823294675419108,-1.0823294675419108,-1.0823294675419108,-1.263792652891637,-1.263792652891637,-1.263792652891637,-1.0775441990966372,-1.0775441990966372,-1.0775441990966372,-1.1995756052058504,-1.1995756052058504,-1.1995756052058504
2018-04-29,-1.7835929132486714,-1.7835929132486714,-1.7835929132486714,-1.7676095075075848,-1.7676095075075848,-1.7676095075075848,-1.5440275555057945,-1.5440275555057945,-1.5440275555057945,-1.6096950259460632,-1.6096950259460632,-1.6096950259460632
2018-05-06,-0.5471048919494769,-0.5471048919494769,-0.5471048919494769,-0.6590216093834511,-0.6590216093834511,-0.6590216093834511,-0.49322583746239496,-0.49322583746239496,-0.49322583746239496,-0.59757822309646,-0.59757822309646,-0.59757822309646
2018-05-13,-1.3594707931692254,-1.3594707931692254,-1.3594707931692254,-1.346450391689767,-1.346450391689767,-1.346450391689767,-1.2730376472586247,-1.2730376472586247,-1.2730376472586247,-1.218926003917712,-1.218926003917712,-1.218926003917712
2018-05-20,-1.5148430006422475,-1.5148430006422475,-1.5148430006422475,-1.473379841692102,-1.473379841692102,-1.473379841692102,-1.2942540687702393,-1.2942540687702393,-1.2942540687702393,-1.2898645624890863,-1.2898645624890863,-1.2898645624890863
2018-05-27,-1.1758259994947855,-1.1758259994947855,-1.1758259994947855,-1.0373441867037998,-1.0373441867037998,-1.0373441867037998,-0.9980758552544423,-0.9980758552544423,-0.9980758552544423,-0.870122665160699,-0.870122665160699,-0.870122665160699
2018-06-03,-1.3518231013951365,-1.3518231013951365,-1.3518231013951365,-1.4550276103958353,-1.4550276103958353,-1.4550276103958353,-1.4088924699645486,-1.4088924699645486,-1.4088924699645486,-1.4163295634213156,-1.4163295634213156,-1.4163295634213156
2018-06-10,-2.281156914484934,-2.281156914484934,-2.281156914484934,-2.316730263387153,-2.316730263387153,-2.316730263387153,-2.449517781653639,-2.449517781653639,-2.449517781653639,-2.2810547815420965,-2.2810547815420965,-2.2810547815420965
2018-06-17,-2.1525021652078964,-2.1525021652078964,-2.1525021652078964,-2.2238104445848057,-2.2238104445848057,-2.2238104445848057,-2.3475157201275723,-2.3475157201275723,-2.3475157201275723,-2.255032564774414,-2.255032564774414,-2.255032564774414
