Date,PowerShares S&P EM Momentum Port_Open_average,PowerShares S&P EM Momentum Port_Open_max,PowerShares S&P EM Momentum Port_Open_min,PowerShares S&P EM Momentum Port_High_average,PowerShares S&P EM Momentum Port_High_max,PowerShares S&P EM Momentum Port_High_min,PowerShares S&P EM Momentum Port_Low_average,PowerShares S&P EM Momentum Port_Low_max,PowerShares S&P EM Momentum Port_Low_min,PowerShares S&P EM Momentum Port_Close_average,PowerShares S&P EM Momentum Port_Close_max,PowerShares S&P EM Momentum Port_Close_min
2018-04-08,-1.1526129259144606,-1.1526129259144606,-1.1526129259144606,-1.2753561542443175,-1.2753561542443175,-1.2753561542443175,-0.9617136306922114,-0.9617136306922114,-0.9617136306922114,-0.9065041155928489,-0.9065041155928489,-0.9065041155928489
2018-04-15,-1.3858468473302903,-1.3858468473302903,-1.3858468473302903,-1.5302269371196162,-1.5302269371196162,-1.5302269371196162,-1.258838910512695,-1.258838910512695,-1.258838910512695,-1.351479581099757,-1.351479581099757,-1.351479581099757
2018-04-22,-1.2672902758452418,-1.2672902758452418,-1.2672902758452418,-1.315619674613626,-1.315619674613626,-1.315619674613626,-1.1885602391019223,-1.1885602391019223,-1.1885602391019223,-1.2340010982233949,-1.2340010982233949,-1.2340010982233949
2018-04-29,-1.5215678853044996,-1.5215678853044996,-1.5215678853044996,-1.4190436483705529,-1.4190436483705529,-1.4190436483705529,-1.3597875396418522,-1.3597875396418522,-1.3597875396418522,-1.315326674321799,-1.315326674321799,-1.315326674321799
2018-05-06,-0.19068937579339568,-0.19068937579339568,-0.19068937579339568,-0.3254721675095266,-0.3254721675095266,-0.3254721675095266,-0.16782975994148702,-0.16782975994148702,-0.16782975994148702,-0.3966153636417985,-0.3966153636417985,-0.3966153636417985
2018-05-13,-0.7455206136723797,-0.7455206136723797,-0.7455206136723797,-0.7855969311606307,-0.7855969311606307,-0.7855969311606307,-0.5711506012940468,-0.5711506012940468,-0.5711506012940468,-0.7229653220646582,-0.7229653220646582,-0.7229653220646582
2018-05-20,-0.7194532831540628,-0.7194532831540628,-0.7194532831540628,-0.8398888437561522,-0.8398888437561522,-0.8398888437561522,-0.573906261250439,-0.573906261250439,-0.573906261250439,-0.6803459690686222,-0.6803459690686222,-0.6803459690686222
2018-05-27,-0.1827145659907606,-0.1827145659907606,-0.1827145659907606,0.16623813627321682,0.16623813627321682,0.16623813627321682,0.03426169872566472,0.03426169872566472,0.03426169872566472,0.3361492577937216,0.3361492577937216,0.3361492577937216
2018-06-03,0.43889991522297395,0.43889991522297395,0.43889991522297395,0.28989099976853877,0.28989099976853877,0.28989099976853877,0.6014461070928916,0.6014461070928916,0.6014461070928916,0.22080760891596452,0.22080760891596452,0.22080760891596452
2018-06-10,-0.6838430135340674,-0.6838430135340674,-0.6838430135340674,-0.9311236176051028,-0.9311236176051028,-0.9311236176051028,-1.088444862788482,-1.088444862788482,-1.088444862788482,-0.5834141576610637,-0.5834141576610637,-0.5834141576610637
2018-06-17,-2.415472558327422,-2.415472558327422,-2.415472558327422,-2.5088259337107592,-2.5088259337107592,-2.5088259337107592,-2.5052082030842087,-2.5052082030842087,-2.5052082030842087,-2.4754245398947656,-2.4754245398947656,-2.4754245398947656
2018-06-24,-2.272969630870472,-2.272969630870472,-2.272969630870472,-2.238944441533449,-2.238944441533449,-2.238944441533449,-2.241275754511609,-2.241275754511609,-2.241275754511609,-2.238588791642368,-2.238588791642368,-2.238588791642368
2018-07-01,-1.0467977678629623,-1.0467977678629623,-1.0467977678629623,-1.0390692802033643,-1.0390692802033643,-1.0390692802033643,-0.9859513199332266,-0.9859513199332266,-0.9859513199332266,-0.9997521582844348,-0.9997521582844348,-0.9997521582844348
2018-07-08,-0.7934919920875451,-0.7934919920875451,-0.7934919920875451,-0.993551172600522,-0.993551172600522,-0.993551172600522,-0.7518699396884837,-0.7518699396884837,-0.7518699396884837,-0.9345681874338666,-0.9345681874338666,-0.9345681874338666
2018-07-15,-1.1521535581756333,-1.1521535581756333,-1.1521535581756333,-1.2585534741721558,-1.2585534741721558,-1.2585534741721558,-1.1583735348131767,-1.1583735348131767,-1.1583735348131767,-1.2936150018335708,-1.2936150018335708,-1.2936150018335708
2018-07-22,-0.531583590313727,-0.531583590313727,-0.531583590313727,-0.683334946726025,-0.683334946726025,-0.683334946726025,-0.8197030361867272,-0.8197030361867272,-0.8197030361867272,-0.8551828201489243,-0.8551828201489243,-0.8551828201489243
2018-07-29,-1.316526287432945,-1.316526287432945,-1.316526287432945,-1.1402670325671873,-1.1402670325671873,-1.1402670325671873,-1.3068110503210553,-1.3068110503210553,-1.3068110503210553,-1.242622644837094,-1.242622644837094,-1.242622644837094
2018-08-05,-1.2919648120015277,-1.2919648120015277,-1.2919648120015277,-1.3479981353278128,-1.3479981353278128,-1.3479981353278128,-1.386220831048742,-1.386220831048742,-1.386220831048742,-1.4528239017404114,-1.4528239017404114,-1.4528239017404114
2018-08-12,-1.4450659428332393,-1.4450659428332393,-1.4450659428332393,-1.4816840265524351,-1.4816840265524351,-1.4816840265524351,-1.418736007151142,-1.418736007151142,-1.418736007151142,-1.396968314337844,-1.396968314337844,-1.396968314337844
2018-08-19,-0.15069121554419584,-0.15069121554419584,-0.15069121554419584,-0.2552459584377964,-0.2552459584377964,-0.2552459584377964,-0.13704116132332986,-0.13704116132332986,-0.13704116132332986,-0.25626943873527247,-0.25626943873527247,-0.25626943873527247
2018-08-26,-0.7477601727973792,-0.7477601727973792,-0.7477601727973792,-0.8218145522404148,-0.8218145522404148,-0.8218145522404148,-0.7383929186346432,-0.7383929186346432,-0.7383929186346432,-0.7552809522749365,-0.7552809522749365,-0.7552809522749365
2018-09-02,-2.0597359428652706,-2.0597359428652706,-2.0597359428652706,-2.1095038162520874,-2.1095038162520874,-2.1095038162520874,-2.1579262553866014,-2.1579262553866014,-2.1579262553866014,-2.0878437181867837,-2.0878437181867837,-2.0878437181867837
2018-09-09,-1.5353767416779232,-1.5353767416779232,-1.5353767416779232,-1.6108342393169202,-1.6108342393169202,-1.6108342393169202,-1.6522523479768858,-1.6522523479768858,-1.6522523479768858,-1.695750311530157,-1.695750311530157,-1.695750311530157
2018-09-16,-0.4188423354675097,-0.4188423354675097,-0.4188423354675097,-0.38085388610982984,-0.38085388610982984,-0.38085388610982984,-0.3237095224959518,-0.3237095224959518,-0.3237095224959518,-0.2576722732707088,-0.2576722732707088,-0.2576722732707088
2018-09-23,0.03400935430391649,0.03400935430391649,0.03400935430391649,-0.03339894717941464,-0.03339894717941464,-0.03339894717941464,0.07022679786293148,0.07022679786293148,0.07022679786293148,0.028668075516459966,0.028668075516459966,0.028668075516459966
2018-09-30,-1.4020398442871413,-1.4020398442871413,-1.4020398442871413,-1.4565474370206655,-1.4565474370206655,-1.4565474370206655,-1.3066834393407674,-1.3066834393407674,-1.3066834393407674,-1.3641688254947069,-1.3641688254947069,-1.3641688254947069
2018-10-07,-1.578341734556408,-1.578341734556408,-1.578341734556408,-1.6048746630308566,-1.6048746630308566,-1.6048746630308566,-1.5997982093696739,-1.5997982093696739,-1.5997982093696739,-1.5878433803172525,-1.5878433803172525,-1.5878433803172525
2018-10-14,-1.420677948767107,-1.420677948767107,-1.420677948767107,-1.4362026911416654,-1.4362026911416654,-1.4362026911416654,-1.5252007873410824,-1.5252007873410824,-1.5252007873410824,-1.4964444485485195,-1.4964444485485195,-1.4964444485485195
2018-10-21,-1.8909598425860445,-1.8909598425860445,-1.8909598425860445,-1.867060962733716,-1.867060962733716,-1.867060962733716,-2.069035387319381,-2.069035387319381,-2.069035387319381,-2.0830235482962687,-2.0830235482962687,-2.0830235482962687
2018-10-28,-0.6778924055311055,-0.6778924055311055,-0.6778924055311055,-0.5872131182686625,-0.5872131182686625,-0.5872131182686625,-0.5673953232538081,-0.5673953232538081,-0.5673953232538081,-0.500236204293056,-0.500236204293056,-0.500236204293056
2018-11-04,-1.3107780004563871,-1.3107780004563871,-1.3107780004563871,-1.2753938337152828,-1.2753938337152828,-1.2753938337152828,-1.244316913600066,-1.244316913600066,-1.244316913600066,-1.250920733881796,-1.250920733881796,-1.250920733881796
2018-11-11,-0.7025253079382133,-0.7025253079382133,-0.7025253079382133,-0.6590993204129493,-0.6590993204129493,-0.6590993204129493,-0.6039140601726714,-0.6039140601726714,-0.6039140601726714,-0.5721555961559246,-0.5721555961559246,-0.5721555961559246
2018-11-18,-1.0414387128363045,-1.0414387128363045,-1.0414387128363045,-1.072386008599459,-1.072386008599459,-1.072386008599459,-0.9989267033630497,-0.9989267033630497,-0.9989267033630497,-1.0021491640556246,-1.0021491640556246,-1.0021491640556246
2018-11-25,0.49342589930522984,0.49342589930522984,0.49342589930522984,0.5010511112323431,0.5010511112323431,0.5010511112323431,0.4637923835005197,0.4637923835005197,0.4637923835005197,0.5055964028409116,0.5055964028409116,0.5055964028409116
2018-12-02,-1.2758317942227237,-1.2758317942227237,-1.2758317942227237,-1.250124018605782,-1.250124018605782,-1.250124018605782,-1.3757704874429757,-1.3757704874429757,-1.3757704874429757,-1.0796375261436053,-1.0796375261436053,-1.0796375261436053
2018-12-09,-0.9487455945127619,-0.9487455945127619,-0.9487455945127619,-0.977022424841645,-0.977022424841645,-0.977022424841645,-1.0734660959502642,-1.0734660959502642,-1.0734660959502642,-1.105959166489191,-1.105959166489191,-1.105959166489191
2018-12-16,-1.6782155480966607,-1.6782155480966607,-1.6782155480966607,-1.6738389339518003,-1.6738389339518003,-1.6738389339518003,-1.5295737929678048,-1.5295737929678048,-1.5295737929678048,-1.6208421615894422,-1.6208421615894422,-1.6208421615894422
2018-12-23,-2.806351927842554,-2.806351927842554,-2.806351927842554,-2.8054923184847684,-2.8054923184847684,-2.8054923184847684,-2.743019971165657,-2.743019971165657,-2.743019971165657,-2.7370807671464945,-2.7370807671464945,-2.7370807671464945
2018-12-30,-2.0470339478649304,-2.0470339478649304,-2.0470339478649304,-1.9648494399845522,-1.9648494399845522,-1.9648494399845522,-1.8737321408471963,-1.8737321408471963,-1.8737321408471963,-1.8649166113062687,-1.8649166113062687,-1.8649166113062687
