Date,SPDR Gold Shares_Open_average,SPDR Gold Shares_Open_max,SPDR Gold Shares_Open_min,SPDR Gold Shares_High_average,SPDR Gold Shares_High_max,SPDR Gold Shares_High_min,SPDR Gold Shares_Low_average,SPDR Gold Shares_Low_max,SPDR Gold Shares_Low_min,SPDR Gold Shares_Close_average,SPDR Gold Shares_Close_max,SPDR Gold Shares_Close_min
2018-04-08,1.0179088472905433,1.0179088472905433,1.0179088472905433,0.9545218698744413,0.9545218698744413,0.9545218698744413,1.1889800627007823,1.1889800627007823,1.1889800627007823,0.9194892092469755,0.9194892092469755,0.9194892092469755
2018-04-15,-0.6731396614950305,-0.6731396614950305,-0.6731396614950305,-0.8962370788447761,-0.8962370788447761,-0.8962370788447761,-0.7007929691244689,-0.7007929691244689,-0.7007929691244689,-0.8141148238104987,-0.8141148238104987,-0.8141148238104987
2018-04-22,-1.3819679887807352,-1.3819679887807352,-1.3819679887807352,-1.149662457000039,-1.149662457000039,-1.149662457000039,-1.400253948115257,-1.400253948115257,-1.400253948115257,-1.4222627150456393,-1.4222627150456393,-1.4222627150456393
2018-04-29,-1.1182198369265015,-1.1182198369265015,-1.1182198369265015,-1.2910152539575759,-1.2910152539575759,-1.2910152539575759,-1.1199186435876314,-1.1199186435876314,-1.1199186435876314,-1.2187701112795364,-1.2187701112795364,-1.2187701112795364
2018-05-06,-0.6317338760868902,-0.6317338760868902,-0.6317338760868902,-0.8621054777087398,-0.8621054777087398,-0.8621054777087398,-0.9454995489143985,-0.9454995489143985,-0.9454995489143985,-1.1694918220731698,-1.1694918220731698,-1.1694918220731698
2018-05-13,-2.1736501244067075,-2.1736501244067075,-2.1736501244067075,-2.139945066868891,-2.139945066868891,-2.139945066868891,-2.0865242529959787,-2.0865242529959787,-2.0865242529959787,-2.0223979227513516,-2.0223979227513516,-2.0223979227513516
2018-05-20,-1.0365221677716423,-1.0365221677716423,-1.0365221677716423,-1.191405357420144,-1.191405357420144,-1.191405357420144,-1.1134255457582236,-1.1134255457582236,-1.1134255457582236,-1.3046113904198224,-1.3046113904198224,-1.3046113904198224
2018-05-27,-1.3050618695638805,-1.3050618695638805,-1.3050618695638805,-1.3912623700586786,-1.3912623700586786,-1.3912623700586786,-1.3660633559906419,-1.3660633559906419,-1.3660633559906419,-1.495092365709392,-1.495092365709392,-1.495092365709392
2018-06-03,-1.0255588046015325,-1.0255588046015325,-1.0255588046015325,-0.9922780227828945,-0.9922780227828945,-0.9922780227828945,-0.8991397500164683,-0.8991397500164683,-0.8991397500164683,-0.9136063638182054,-0.9136063638182054,-0.9136063638182054
2018-06-10,-1.612625696966399,-1.612625696966399,-1.612625696966399,-1.624237119706397,-1.624237119706397,-1.624237119706397,-1.604683683905131,-1.604683683905131,-1.604683683905131,-1.6117707992333288,-1.6117707992333288,-1.6117707992333288
2018-06-17,-1.8479664148804473,-1.8479664148804473,-1.8479664148804473,-1.7940727772545284,-1.7940727772545284,-1.7940727772545284,-1.7913223526806923,-1.7913223526806923,-1.7913223526806923,-1.7860815929854155,-1.7860815929854155,-1.7860815929854155
2018-06-24,-2.0095103519866377,-2.0095103519866377,-2.0095103519866377,-2.0311887282419923,-2.0311887282419923,-2.0311887282419923,-2.112883798867546,-2.112883798867546,-2.112883798867546,-2.1104795978908126,-2.1104795978908126,-2.1104795978908126
2018-07-01,-1.2367439642709912,-1.2367439642709912,-1.2367439642709912,-1.253110613976355,-1.253110613976355,-1.253110613976355,-1.2536388031499808,-1.2536388031499808,-1.2536388031499808,-1.2859313421266243,-1.2859313421266243,-1.2859313421266243
2018-07-08,-1.7574401458096929,-1.7574401458096929,-1.7574401458096929,-1.745537683576289,-1.745537683576289,-1.745537683576289,-1.6839148809090494,-1.6839148809090494,-1.6839148809090494,-1.6194172806968057,-1.6194172806968057,-1.6194172806968057
2018-07-15,-1.7949185061338169,-1.7949185061338169,-1.7949185061338169,-1.7854694303915248,-1.7854694303915248,-1.7854694303915248,-1.806025423464906,-1.806025423464906,-1.806025423464906,-1.7700892081938056,-1.7700892081938056,-1.7700892081938056
2018-07-22,-1.5896941430990204,-1.5896941430990204,-1.5896941430990204,-1.5584650391645742,-1.5584650391645742,-1.5584650391645742,-1.522798878440492,-1.522798878440492,-1.522798878440492,-1.5565902636439786,-1.5565902636439786,-1.5565902636439786
2018-07-29,-1.6261529523659228,-1.6261529523659228,-1.6261529523659228,-1.6181362629192846,-1.6181362629192846,-1.6181362629192846,-1.6064621747914987,-1.6064621747914987,-1.6064621747914987,-1.6293516193879882,-1.6293516193879882,-1.6293516193879882
2018-08-05,-1.5768013979708984,-1.5768013979708984,-1.5768013979708984,-1.599872094576926,-1.599872094576926,-1.599872094576926,-1.7013589986146356,-1.7013589986146356,-1.7013589986146356,-1.6895327453928872,-1.6895327453928872,-1.6895327453928872
2018-08-12,-1.6132967855659273,-1.6132967855659273,-1.6132967855659273,-1.5599320402057,-1.5599320402057,-1.5599320402057,-1.5460756320800808,-1.5460756320800808,-1.5460756320800808,-1.4649837976681648,-1.4649837976681648,-1.4649837976681648
2018-08-19,-1.00027949252428,-1.00027949252428,-1.00027949252428,-0.8767286051024149,-0.8767286051024149,-0.8767286051024149,-0.8912025804271224,-0.8912025804271224,-0.8912025804271224,-0.8229810071107657,-0.8229810071107657,-0.8229810071107657
2018-08-26,-0.9745863337242943,-0.9745863337242943,-0.9745863337242943,-0.9462434188549161,-0.9462434188549161,-0.9462434188549161,-0.9434571430967967,-0.9434571430967967,-0.9434571430967967,-0.9877520468649889,-0.9877520468649889,-0.9877520468649889
2018-09-02,-1.0142391722627502,-1.0142391722627502,-1.0142391722627502,-1.047756222515401,-1.047756222515401,-1.047756222515401,-0.9851772765558758,-0.9851772765558758,-0.9851772765558758,-1.013367786283785,-1.013367786283785,-1.013367786283785
2018-09-09,-0.7939394860686594,-0.7939394860686594,-0.7939394860686594,-0.7327237550816135,-0.7327237550816135,-0.7327237550816135,-0.6908307776903883,-0.6908307776903883,-0.6908307776903883,-0.7496084702641185,-0.7496084702641185,-0.7496084702641185
2018-09-16,-0.6554265464904568,-0.6554265464904568,-0.6554265464904568,-0.6577857927720876,-0.6577857927720876,-0.6577857927720876,-0.6367681342533584,-0.6367681342533584,-0.6367681342533584,-0.7081453329258306,-0.7081453329258306,-0.7081453329258306
2018-09-23,-1.0801544030796852,-1.0801544030796852,-1.0801544030796852,-1.126671664463188,-1.126671664463188,-1.126671664463188,-1.0735583707095642,-1.0735583707095642,-1.0735583707095642,-0.9877236896485759,-0.9877236896485759,-0.9877236896485759
2018-09-30,-1.172303812696784,-1.172303812696784,-1.172303812696784,-1.1633425186017585,-1.1633425186017585,-1.1633425186017585,-1.1974308147808161,-1.1974308147808161,-1.1974308147808161,-0.9848689785083939,-0.9848689785083939,-0.9848689785083939
2018-10-07,1.558113715999773,1.558113715999773,1.558113715999773,1.6718350165811964,1.6718350165811964,1.6718350165811964,1.585187126659942,1.585187126659942,1.585187126659942,1.6257669137648432,1.6257669137648432,1.6257669137648432
2018-10-14,1.2705326127654082,1.2705326127654082,1.2705326127654082,1.198897920798557,1.198897920798557,1.198897920798557,1.3062119362827767,1.3062119362827767,1.3062119362827767,1.4583665638983434,1.4583665638983434,1.4583665638983434
2018-10-21,1.7760280430281967,1.7760280430281967,1.7760280430281967,1.6718279172713804,1.6718279172713804,1.6718279172713804,1.5712085449868285,1.5712085449868285,1.5712085449868285,1.7761019974015395,1.7761019974015395,1.7761019974015395
2018-10-28,1.439157133235856,1.439157133235856,1.439157133235856,1.4891697906724963,1.4891697906724963,1.4891697906724963,1.5592971676190694,1.5592971676190694,1.5592971676190694,1.5203355355870136,1.5203355355870136,1.5203355355870136
2018-11-04,-0.08585374662002354,-0.08585374662002354,-0.08585374662002354,-0.26306755474107824,-0.26306755474107824,-0.26306755474107824,-0.21396560267790132,-0.21396560267790132,-0.21396560267790132,-0.34990088633062016,-0.34990088633062016,-0.34990088633062016
2018-11-11,0.7485095973050153,0.7485095973050153,0.7485095973050153,0.8443819850196853,0.8443819850196853,0.8443819850196853,0.8391182055353426,0.8391182055353426,0.8391182055353426,0.8881870129048456,0.8881870129048456,0.8881870129048456
