Date,VelocityShares 3x Long Silver linked to S&P GSCI S_Open_average,VelocityShares 3x Long Silver linked to S&P GSCI S_Open_max,VelocityShares 3x Long Silver linked to S&P GSCI S_Open_min,VelocityShares 3x Long Silver linked to S&P GSCI S_High_average,VelocityShares 3x Long Silver linked to S&P GSCI S_High_max,VelocityShares 3x Long Silver linked to S&P GSCI S_High_min,VelocityShares 3x Long Silver linked to S&P GSCI S_Low_average,VelocityShares 3x Long Silver linked to S&P GSCI S_Low_max,VelocityShares 3x Long Silver linked to S&P GSCI S_Low_min,VelocityShares 3x Long Silver linked to S&P GSCI S_Close_average,VelocityShares 3x Long Silver linked to S&P GSCI S_Close_max,VelocityShares 3x Long Silver linked to S&P GSCI S_Close_min
2018-04-08,-0.14344451086420568,-0.14344451086420568,-0.14344451086420568,-0.20417515637108014,-0.20417515637108014,-0.20417515637108014,-0.09783833374098201,-0.09783833374098201,-0.09783833374098201,-0.2912861847144841,-0.2912861847144841,-0.2912861847144841
2018-04-15,0.05449159752694676,0.05449159752694676,0.05449159752694676,-0.1206519725481971,-0.1206519725481971,-0.1206519725481971,-0.24678508775766034,-0.24678508775766034,-0.24678508775766034,-0.4475756493873858,-0.4475756493873858,-0.4475756493873858
2018-04-22,-1.863821126623035,-1.863821126623035,-1.863821126623035,-1.5407070928547801,-1.5407070928547801,-1.5407070928547801,-2.076789134906801,-2.076789134906801,-2.076789134906801,-2.0317473757501023,-2.0317473757501023,-2.0317473757501023
2018-04-29,-0.9435372311358885,-0.9435372311358885,-0.9435372311358885,-1.2306410256902467,-1.2306410256902467,-1.2306410256902467,-0.8850917845900164,-0.8850917845900164,-0.8850917845900164,-1.1712773197631619,-1.1712773197631619,-1.1712773197631619
2018-05-06,-0.012581215485561917,-0.012581215485561917,-0.012581215485561917,-0.3094115694116323,-0.3094115694116323,-0.3094115694116323,-0.45558091783220644,-0.45558091783220644,-0.45558091783220644,-0.8089966358617178,-0.8089966358617178,-0.8089966358617178
2018-05-13,-0.7804247915633293,-0.7804247915633293,-0.7804247915633293,-1.1632677765980526,-1.1632677765980526,-1.1632677765980526,-0.8262428252691267,-0.8262428252691267,-0.8262428252691267,-0.8872963599865602,-0.8872963599865602,-0.8872963599865602
2018-05-20,0.11647392486817926,0.11647392486817926,0.11647392486817926,-0.28327074707168143,-0.28327074707168143,-0.28327074707168143,-0.35608148357482244,-0.35608148357482244,-0.35608148357482244,-0.8129201441957057,-0.8129201441957057,-0.8129201441957057
2018-05-27,-0.7005855530883273,-0.7005855530883273,-0.7005855530883273,-0.9987046156062779,-0.9987046156062779,-0.9987046156062779,-0.879471051174828,-0.879471051174828,-0.879471051174828,-1.2940711699956415,-1.2940711699956415,-1.2940711699956415
2018-06-03,1.286307838601624,1.286307838601624,1.286307838601624,1.4350294378013948,1.4350294378013948,1.4350294378013948,1.6302409274937284,1.6302409274937284,1.6302409274937284,1.832976186770888,1.832976186770888,1.832976186770888
2018-06-10,-0.8168743379297363,-0.8168743379297363,-0.8168743379297363,-1.1383551778302117,-1.1383551778302117,-1.1383551778302117,-0.9905081222822847,-0.9905081222822847,-0.9905081222822847,-0.9788616689596538,-0.9788616689596538,-0.9788616689596538
