Date,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Open_change,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_High_change,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Low_change,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_average,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_max,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_min,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_volatility,Allied Capital 6.875% Notes Exp 15 Apr 2047Etf_Close_change
2016-05-15,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2016-05-22,25.56,25.56,25.56,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2016-05-29,25.67,25.67,25.67,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2016-06-05,25.8,25.8,25.8,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2016-06-12,25.79,25.79,25.79,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2016-06-19,25.58,25.58,25.58,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.4,25.4,25.4,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2016-06-26,25.52,25.52,25.52,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2016-07-03,25.62,25.62,25.62,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.75,25.75,25.75,0.0,0.0
2016-07-10,25.8,25.8,25.8,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2016-07-17,25.8,25.8,25.8,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2016-07-24,25.81,25.81,25.81,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.84,25.84,25.84,0.0,0.0
2016-07-31,25.83,25.83,25.83,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.83,25.83,25.83,0.0,0.0,25.87,25.87,25.87,0.0,0.0
2016-08-07,25.79,25.79,25.79,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.84,25.84,25.84,0.0,0.0
