,Date,Time,Ticker,Price,Transaction Type,Shares before,Shares After,Balance Before,Balance After
0,Gold,3.068,2018-04-16,Open,Buy,0,325,1000,2.8999999999999773
1,Gold,3.237,2018-04-16,Close,Sell,325,0,2.8999999999999773,1054.9250000000002
2,Gold,3.068,2018-04-17,Open,Buy,0,343,1054.9250000000002,2.6010000000001128
3,Gold,3.2260000000000004,2018-04-17,Close,Sell,343,0,2.6010000000001128,1109.1190000000004
4,Gold,3.16,2018-04-18,Open,Buy,0,350,1109.1190000000004,3.1190000000003693
5,Gold,3.299,2018-04-18,Close,Sell,350,0,3.1190000000003693,1157.7690000000002
6,Gold,3.085,2018-04-23,Open,Buy,0,375,1157.7690000000002,0.8940000000002328
7,Gold,3.258,2018-04-23,Close,Sell,375,0,0.8940000000002328,1222.6440000000002
8,Gold,3.147,2018-04-24,Open,Buy,0,388,1222.6440000000002,1.608000000000402
9,Gold,3.2889999999999997,2018-04-24,Close,Sell,388,0,1.608000000000402,1277.7400000000002
10,Gold,3.13,2018-04-25,Open,Buy,0,408,1277.7400000000002,0.7000000000002728
11,Gold,3.275,2018-04-25,Close,Sell,408,0,0.7000000000002728,1336.9000000000003
12,Gold,3.049,2018-05-01,Open,Buy,0,438,1336.9000000000003,1.4380000000003292
13,Gold,3.1639999999999997,2018-05-01,Close,Sell,438,0,1.4380000000003292,1387.2700000000002
14,Gold,3.033,2018-05-02,Open,Buy,0,457,1387.2700000000002,1.1890000000003056
15,Gold,3.1910000000000003,2018-05-02,Close,Sell,457,0,1.1890000000003056,1459.4760000000003
16,Gold,3.055,2018-05-07,Open,Buy,0,477,1459.4760000000003,2.241000000000213
17,Gold,3.214,2018-05-07,Close,Sell,477,0,2.241000000000213,1535.3190000000002
18,Gold,3.0580000000000003,2018-05-08,Open,Buy,0,502,1535.3190000000002,0.20299999999997453
19,Gold,3.195,2018-05-08,Close,Sell,502,0,0.20299999999997453,1604.0929999999998
20,Gold,3.033,2018-05-09,Open,Buy,0,528,1604.0929999999998,2.668999999999869
21,Gold,3.195,2018-05-09,Close,Sell,528,0,2.668999999999869,1689.6289999999997
22,Gold,3.075,2018-05-14,Open,Buy,0,549,1689.6289999999997,1.4539999999994961
23,Gold,3.227,2018-05-14,Close,Sell,549,0,1.4539999999994961,1773.0769999999993
24,Gold,3.0780000000000003,2018-05-15,Open,Buy,0,576,1773.0769999999993,0.1489999999992051
25,Gold,3.1919999999999997,2018-05-15,Close,Sell,576,0,0.1489999999992051,1838.740999999999
26,Gold,3.035,2018-05-16,Open,Buy,0,605,1838.740999999999,2.565999999998894
27,Gold,3.201,2018-05-16,Close,Sell,605,0,2.565999999998894,1939.170999999999
28,Gold,3.0610000000000004,2018-05-21,Open,Buy,0,633,1939.170999999999,1.5579999999986285
29,Gold,3.235,2018-05-21,Close,Sell,633,0,1.5579999999986285,2049.3129999999983
30,Gold,3.1,2018-05-22,Open,Buy,0,661,2049.3129999999983,0.21299999999837382
31,Gold,3.262,2018-05-22,Close,Sell,661,0,0.21299999999837382,2156.394999999998
32,Gold,3.09,2018-05-23,Open,Buy,0,697,2156.394999999998,2.6649999999981446
33,Gold,3.2030000000000003,2018-05-23,Close,Sell,697,0,2.6649999999981446,2235.155999999998
34,Gold,3.073,2018-05-29,Open,Buy,0,727,2235.155999999998,1.0849999999982174
35,Gold,3.193,2018-05-29,Close,Sell,727,0,1.0849999999982174,2322.3959999999984
36,Gold,3.0439999999999996,2018-05-30,Open,Buy,0,762,2322.3959999999984,2.867999999998574
37,Gold,3.197,2018-05-30,Close,Sell,762,0,2.867999999998574,2438.9819999999986
38,Gold,3.102,2018-06-04,Open,Buy,0,786,2438.9819999999986,0.8099999999985812
39,Gold,3.26,2018-06-04,Close,Sell,786,0,0.8099999999985812,2563.1699999999983
40,Gold,3.138,2018-06-05,Open,Buy,0,816,2563.1699999999983,2.561999999998534
41,Gold,3.322,2018-06-05,Close,Sell,816,0,2.561999999998534,2713.3139999999985
42,Gold,3.136,2018-06-18,Open,Buy,0,865,2713.3139999999985,0.6739999999981592
43,Gold,3.237,2018-06-18,Close,Sell,865,0,0.6739999999981592,2800.6789999999983
44,Gold,3.043,2018-06-19,Open,Buy,0,920,2800.6789999999983,1.118999999998323
45,Gold,3.181,2018-06-19,Close,Sell,920,0,1.118999999998323,2927.6389999999983
46,Gold,3.0439999999999996,2018-06-20,Open,Buy,0,961,2927.6389999999983,2.354999999998654
47,Gold,3.1710000000000003,2018-06-20,Close,Sell,961,0,2.354999999998654,3049.685999999999
48,Gold,2.9539999999999997,2018-07-02,Open,Buy,0,1032,3049.685999999999,1.1579999999989923
