,Ticker,Price,Date,Time,Transaction Type,Shares before,Shares After,Balance Before,Balance After
0,SPDR S&P 500Etf,267.26,2018-04-23,Open,Buy,0,3,1000,198.22000000000003
1,SPDR S&P 500Etf,266.56,2018-04-27,Close,Sell,3,0,198.22000000000003,997.9000000000001
2,SPDR S&P 500Etf,262.26,2018-05-03,Open,Buy,0,3,997.9000000000001,211.12000000000012
3,SPDR S&P 500Etf,266.02,2018-05-04,Close,Sell,3,0,211.12000000000012,1009.1800000000001
4,SPDR S&P 500Etf,269.02,2018-05-29,Close,Buy,0,3,1009.1800000000001,202.12000000000012
5,SPDR S&P 500Etf,270.5,2018-05-30,Open,Sell,3,0,202.12000000000012,1013.6200000000001
6,SPDR S&P 500Etf,271.0,2018-06-25,Close,Buy,0,3,1013.6200000000001,200.62000000000012
7,SPDR S&P 500Etf,272.12,2018-06-29,Open,Sell,3,0,200.62000000000012,1016.9800000000001
8,SPDR S&P 500Etf,271.86,2018-07-02,Close,Buy,0,3,1016.9800000000001,201.4000000000001
9,SPDR S&P 500Etf,273.14,2018-07-06,Open,Sell,3,0,201.4000000000001,1020.82
10,SPDR S&P 500Etf,282.1,2018-08-13,Close,Buy,0,3,1020.82,174.51999999999998
11,SPDR S&P 500Etf,282.92,2018-08-14,Open,Sell,3,0,174.51999999999998,1023.28
12,SPDR S&P 500Etf,281.78,2018-08-15,Close,Buy,0,3,1023.28,177.94000000000005
13,SPDR S&P 500Etf,283.4,2018-08-16,Open,Sell,3,0,177.94000000000005,1028.1399999999999
14,SPDR S&P 500Etf,288.1,2018-09-10,Close,Buy,0,3,1028.1399999999999,163.8399999999998
15,SPDR S&P 500Etf,289.05,2018-09-11,Close,Sell,3,0,163.8399999999998,1030.9899999999998
16,SPDR S&P 500Etf,289.34,2018-09-17,Close,Buy,0,3,1030.9899999999998,162.9699999999998
17,SPDR S&P 500Etf,290.91,2018-09-18,Close,Sell,3,0,162.9699999999998,1035.6999999999998
18,SPDR S&P 500Etf,287.82,2018-10-08,Close,Buy,0,3,1035.6999999999998,172.23999999999978
19,SPDR S&P 500Etf,276.77,2018-10-12,Open,Sell,3,0,172.23999999999978,1002.5499999999997
20,SPDR S&P 500Etf,275.55,2018-10-15,Open,Buy,0,3,1002.5499999999997,175.89999999999964
21,SPDR S&P 500Etf,276.25,2018-10-19,Close,Sell,3,0,175.89999999999964,1004.6499999999996
22,SPDR S&P 500Etf,275.01,2018-10-22,Close,Buy,0,3,1004.6499999999996,179.61999999999966
23,SPDR S&P 500Etf,265.33,2018-10-26,Close,Sell,3,0,179.61999999999966,975.6099999999997
24,SPDR S&P 500Etf,268.8,2018-10-29,Open,Buy,0,3,975.6099999999997,169.20999999999958
25,SPDR S&P 500Etf,271.89,2018-11-02,Close,Sell,3,0,169.20999999999958,984.8799999999995
26,SPDR S&P 500Etf,272.44,2018-11-05,Open,Buy,0,3,984.8799999999995,167.5599999999996
27,SPDR S&P 500Etf,279.03,2018-11-09,Open,Sell,3,0,167.5599999999996,1004.6499999999995
28,SPDR S&P 500Etf,272.57,2018-11-12,Close,Buy,0,3,1004.6499999999995,186.9399999999995
29,SPDR S&P 500Etf,273.73,2018-11-16,Close,Sell,3,0,186.9399999999995,1008.1299999999995
30,SPDR S&P 500Etf,273.05,2018-11-19,Open,Buy,0,3,1008.1299999999995,188.97999999999945
31,SPDR S&P 500Etf,263.25,2018-11-23,Close,Sell,3,0,188.97999999999945,978.7299999999994
32,SPDR S&P 500Etf,265.78,2018-11-26,Open,Buy,0,3,978.7299999999994,181.38999999999953
33,SPDR S&P 500Etf,273.81,2018-11-30,Open,Sell,3,0,181.38999999999953,1002.8199999999996
34,SPDR S&P 500Etf,279.3,2018-12-03,Close,Buy,0,3,1002.8199999999996,164.9199999999995
35,SPDR S&P 500Etf,263.57,2018-12-07,Close,Sell,3,0,164.9199999999995,955.6299999999995
36,SPDR S&P 500Etf,263.37,2018-12-10,Open,Buy,0,3,955.6299999999995,165.51999999999953
37,SPDR S&P 500Etf,260.47,2018-12-14,Close,Sell,3,0,165.51999999999953,946.9299999999996
38,SPDR S&P 500Etf,259.4,2018-12-17,Open,Buy,0,3,946.9299999999996,168.72999999999968
39,SPDR S&P 500Etf,240.7,2018-12-21,Close,Sell,3,0,168.72999999999968,890.8299999999996
40,SPDR S&P 500Etf,239.04,2018-12-24,Open,Buy,0,3,890.8299999999996,173.70999999999958
41,SPDR S&P 500Etf,249.58,2018-12-28,Open,Sell,3,0,173.70999999999958,922.4499999999996
42,SPDR S&P 500Etf,249.92,2018-12-31,Close,Buy,0,3,922.4499999999996,172.6899999999996
43,SPDR S&P 500Etf,252.39,2019-01-04,Close,Sell,3,0,172.6899999999996,929.8599999999996
44,SPDR S&P 500Etf,254.38,2019-01-07,Close,Buy,0,3,929.8599999999996,166.71999999999957
45,SPDR S&P 500Etf,257.68,2019-01-11,Open,Sell,3,0,166.71999999999957,939.7599999999995
46,SPDR S&P 500Etf,257.4,2019-01-14,Close,Buy,0,3,939.7599999999995,167.5599999999996
47,SPDR S&P 500Etf,264.98,2019-01-18,Open,Sell,3,0,167.5599999999996,962.4999999999997
48,SPDR S&P 500Etf,262.86,2019-01-22,Close,Buy,0,3,962.4999999999997,173.91999999999962
49,SPDR S&P 500Etf,265.61,2019-01-25,Open,Sell,3,0,173.91999999999962,970.7499999999997
50,SPDR S&P 500Etf,263.76,2019-01-28,Close,Buy,0,3,970.7499999999997,179.4699999999997
51,SPDR S&P 500Etf,269.93,2019-01-31,Close,Sell,3,0,179.4699999999997,989.2599999999996
52,SPDR S&P 500Etf,270.14,2019-02-07,Close,Buy,0,3,989.2599999999996,178.8399999999997
53,SPDR S&P 500Etf,268.75,2019-02-08,Open,Sell,3,0,178.8399999999997,985.0899999999997
54,SPDR S&P 500Etf,270.62,2019-02-11,Close,Buy,0,3,985.0899999999997,173.22999999999968
55,SPDR S&P 500Etf,272.42,2019-02-12,Open,Sell,3,0,173.22999999999968,990.4899999999997
56,SPDR S&P 500Etf,287.93,2019-05-07,Close,Buy,0,3,990.4899999999997,126.6999999999997
57,SPDR S&P 500Etf,285.62,2019-05-10,Open,Sell,3,0,126.6999999999997,983.5599999999997
58,SPDR S&P 500Etf,280.86,2019-05-13,Close,Buy,0,3,983.5599999999997,140.97999999999968
59,SPDR S&P 500Etf,285.14,2019-05-17,Open,Sell,3,0,140.97999999999968,996.3999999999996
60,SPDR S&P 500Etf,283.95,2019-05-20,Close,Buy,0,3,996.3999999999996,144.54999999999973
61,SPDR S&P 500Etf,283.74,2019-05-24,Open,Sell,3,0,144.54999999999973,995.7699999999998
62,SPDR S&P 500Etf,280.15,2019-05-28,Close,Buy,0,3,995.7699999999998,155.31999999999982
63,SPDR S&P 500Etf,276.2,2019-05-31,Open,Sell,3,0,155.31999999999982,983.9199999999997
64,SPDR S&P 500Etf,275.31,2019-06-03,Open,Buy,0,3,983.9199999999997,157.98999999999967
65,SPDR S&P 500Etf,285.93,2019-06-07,Open,Sell,3,0,157.98999999999967,1015.7799999999996
66,SPDR S&P 500Etf,288.97,2019-06-10,Close,Buy,0,3,1015.7799999999996,148.86999999999955
67,SPDR S&P 500Etf,289.26,2019-06-14,Open,Sell,3,0,148.86999999999955,1016.6499999999995
68,SPDR S&P 500Etf,289.37,2019-06-17,Close,Buy,0,3,1016.6499999999995,148.5399999999995
69,SPDR S&P 500Etf,296.04,2019-06-20,Open,Sell,3,0,148.5399999999995,1036.6599999999996
70,SPDR S&P 500Etf,293.64,2019-06-24,Close,Buy,0,3,1036.6599999999996,155.73999999999967
71,SPDR S&P 500Etf,292.58,2019-06-28,Open,Sell,3,0,155.73999999999967,1033.4799999999996
72,SPDR S&P 500Etf,295.66,2019-07-01,Close,Buy,0,3,1033.4799999999996,146.49999999999955
73,SPDR S&P 500Etf,298.8,2019-07-03,Close,Sell,3,0,146.49999999999955,1042.8999999999996
74,SPDR S&P 500Etf,296.82,2019-07-08,Close,Buy,0,3,1042.8999999999996,152.4399999999996
75,SPDR S&P 500Etf,298.37,2019-07-10,Open,Sell,3,0,152.4399999999996,1047.5499999999997
76,SPDR S&P 500Etf,297.74,2019-07-17,Close,Buy,0,3,1047.5499999999997,154.3299999999997
77,SPDR S&P 500Etf,300.04,2019-07-19,Open,Sell,3,0,154.3299999999997,1054.4499999999998
78,SPDR S&P 500Etf,297.9,2019-07-22,Close,Buy,0,3,1054.4499999999998,160.7499999999999
79,SPDR S&P 500Etf,300.03,2019-07-23,Close,Sell,3,0,160.7499999999999,1060.8399999999997
80,SPDR S&P 500Etf,297.43,2019-07-31,Close,Buy,0,3,1060.8399999999997,168.54999999999973
81,SPDR S&P 500Etf,293.85,2019-08-02,Open,Sell,3,0,168.54999999999973,1050.1
82,SPDR S&P 500Etf,283.82,2019-08-05,Close,Buy,0,3,1050.1,198.63999999999987
83,SPDR S&P 500Etf,292.58,2019-08-09,Open,Sell,3,0,198.63999999999987,1076.3799999999999
84,SPDR S&P 500Etf,288.07,2019-08-12,Close,Buy,0,3,1076.3799999999999,212.16999999999985
85,SPDR S&P 500Etf,286.48,2019-08-16,Open,Sell,3,0,212.16999999999985,1071.61
86,SPDR S&P 500Etf,292.33,2019-08-19,Close,Buy,0,3,1071.61,194.6199999999999
87,SPDR S&P 500Etf,290.92,2019-08-23,Open,Sell,3,0,194.6199999999999,1067.3799999999999
88,SPDR S&P 500Etf,288.0,2019-08-26,Close,Buy,0,3,1067.3799999999999,203.37999999999988
89,SPDR S&P 500Etf,294.22,2019-08-30,Open,Sell,3,0,203.37999999999988,1086.04
90,SPDR S&P 500Etf,290.74,2019-09-03,Close,Buy,0,3,1086.04,213.81999999999994
91,SPDR S&P 500Etf,298.17,2019-09-06,Open,Sell,3,0,213.81999999999994,1108.33
92,SPDR S&P 500Etf,298.2,2019-09-09,Close,Buy,0,3,1108.33,213.73000000000002
93,SPDR S&P 500Etf,301.78,2019-09-13,Open,Sell,3,0,213.73000000000002,1119.07
94,SPDR S&P 500Etf,298.21,2019-09-23,Close,Buy,0,3,1119.07,224.44000000000005
95,SPDR S&P 500Etf,297.83,2019-09-27,Open,Sell,3,0,224.44000000000005,1117.93
96,SPDR S&P 500Etf,296.77,2019-09-30,Close,Buy,0,3,1117.93,227.62000000000012
97,SPDR S&P 500Etf,291.14,2019-10-04,Open,Sell,3,0,227.62000000000012,1101.04
98,SPDR S&P 500Etf,293.08,2019-10-07,Close,Buy,0,3,1101.04,221.79999999999995
99,SPDR S&P 500Etf,296.27,2019-10-11,Open,Sell,3,0,221.79999999999995,1110.61
100,SPDR S&P 500Etf,295.95,2019-10-14,Close,Buy,0,3,1110.61,222.76
101,SPDR S&P 500Etf,298.88,2019-10-15,Close,Sell,3,0,222.76,1119.4
102,SPDR S&P 500Etf,298.4,2019-10-16,Close,Buy,0,3,1119.4,224.20000000000016
103,SPDR S&P 500Etf,299.68,2019-10-17,Open,Sell,3,0,224.20000000000016,1123.2400000000002
104,SPDR S&P 500Etf,309.55,2019-12-03,Close,Buy,0,3,1123.2400000000002,194.59000000000015
105,SPDR S&P 500Etf,310.7,2019-12-04,Open,Sell,3,0,194.59000000000015,1126.69
