Date,Open,High,Low,Close,Volume,Currency
2018-01-16,6.15,6.2,6.15,6.2,30048,USD
2018-01-17,6.15,6.2,6.15,6.15,55275,USD
2018-01-18,6.15,6.2,6.1,6.17,171228,USD
2018-01-19,6.2,6.25,6.1,6.17,155677,USD
2018-01-22,6.2,6.25,6.15,6.2,95656,USD
2018-01-23,6.2,6.25,6.18,6.22,70201,USD
2018-01-24,6.25,6.25,6.15,6.2,154820,USD
2018-01-25,6.2,6.2,6.05,6.1,150844,USD
2018-01-26,6.15,6.15,6.0,6.05,108231,USD
2018-01-29,6.1,6.1,5.95,6.05,207323,USD
2018-01-30,6.05,6.15,6.01,6.12,87155,USD
2018-01-31,6.2,6.25,6.1,6.15,226754,USD
2018-02-01,6.2,6.25,6.15,6.25,79889,USD
2018-02-02,6.15,6.17,6.08,6.15,70426,USD
2018-02-05,6.1,6.15,6.05,6.05,72406,USD
2018-02-06,6.05,6.1,6.0,6.1,216306,USD
2018-02-07,6.1,6.15,6.05,6.15,73924,USD
2018-02-08,6.15,6.15,6.1,6.15,76699,USD
2018-02-09,6.15,6.15,6.05,6.08,69817,USD
2018-02-12,6.15,6.2,6.07,6.2,53892,USD
2018-02-13,6.17,6.2,6.1,6.1,58086,USD
2018-02-14,6.2,6.2,6.1,6.15,73326,USD
2018-02-15,6.2,6.25,6.17,6.25,95247,USD
2018-02-16,6.25,6.25,6.2,6.25,96446,USD
2018-02-20,6.25,6.25,6.2,6.22,54346,USD
2018-02-21,6.25,6.25,6.15,6.25,69742,USD
2018-02-22,6.2,6.25,6.15,6.2,92784,USD
2018-02-23,6.2,6.25,6.19,6.2,37841,USD
2018-02-26,6.2,6.22,6.15,6.22,89797,USD
2018-02-27,6.2,6.24,6.15,6.15,33887,USD
2018-02-28,6.2,6.25,6.16,6.2,110552,USD
2018-03-01,6.23,6.25,6.15,6.15,48836,USD
2018-03-02,6.2,6.3,6.15,6.25,55006,USD
2018-03-05,6.25,6.35,6.21,6.25,132522,USD
2018-03-06,6.3,6.35,6.24,6.3,73795,USD
2018-03-07,6.35,6.35,6.25,6.35,201239,USD
2018-03-08,6.35,6.4,6.3,6.3,112263,USD
2018-03-09,6.3,6.4,6.3,6.38,178632,USD
2018-03-12,6.4,6.4,6.35,6.4,50120,USD
2018-03-13,6.4,6.4,6.2,6.2,248658,USD
2018-03-14,6.25,6.35,6.2,6.3,69387,USD
2018-03-15,6.25,6.36,6.25,6.3,99963,USD
2018-03-16,6.29,6.4,6.29,6.4,45407,USD
2018-03-19,6.4,6.4,6.35,6.35,49316,USD
2018-03-20,6.35,6.4,6.26,6.3,79748,USD
2018-03-21,6.3,6.35,6.25,6.3,60136,USD
