Date,Open,High,Low,Close,Volume,Currency
2018-01-16,8.39,8.55,7.99,8.1,2198352,USD
2018-01-17,8.15,8.15,7.65,7.98,2288116,USD
2018-01-18,8.11,8.5,7.92,8.27,3019266,USD
2018-01-19,8.19,8.29,7.87,8.17,1452418,USD
2018-01-22,8.09,8.3,7.92,8.0,1380322,USD
2018-01-23,7.96,8.58,7.94,8.29,3069788,USD
2018-01-24,8.25,8.32,8.01,8.1,906177,USD
2018-01-25,8.11,8.29,8.04,8.13,990137,USD
2018-01-26,8.11,8.15,7.93,8.05,606947,USD
2018-01-29,8.07,8.14,7.72,7.8,859398,USD
2018-01-30,7.7,7.7,7.12,7.26,1795580,USD
2018-01-31,7.27,7.49,7.17,7.3,850924,USD
2018-02-01,7.25,7.36,7.1,7.36,784225,USD
2018-02-02,7.29,7.33,6.84,6.87,1260242,USD
2018-02-05,6.66,7.29,6.61,6.9,1289580,USD
2018-02-06,6.75,7.05,6.55,6.73,1094196,USD
2018-02-07,6.86,6.86,6.5,6.53,1179167,USD
2018-02-08,6.79,6.84,6.45,6.47,904410,USD
2018-02-09,6.5,6.67,6.08,6.41,1127697,USD
2018-02-12,6.4,6.62,6.24,6.59,761432,USD
2018-02-13,6.55,6.6,6.43,6.57,365302,USD
2018-02-14,6.52,7.11,6.52,6.97,953436,USD
2018-02-15,6.99,7.15,6.78,7.11,951990,USD
2018-02-16,7.11,7.23,6.91,6.96,618457,USD
2018-02-20,6.94,7.29,6.94,7.15,939993,USD
2018-02-21,7.18,7.38,7.15,7.21,720559,USD
2018-02-22,7.19,7.2,6.9,6.92,515938,USD
2018-02-23,6.93,7.06,6.89,7.01,460572,USD
2018-02-26,7.05,7.16,6.99,7.12,290649,USD
2018-02-27,7.17,7.28,7.1,7.11,386626,USD
2018-02-28,7.13,7.19,7.06,7.09,397823,USD
2018-03-01,7.03,7.18,6.96,7.01,525105,USD
2018-03-02,6.96,7.28,6.89,7.27,547724,USD
2018-03-05,7.22,7.63,7.17,7.56,1072427,USD
2018-03-06,7.57,7.64,7.26,7.42,784187,USD
2018-03-07,7.34,7.47,7.28,7.42,467169,USD
2018-03-08,7.44,7.53,7.36,7.43,670532,USD
2018-03-09,7.18,7.39,6.63,7.04,2038545,USD
2018-03-12,7.04,7.34,7.0,7.28,926111,USD
2018-03-13,7.28,7.39,7.03,7.07,945262,USD
2018-03-14,7.22,7.38,7.07,7.29,1036243,USD
2018-03-15,7.26,7.26,6.98,7.1,683191,USD
2018-03-16,7.09,7.3,7.04,7.18,721112,USD
2018-03-19,7.14,7.28,7.05,7.17,719722,USD
2018-03-20,7.2,7.35,7.15,7.22,400465,USD
2018-03-21,7.25,7.27,7.1,7.22,384117,USD
2018-03-22,7.17,7.18,6.87,6.9,606053,USD
2018-03-23,6.91,6.96,6.6,6.6,604703,USD
2018-03-26,6.62,6.83,6.61,6.68,537641,USD
2018-03-27,6.69,6.79,6.42,6.45,581503,USD
2018-03-28,6.51,6.67,6.39,6.56,539557,USD
2018-03-29,6.6,6.8,6.54,6.75,1134696,USD
2018-04-02,6.69,6.78,6.65,6.73,366937,USD
2018-04-03,6.77,6.93,6.76,6.85,404289,USD
2018-04-04,6.79,6.94,6.76,6.91,403026,USD
2018-04-05,6.98,7.04,6.95,6.99,371760,USD
2018-04-06,7.06,7.22,6.89,6.97,533235,USD
2018-04-09,6.99,7.25,6.95,7.13,577252,USD
2018-04-10,7.23,7.45,7.2,7.43,2089127,USD
2018-04-11,7.4,7.57,7.35,7.49,1057125,USD
2018-04-12,7.52,7.81,7.45,7.76,670158,USD
2018-04-13,7.76,7.98,7.76,7.94,742077,USD
2018-04-16,7.99,8.1,7.9,8.09,558731,USD
2018-04-17,8.07,8.21,7.93,8.12,578551,USD
2018-04-18,8.14,8.22,8.06,8.09,381706,USD
2018-04-19,8.04,8.18,8.04,8.09,276101,USD
2018-04-20,8.08,8.21,8.07,8.11,330384,USD
2018-04-23,8.12,8.17,8.01,8.04,315675,USD
2018-04-24,8.11,8.19,7.98,8.05,448703,USD
2018-04-25,8.07,8.24,7.89,8.17,499732,USD
2018-04-26,8.2,8.5,8.2,8.37,430038,USD
2018-04-27,8.48,8.48,7.64,7.97,960683,USD
2018-04-30,8.02,8.34,7.95,8.16,777420,USD
2018-05-01,8.2,8.21,8.09,8.19,478163,USD
2018-05-02,8.19,8.44,8.18,8.4,359395,USD
2018-05-03,8.32,8.35,8.11,8.19,277121,USD
2018-05-04,8.14,8.28,8.13,8.22,333002,USD
2018-05-07,8.25,8.32,8.19,8.23,442107,USD
2018-05-08,8.17,8.32,8.17,8.2,350761,USD
2018-05-09,8.2,8.21,7.96,8.14,252497,USD
2018-05-10,8.17,8.24,8.06,8.06,268807,USD
2018-05-11,8.08,8.2,8.08,8.12,230425,USD
2018-05-14,8.13,8.19,7.97,7.99,224381,USD
2018-05-15,7.97,8.19,7.91,8.05,238315,USD
2018-05-16,8.06,8.15,8.02,8.07,183743,USD
2018-05-17,8.08,8.17,7.98,8.14,357396,USD
2018-05-18,8.17,8.18,8.09,8.09,136457,USD
2018-05-21,8.11,8.22,8.09,8.15,128823,USD
2018-05-22,8.16,8.21,8.11,8.15,176975,USD
2018-05-23,8.1,8.14,7.97,8.07,193206,USD
2018-05-24,8.03,8.05,7.92,8.0,191699,USD
2018-05-25,7.96,8.04,7.92,7.97,106202,USD
2018-05-29,7.9,8.06,7.83,7.9,241661,USD
2018-05-30,7.97,8.36,7.96,8.2,547175,USD
2018-05-31,8.15,8.27,8.05,8.23,323999,USD
2018-06-01,8.25,8.34,8.16,8.22,262132,USD
2018-06-04,8.32,8.37,8.19,8.28,265024,USD
2018-06-05,8.23,8.32,8.14,8.25,298853,USD
2018-06-06,8.24,8.31,8.15,8.19,221760,USD
2018-06-07,8.2,8.24,8.12,8.17,149107,USD
2018-06-08,8.16,8.19,8.07,8.12,195657,USD
2018-06-11,8.09,8.26,8.07,8.19,297723,USD
2018-06-12,8.22,8.3,8.16,8.28,340446,USD
2018-06-13,8.3,8.34,8.15,8.21,227780,USD
2018-06-14,8.26,8.34,8.13,8.22,271782,USD
2018-06-15,8.23,8.32,8.13,8.29,375060,USD
2018-06-18,8.25,8.25,7.79,7.8,471034,USD
2018-06-19,7.75,7.76,7.51,7.54,330833,USD
2018-06-20,7.54,7.74,7.53,7.65,536009,USD
2018-06-21,7.65,7.65,7.5,7.53,214559,USD
2018-06-22,7.59,7.86,7.53,7.8,1189615,USD
2018-06-25,7.81,7.82,7.5,7.59,244831,USD
2018-06-26,7.6,7.84,7.58,7.79,1170279,USD
2018-06-27,7.8,7.8,7.47,7.48,213089,USD
2018-06-28,7.49,7.59,7.49,7.54,188438,USD
2018-06-29,7.55,7.59,7.51,7.55,202881,USD
2018-07-02,7.52,7.86,7.51,7.84,285952,USD
2018-07-03,7.85,7.94,7.84,7.89,113012,USD
2018-07-05,7.94,7.94,7.8,7.9,143494,USD
2018-07-06,7.87,8.02,7.87,7.91,226691,USD
2018-07-09,7.86,7.9,7.59,7.74,441973,USD
2018-07-10,7.77,7.91,7.75,7.75,335083,USD
2018-07-11,7.73,8.02,7.71,7.91,517207,USD
2018-07-12,7.91,7.92,7.76,7.78,324405,USD
2018-07-13,7.73,7.74,7.51,7.57,300836,USD
2018-07-16,7.56,7.63,7.5,7.56,167561,USD
2018-07-17,7.56,7.7,7.56,7.66,172781,USD
2018-07-18,7.7,7.79,7.66,7.78,191212,USD
2018-07-19,7.78,7.8,7.69,7.77,336430,USD
2018-07-20,7.75,7.87,7.7,7.73,364950,USD
2018-07-23,7.73,7.86,7.68,7.81,134611,USD
2018-07-24,7.82,7.89,7.8,7.84,117908,USD
2018-07-25,7.83,7.9,7.72,7.81,126828,USD
2018-07-26,7.79,7.85,7.71,7.81,198004,USD
2018-07-27,7.27,7.63,7.02,7.06,740784,USD
2018-07-30,7.04,7.16,7.03,7.03,663853,USD
2018-07-31,7.0,7.03,6.45,6.81,1084957,USD
2018-08-01,6.86,7.21,6.86,7.2,725145,USD
2018-08-02,7.1,7.15,6.76,6.83,486398,USD
2018-08-03,6.86,7.06,6.82,7.03,292782,USD
2018-08-06,6.97,7.08,6.93,7.0,253685,USD
2018-08-07,7.03,7.27,7.03,7.18,211746,USD
2018-08-08,7.2,7.26,7.11,7.17,214200,USD
2018-08-09,7.17,7.26,7.09,7.13,204912,USD
2018-08-10,7.1,7.21,7.05,7.19,143600,USD
2018-08-13,7.2,7.28,7.01,7.01,235429,USD
2018-08-14,7.03,7.11,6.87,6.97,211434,USD
2018-08-15,6.93,6.99,6.8,6.93,216924,USD
2018-08-16,6.96,7.12,6.94,7.04,210190,USD
2018-08-17,7.0,7.11,6.88,7.1,265456,USD
2018-08-20,7.13,7.2,7.07,7.18,217843,USD
2018-08-21,7.17,7.33,7.17,7.22,288473,USD
2018-08-22,7.19,7.24,7.17,7.2,288547,USD
2018-08-23,7.2,7.22,7.13,7.17,359128,USD
2018-08-24,7.17,7.19,7.1,7.16,298004,USD
2018-08-27,7.18,7.29,7.15,7.26,260566,USD
2018-08-28,7.27,7.3,7.1,7.1,151576,USD
2018-08-29,7.1,7.21,7.08,7.16,135455,USD
2018-08-30,7.14,7.38,7.13,7.28,979367,USD
2018-08-31,7.23,7.42,7.17,7.37,214403,USD
2018-09-04,7.35,7.43,7.26,7.33,111974,USD
2018-09-05,7.31,7.37,7.26,7.32,111316,USD
2018-09-06,7.34,7.35,7.05,7.18,331267,USD
2018-09-07,7.15,7.38,7.15,7.36,209951,USD
2018-09-10,7.31,7.43,7.24,7.42,153910,USD
2018-09-11,7.41,7.42,7.17,7.18,230004,USD
2018-09-12,7.18,7.18,6.96,6.96,354035,USD
2018-09-13,6.98,6.99,6.86,6.87,187199,USD
2018-09-14,6.87,6.94,6.87,6.9,223214,USD
2018-09-17,6.9,6.97,6.79,6.79,179196,USD
2018-09-18,6.79,6.84,6.73,6.74,168693,USD
2018-09-19,6.76,6.77,6.66,6.7,151873,USD
2018-09-20,6.73,6.73,6.66,6.66,144995,USD
2018-09-21,6.63,6.68,6.51,6.54,1397463,USD
2018-09-24,6.51,6.62,6.44,6.6,245283,USD
2018-09-25,6.59,6.62,6.55,6.56,175950,USD
2018-09-26,6.58,6.62,6.47,6.48,363512,USD
2018-09-27,6.5,6.59,6.48,6.5,158411,USD
2018-09-28,6.48,6.57,6.46,6.5,196416,USD
2018-10-01,6.5,6.56,6.3,6.31,171160,USD
2018-10-02,6.23,6.31,6.13,6.14,393048,USD
2018-10-03,6.18,6.34,6.18,6.33,352684,USD
2018-10-04,6.31,6.75,6.24,6.63,356471,USD
2018-10-05,6.65,6.77,6.57,6.67,164179,USD
2018-10-08,6.68,6.96,6.67,6.91,216786,USD
2018-10-09,7.39,7.76,7.37,7.55,947464,USD
2018-10-10,7.54,7.6,7.45,7.49,642638,USD
2018-10-11,7.45,7.5,7.37,7.47,486459,USD
2018-10-12,7.48,7.59,7.43,7.52,643179,USD
2018-10-15,7.5,7.66,7.5,7.61,531653,USD
2018-10-16,7.62,7.67,7.57,7.63,324043,USD
2018-10-17,7.58,7.7,7.55,7.63,1122018,USD
2018-10-18,7.64,7.66,7.5,7.52,285026,USD
2018-10-19,7.52,7.63,7.45,7.59,367014,USD
2018-10-22,7.6,7.69,7.57,7.59,377193,USD
2018-10-23,7.53,7.62,7.44,7.6,413758,USD
2018-10-24,7.6,7.61,7.4,7.42,410825,USD
2018-10-25,7.45,7.55,7.42,7.48,272522,USD
2018-10-26,7.6,7.62,7.23,7.42,643705,USD
