Date,Open,High,Low,Close,Volume,Currency
2018-01-16,64.65,65.32,63.74,63.81,551191,USD
2018-01-17,64.03,64.94,63.93,64.75,458348,USD
2018-01-18,64.75,64.89,64.4,64.68,868987,USD
2018-01-19,64.98,65.34,64.59,65.17,610759,USD
2018-01-22,64.95,65.2,64.36,65.1,372869,USD
2018-01-23,65.02,65.25,64.71,65.0,434709,USD
2018-01-24,65.03,65.71,64.97,65.3,614048,USD
2018-01-25,66.68,69.27,64.97,66.37,1158920,USD
2018-01-26,66.51,67.97,65.31,67.62,1095451,USD
2018-01-29,67.56,69.05,67.45,68.15,979021,USD
2018-01-30,67.71,68.36,66.95,67.55,686066,USD
2018-01-31,68.0,68.93,67.98,68.35,688333,USD
2018-02-01,68.18,68.86,67.85,68.7,495218,USD
2018-02-02,68.29,68.33,67.15,67.38,523072,USD
2018-02-05,66.5,67.11,63.34,63.99,815440,USD
2018-02-06,62.65,64.93,61.69,64.52,765761,USD
2018-02-07,64.37,65.79,64.22,64.74,549684,USD
2018-02-08,65.2,65.2,63.23,63.23,524961,USD
2018-02-09,63.89,64.16,61.86,63.42,617773,USD
2018-02-12,64.06,64.97,63.39,64.51,486708,USD
2018-02-13,64.35,65.59,64.31,65.4,713716,USD
2018-02-14,65.18,67.02,65.0,66.78,545310,USD
2018-02-15,67.33,68.27,66.88,68.24,466463,USD
2018-02-16,67.89,68.41,67.54,68.1,390411,USD
2018-02-20,67.85,68.16,66.9,67.06,627909,USD
2018-02-21,67.05,67.88,66.91,67.22,645525,USD
2018-02-22,67.63,67.63,66.17,66.39,542848,USD
2018-02-23,66.67,67.38,66.5,67.38,236389,USD
2018-02-26,67.62,67.74,66.63,67.63,264270,USD
2018-02-27,67.74,68.26,67.32,67.32,404345,USD
2018-02-28,67.44,68.21,67.2,67.28,639851,USD
2018-03-01,67.42,67.42,65.23,65.84,516037,USD
2018-03-02,65.38,66.11,64.73,65.91,370494,USD
2018-03-05,65.39,67.06,65.39,66.86,605822,USD
2018-03-06,66.9,67.5,66.7,67.29,436656,USD
2018-03-07,66.7,67.95,66.7,67.75,435919,USD
2018-03-08,68.0,68.12,67.25,68.03,416387,USD
2018-03-09,68.44,69.27,67.95,69.08,430088,USD
2018-03-12,69.23,69.52,68.13,68.29,337832,USD
2018-03-13,68.47,68.75,67.97,68.13,280419,USD
2018-03-14,68.62,68.62,66.81,67.05,343563,USD
2018-03-15,67.15,67.62,66.44,67.41,292319,USD
2018-03-16,67.33,67.72,66.48,66.81,803181,USD
2018-03-19,66.57,66.75,65.92,66.69,584989,USD
2018-03-20,66.72,67.59,66.59,66.91,378802,USD
2018-03-21,67.01,67.73,66.72,66.92,808742,USD
