Date,Open,High,Low,Close,Volume,Currency
2018-01-16,1.7,1.72,1.68,1.69,159014,USD
2018-01-17,1.68,1.71,1.68,1.69,114316,USD
2018-01-18,1.68,1.72,1.68,1.71,153307,USD
2018-01-19,1.7,1.74,1.7,1.71,99344,USD
2018-01-22,1.69,1.7,1.63,1.63,229336,USD
2018-01-23,1.63,1.64,1.53,1.56,222142,USD
2018-01-24,1.57,1.64,1.52,1.6,268259,USD
2018-01-25,1.61,1.61,1.5,1.51,248387,USD
2018-01-26,1.52,1.6,1.51,1.53,160211,USD
2018-01-29,1.2,1.27,1.13,1.2,1176891,USD
2018-01-30,1.19,1.21,1.15,1.16,398208,USD
2018-01-31,1.16,1.17,0.977,0.99,725807,USD
2018-02-01,0.96,0.98,0.928,0.935,414051,USD
2018-02-02,0.93,0.93,0.81,0.859,367386,USD
2018-02-05,0.84,1.04,0.825,1.03,712322,USD
2018-02-06,1.1,1.13,1.005,1.04,327470,USD
2018-02-07,1.1,1.19,1.06,1.18,204894,USD
2018-02-08,1.2,1.3,1.08,1.11,418435,USD
2018-02-09,1.11,1.16,0.98,1.05,300334,USD
2018-02-12,1.16,1.16,1.05,1.12,228502,USD
2018-02-13,1.1,1.14,1.08,1.09,108600,USD
2018-02-14,1.08,1.1,1.05,1.1,245893,USD
2018-02-15,1.1,1.12,1.09,1.11,111578,USD
2018-02-16,1.11,1.13,1.06,1.07,179346,USD
2018-02-20,1.1,1.1,1.06,1.08,160262,USD
2018-02-21,1.07,1.08,1.05,1.07,112683,USD
2018-02-22,1.08,1.08,1.035,1.06,100171,USD
2018-02-23,1.04,1.1,1.04,1.09,242541,USD
2018-02-26,1.1,1.13,1.08,1.1,183824,USD
2018-02-27,1.1,1.12,1.06,1.06,220999,USD
2018-02-28,1.08,1.08,1.04,1.07,98733,USD
2018-03-01,1.05,1.05,1.0,1.04,139805,USD
2018-03-02,1.04,1.04,0.93,0.95,331747,USD
2018-03-05,0.95,0.95,0.9,0.92,158645,USD
2018-03-06,0.9,0.959,0.9,0.957,280206,USD
2018-03-07,0.977,0.977,0.92,0.933,176251,USD
2018-03-08,0.949,0.949,0.916,0.925,130136,USD
2018-03-09,0.922,0.948,0.922,0.94,111132,USD
2018-03-12,0.925,0.94,0.92,0.934,90174,USD
2018-03-13,0.94,0.95,0.92,0.92,183005,USD
2018-03-14,0.92,0.934,0.92,0.921,85924,USD
2018-03-15,0.936,0.936,0.904,0.915,114052,USD
2018-03-16,0.908,0.912,0.86,0.876,130120,USD
2018-03-19,0.87,0.897,0.86,0.885,127690,USD
2018-03-20,0.88,0.89,0.836,0.836,137031,USD
2018-03-21,0.83,0.9,0.83,0.892,113025,USD
2018-03-22,0.88,0.943,0.87,0.934,151921,USD
2018-03-23,0.947,0.97,0.9,0.91,175901,USD
2018-03-26,0.91,0.91,0.875,0.89,60247,USD
2018-03-27,0.9,0.924,0.891,0.901,105551,USD
2018-03-28,0.897,0.91,0.891,0.901,116346,USD
2018-03-29,0.905,0.91,0.89,0.906,48771,USD
2018-04-02,0.91,0.91,0.872,0.875,73697,USD
2018-04-03,0.894,0.9,0.871,0.89,82577,USD
2018-04-04,0.9,0.905,0.878,0.904,158165,USD
2018-04-05,0.91,0.91,0.875,0.897,119543,USD
2018-04-06,0.9,0.9,0.872,0.873,73784,USD
2018-04-09,0.87,0.873,0.822,0.84,151202,USD
2018-04-10,0.84,0.877,0.83,0.865,144976,USD
2018-04-11,0.88,0.882,0.836,0.864,185995,USD
2018-04-12,0.86,0.893,0.853,0.879,94030,USD
2018-04-13,0.87,0.894,0.87,0.89,69204,USD
2018-04-16,0.899,0.9,0.871,0.872,94419,USD
2018-04-17,0.89,0.905,0.871,0.905,97204,USD
2018-04-18,0.91,0.991,0.905,0.965,171250,USD
2018-04-19,0.959,0.98,0.935,0.97,96796,USD
2018-04-20,1.0,1.0,0.941,0.979,130336,USD
2018-04-23,0.98,0.98,0.93,0.934,100487,USD
2018-04-24,0.94,0.95,0.931,0.945,66638,USD
2018-04-25,0.95,0.95,0.88,0.882,107696,USD
2018-04-26,0.89,0.9,0.861,0.869,98739,USD
2018-04-27,0.871,0.89,0.822,0.854,68529,USD
2018-04-30,0.86,0.88,0.816,0.879,69269,USD
2018-05-01,0.83,0.848,0.827,0.836,95819,USD
2018-05-02,0.85,0.86,0.831,0.856,49023,USD
2018-05-03,0.86,0.86,0.835,0.85,51137,USD
2018-05-04,0.86,0.9,0.84,0.888,187122,USD
2018-05-07,0.87,0.889,0.865,0.875,59543,USD
2018-05-08,0.88,0.88,0.83,0.83,183830,USD
2018-05-09,0.84,0.852,0.83,0.846,140367,USD
2018-05-10,0.838,0.85,0.833,0.839,58809,USD
2018-05-11,0.844,0.85,0.821,0.821,81257,USD
2018-05-14,0.822,0.837,0.78,0.784,166595,USD
2018-05-15,0.774,0.79,0.738,0.77,165257,USD
2018-05-16,0.77,0.77,0.7,0.712,117772,USD
2018-05-17,0.715,0.715,0.66,0.68,128002,USD
2018-05-18,0.693,0.693,0.67,0.67,84901,USD
2018-05-21,0.68,0.739,0.68,0.714,81974,USD
2018-05-22,0.714,0.74,0.71,0.73,105535,USD
2018-05-23,0.741,0.741,0.708,0.71,58306,USD
2018-05-24,0.725,0.725,0.7,0.705,66042,USD
2018-05-25,0.45,0.539,0.45,0.47,1056253,USD
2018-05-29,0.438,0.46,0.43,0.455,460993,USD
2018-05-30,0.47,0.487,0.465,0.48,147967,USD
2018-05-31,0.49,0.49,0.461,0.475,269902,USD
