Date,Open,High,Low,Close,Currency,Exchange
2018-01-16,26.23,26.32,26.13,26.18,USD,NYSE
2018-01-17,26.22,26.3,26.19,26.24,USD,NYSE
2018-01-18,26.2,26.27,26.17,26.18,USD,NYSE
2018-01-19,26.22,26.22,26.07,26.12,USD,NYSE
2018-01-22,26.08,26.19,26.05,26.12,USD,NYSE
2018-01-23,26.17,26.18,26.04,26.13,USD,NYSE
2018-01-24,26.14,26.14,25.95,26.11,USD,NYSE
2018-01-25,26.15,26.15,26.01,26.06,USD,NYSE
2018-01-26,26.05,26.08,25.95,26.04,USD,NYSE
2018-01-29,25.95,26.01,25.84,25.95,USD,NYSE
2018-01-30,25.99,25.99,25.83,25.93,USD,NYSE
2018-01-31,25.87,25.92,25.79,25.9,USD,NYSE
2018-02-01,25.98,25.98,25.81,25.88,USD,NYSE
2018-02-02,25.82,25.83,25.69,25.75,USD,NYSE
2018-02-05,25.6,25.84,25.6,25.84,USD,NYSE
2018-02-06,25.77,25.92,25.77,25.9,USD,NYSE
2018-02-07,25.88,25.9,25.78,25.81,USD,NYSE
2018-02-08,25.8,25.8,25.74,25.79,USD,NYSE
2018-02-09,25.79,25.86,25.77,25.81,USD,NYSE
2018-02-12,25.88,25.88,25.75,25.82,USD,NYSE
2018-02-13,25.77,25.83,25.75,25.76,USD,NYSE
2018-02-14,25.75,25.77,25.69,25.76,USD,NYSE
2018-02-15,25.72,25.74,25.66,25.72,USD,NYSE
2018-02-16,25.74,25.78,25.71,25.72,USD,NYSE
2018-02-20,25.7,25.7,25.64,25.69,USD,NYSE
2018-02-21,25.71,25.72,25.6,25.6,USD,NYSE
2018-02-22,25.68,25.68,25.63,25.63,USD,NYSE
2018-02-23,25.68,25.68,25.64,25.67,USD,NYSE
2018-02-26,25.67,25.75,25.61,25.63,USD,NYSE
2018-02-27,25.66,25.75,25.61,25.66,USD,NYSE
2018-02-28,25.66,25.66,25.61,25.65,USD,NYSE
2018-03-01,25.64,25.74,25.64,25.71,USD,NYSE
2018-03-02,25.68,25.75,25.67,25.71,USD,NYSE
2018-03-05,25.71,25.73,25.64,25.65,USD,NYSE
2018-03-06,25.62,25.69,25.62,25.64,USD,NYSE
2018-03-07,25.63,25.68,25.62,25.67,USD,NYSE
2018-03-08,25.72,25.73,25.63,25.68,USD,NYSE
2018-03-09,25.66,25.71,25.64,25.68,USD,NYSE
2018-03-12,25.68,25.7,25.64,25.68,USD,NYSE
2018-03-13,25.63,25.68,25.63,25.64,USD,NYSE
2018-03-14,25.65,25.7,25.63,25.68,USD,NYSE
2018-03-15,25.64,25.69,25.63,25.64,USD,NYSE
2018-03-16,25.69,25.73,25.67,25.72,USD,NYSE
2018-03-19,25.6,25.67,25.6,25.61,USD,NYSE
2018-03-20,25.62,25.65,25.6,25.61,USD,NYSE
2018-03-21,25.65,25.65,25.56,25.61,USD,NYSE
2018-03-22,25.64,25.71,25.64,25.69,USD,NYSE
2018-03-23,25.69,25.7,25.64,25.68,USD,NYSE
2018-03-26,25.63,25.69,25.63,25.64,USD,NYSE
2018-03-27,25.68,25.72,25.63,25.7,USD,NYSE
2018-03-28,25.66,25.74,25.66,25.68,USD,NYSE
2018-03-29,25.72,25.77,25.67,25.67,USD,NYSE
2018-04-02,25.66,25.76,25.66,25.74,USD,NYSE
2018-04-03,25.68,25.74,25.66,25.69,USD,NYSE
2018-04-04,25.68,25.75,25.68,25.71,USD,NYSE
2018-04-05,25.64,25.69,25.62,25.67,USD,NYSE
2018-04-06,25.75,25.79,25.68,25.74,USD,NYSE
2018-04-09,25.69,25.8,25.64,25.69,USD,NYSE
2018-04-10,25.73,25.79,25.67,25.69,USD,NYSE
2018-04-11,25.74,25.88,25.7,25.73,USD,NYSE
2018-04-12,25.79,25.86,25.71,25.71,USD,NYSE
2018-04-13,25.7,25.78,25.68,25.75,USD,NYSE
2018-04-16,25.71,25.76,25.68,25.73,USD,NYSE
2018-04-17,25.69,25.76,25.69,25.73,USD,NYSE
2018-04-18,25.69,25.75,25.66,25.7,USD,NYSE
2018-04-19,25.7,25.7,25.62,25.62,USD,NYSE
2018-04-20,25.62,25.65,25.61,25.62,USD,NYSE
2018-04-23,25.58,25.63,25.55,25.55,USD,NYSE
2018-04-24,25.52,25.64,25.51,25.52,USD,NYSE
2018-04-25,25.5,25.5,25.41,25.43,USD,NYSE
2018-04-26,25.48,25.5,25.44,25.46,USD,NYSE
2018-04-27,25.45,25.54,25.45,25.54,USD,NYSE
2018-04-30,25.57,25.57,25.51,25.52,USD,NYSE
2018-05-01,25.57,25.57,25.52,25.54,USD,NYSE
2018-05-02,25.55,25.6,25.55,25.58,USD,NYSE
2018-05-03,25.67,25.74,25.64,25.68,USD,NYSE
2018-05-04,25.71,25.72,25.67,25.71,USD,NYSE
2018-05-07,25.67,25.75,25.67,25.75,USD,NYSE
2018-05-08,25.68,25.74,25.68,25.71,USD,NYSE
2018-05-09,25.69,25.77,25.61,25.67,USD,NYSE
2018-05-10,25.72,25.87,25.68,25.74,USD,NYSE
2018-05-11,25.83,25.83,25.74,25.75,USD,NYSE
2018-05-14,25.8,25.8,25.76,25.79,USD,NYSE
2018-05-15,25.72,25.77,25.65,25.71,USD,NYSE
2018-05-16,25.7,25.74,25.67,25.72,USD,NYSE
2018-05-17,25.7,25.75,25.62,25.66,USD,NYSE
2018-05-18,25.71,25.75,25.67,25.74,USD,NYSE
2018-05-21,25.65,25.67,25.58,25.63,USD,NYSE
2018-05-22,25.61,25.68,25.59,25.61,USD,NYSE
2018-05-23,25.68,25.73,25.61,25.71,USD,NYSE
2018-05-24,25.74,25.77,25.72,25.73,USD,NYSE
2018-05-25,25.79,25.91,25.78,25.84,USD,NYSE
2018-05-29,25.87,26.06,25.83,26.03,USD,NYSE
2018-05-30,25.96,25.96,25.85,25.88,USD,NYSE
2018-05-31,25.92,26.02,25.9,25.91,USD,NYSE
2018-06-01,25.91,25.93,25.82,25.86,USD,NYSE
2018-06-04,25.87,25.9,25.83,25.83,USD,NYSE
2018-06-05,25.89,25.89,25.85,25.88,USD,NYSE
2018-06-06,25.87,25.88,25.82,25.87,USD,NYSE
2018-06-07,25.82,25.95,25.82,25.88,USD,NYSE
2018-06-08,25.82,25.91,25.82,25.88,USD,NYSE
2018-06-11,25.83,25.9,25.83,25.89,USD,NYSE
2018-06-12,25.87,25.9,25.83,25.86,USD,NYSE
2018-06-13,25.92,25.95,25.8,25.82,USD,NYSE
2018-06-14,25.89,25.9,25.78,25.82,USD,NYSE
2018-06-15,25.84,25.89,25.83,25.89,USD,NYSE
2018-06-18,25.85,25.91,25.79,25.85,USD,NYSE
2018-06-19,25.9,25.9,25.8,25.85,USD,NYSE
2018-06-20,25.85,25.91,25.81,25.85,USD,NYSE
2018-06-21,25.83,25.87,25.8,25.86,USD,NYSE
2018-06-22,25.85,25.89,25.8,25.83,USD,NYSE
2018-06-25,25.87,25.89,25.83,25.87,USD,NYSE
2018-06-26,25.87,25.88,25.81,25.81,USD,NYSE
2018-06-27,25.88,25.92,25.85,25.9,USD,NYSE
2018-06-28,25.84,25.93,25.82,25.93,USD,NYSE
2018-06-29,25.88,25.91,25.83,25.86,USD,NYSE
2018-07-02,25.91,25.92,25.82,25.82,USD,NYSE
2018-07-03,25.81,25.91,25.81,25.91,USD,NYSE
2018-07-05,25.83,25.92,25.83,25.92,USD,NYSE
2018-07-06,25.88,26.0,25.88,25.98,USD,NYSE
2018-07-09,25.87,26.08,25.87,25.96,USD,NYSE
2018-07-10,25.9,26.07,25.9,25.92,USD,NYSE
2018-07-11,25.95,26.02,25.93,25.95,USD,NYSE
2018-07-12,25.98,25.99,25.95,25.97,USD,NYSE
2018-07-13,26.01,26.01,25.95,26.0,USD,NYSE
2018-07-16,25.99,25.99,25.92,25.92,USD,NYSE
2018-07-17,25.96,25.97,25.91,25.94,USD,NYSE
2018-07-18,25.97,25.97,25.92,25.92,USD,NYSE
2018-07-19,25.95,25.99,25.95,25.99,USD,NYSE
2018-07-20,25.92,25.99,25.9,25.9,USD,NYSE
2018-07-23,25.88,25.97,25.8,25.82,USD,NYSE
2018-07-24,25.83,25.95,25.8,25.81,USD,NYSE
2018-07-25,25.84,25.9,25.79,25.79,USD,NYSE
2018-07-26,25.83,25.95,25.78,25.85,USD,NYSE
2018-07-27,25.9,25.98,25.85,25.85,USD,NYSE
2018-07-30,25.85,25.91,25.75,25.8,USD,NYSE
2018-07-31,25.85,25.9,25.78,25.9,USD,NYSE
2018-08-01,25.77,25.79,25.7,25.7,USD,NYSE
2018-08-02,25.77,25.81,25.73,25.77,USD,NYSE
2018-08-03,25.76,25.83,25.76,25.81,USD,NYSE
2018-08-06,25.83,25.95,25.73,25.85,USD,NYSE
2018-08-07,25.81,25.9,25.75,25.84,USD,NYSE
2018-08-08,25.83,25.93,25.75,25.76,USD,NYSE
2018-08-09,25.85,25.91,25.76,25.87,USD,NYSE
2018-08-10,25.84,25.92,25.81,25.89,USD,NYSE
2018-08-13,25.79,25.85,25.79,25.79,USD,NYSE
2018-08-14,25.89,25.92,25.81,25.82,USD,NYSE
2018-08-15,25.83,25.95,25.83,25.87,USD,NYSE
2018-08-16,25.86,25.92,25.85,25.86,USD,NYSE
2018-08-17,25.83,25.93,25.83,25.85,USD,NYSE
2018-08-20,25.84,25.93,25.84,25.84,USD,NYSE
2018-08-21,25.82,25.88,25.8,25.87,USD,NYSE
2018-08-22,25.89,25.92,25.84,25.84,USD,NYSE
2018-08-23,25.88,25.94,25.82,25.82,USD,NYSE
2018-08-24,25.9,25.91,25.8,25.83,USD,NYSE
2018-08-27,25.83,25.87,25.83,25.86,USD,NYSE
2018-08-28,25.84,25.88,25.8,25.83,USD,NYSE
2018-08-29,25.8,25.89,25.79,25.81,USD,NYSE
2018-08-30,25.83,25.84,25.79,25.79,USD,NYSE
2018-08-31,25.84,25.9,25.8,25.85,USD,NYSE
2018-09-04,25.87,25.96,25.8,25.82,USD,NYSE
2018-09-05,25.84,25.87,25.76,25.79,USD,NYSE
2018-09-06,25.76,25.81,25.75,25.75,USD,NYSE
2018-09-07,25.75,25.77,25.64,25.64,USD,NYSE
2018-09-10,25.73,25.74,25.7,25.71,USD,NYSE
2018-09-11,25.65,25.69,25.61,25.67,USD,NYSE
2018-09-12,25.62,25.67,25.62,25.63,USD,NYSE
2018-09-13,25.61,25.69,25.61,25.62,USD,NYSE
2018-09-14,25.6,25.68,25.6,25.65,USD,NYSE
2018-09-17,25.63,25.68,25.61,25.66,USD,NYSE
2018-09-18,25.6,25.63,25.51,25.55,USD,NYSE
2018-09-19,25.52,25.61,25.51,25.57,USD,NYSE
2018-09-20,25.5,25.56,25.5,25.52,USD,NYSE
2018-09-21,25.5,25.55,25.5,25.55,USD,NYSE
2018-09-24,25.54,25.54,25.43,25.5,USD,NYSE
2018-09-25,25.42,25.47,25.36,25.39,USD,NYSE
2018-09-26,25.48,25.48,25.32,25.42,USD,NYSE
2018-09-27,25.46,25.53,25.4,25.5,USD,NYSE
2018-09-28,25.49,25.54,25.38,25.51,USD,NYSE
2018-10-01,25.46,25.56,25.39,25.46,USD,NYSE
2018-10-02,25.51,25.51,25.39,25.44,USD,NYSE
2018-10-03,25.4,25.47,25.4,25.41,USD,NYSE
2018-10-04,25.32,25.44,25.32,25.38,USD,NYSE
2018-10-05,25.36,25.36,25.32,25.35,USD,NYSE
2018-10-08,25.4,25.4,25.32,25.33,USD,NYSE
2018-10-09,25.35,25.38,25.3,25.31,USD,NYSE
2018-10-10,25.23,25.29,25.18,25.26,USD,NYSE
2018-10-11,25.25,25.31,25.09,25.21,USD,NYSE
2018-10-12,25.22,25.25,25.18,25.18,USD,NYSE
2018-10-15,25.32,25.32,25.18,25.24,USD,NYSE
2018-10-16,25.35,25.35,25.19,25.26,USD,NYSE
2018-10-17,25.31,25.31,25.2,25.26,USD,NYSE
2018-10-18,25.26,25.29,25.23,25.26,USD,NYSE
2018-10-19,25.22,25.29,25.22,25.27,USD,NYSE
2018-10-22,25.25,25.28,25.17,25.24,USD,NYSE
2018-10-23,25.23,25.3,25.22,25.25,USD,NYSE
2018-10-24,25.29,25.3,25.22,25.3,USD,NYSE
2018-10-25,25.24,25.34,25.24,25.26,USD,NYSE
2018-10-26,25.31,25.38,25.3,25.33,USD,NYSE
2018-10-29,25.29,25.36,25.24,25.31,USD,NYSE
2018-10-30,25.23,25.29,25.2,25.29,USD,NYSE
2018-10-31,25.45,25.45,25.2,25.22,USD,NYSE
2018-11-01,25.22,25.23,25.13,25.2,USD,NYSE
2018-11-02,25.17,25.21,25.05,25.05,USD,NYSE
2018-11-05,25.16,25.21,25.11,25.16,USD,NYSE
2018-11-06,25.14,25.16,25.07,25.15,USD,NYSE
2018-11-07,25.18,25.22,25.13,25.18,USD,NYSE
2018-11-08,25.13,25.21,25.13,25.18,USD,NYSE
2018-11-09,25.23,25.26,25.2,25.21,USD,NYSE
2018-11-12,25.33,25.33,25.2,25.3,USD,NYSE
2018-11-13,25.22,25.32,25.22,25.3,USD,NYSE
2018-11-14,25.21,25.29,25.21,25.25,USD,NYSE
2018-11-15,25.38,25.38,25.26,25.32,USD,NYSE
2018-11-16,25.35,25.37,25.34,25.34,USD,NYSE
2018-11-19,25.3,25.4,25.26,25.29,USD,NYSE
2018-11-20,25.28,25.34,25.28,25.3,USD,NYSE
2018-11-21,25.28,25.35,25.26,25.27,USD,NYSE
2018-11-23,25.41,25.42,25.3,25.37,USD,NYSE
2018-11-26,25.3,25.4,25.26,25.36,USD,NYSE
2018-11-27,25.38,25.38,25.31,25.35,USD,NYSE
2018-11-28,25.3,25.36,25.26,25.3,USD,NYSE
2018-11-29,25.39,25.47,25.37,25.43,USD,NYSE
2018-11-30,25.47,25.5,25.41,25.48,USD,NYSE
2018-12-03,25.48,25.49,25.37,25.47,USD,NYSE
2018-12-04,25.49,25.63,25.49,25.59,USD,NYSE
2018-12-06,25.58,25.7,25.58,25.6,USD,NYSE
2018-12-07,25.59,25.71,25.56,25.67,USD,NYSE
2018-12-10,25.67,25.72,25.61,25.66,USD,NYSE
2018-12-11,25.63,25.69,25.53,25.66,USD,NYSE
2018-12-12,25.71,25.71,25.6,25.62,USD,NYSE
2018-12-13,25.6,25.68,25.59,25.61,USD,NYSE
2018-12-14,25.57,25.68,25.57,25.61,USD,NYSE
2018-12-17,25.61,25.69,25.55,25.63,USD,NYSE
2018-12-18,25.68,25.69,25.64,25.67,USD,NYSE
2018-12-19,25.66,25.73,25.66,25.69,USD,NYSE
2018-12-20,25.71,25.77,25.65,25.65,USD,NYSE
2018-12-21,25.72,25.78,25.65,25.73,USD,NYSE
2018-12-24,25.76,25.76,25.68,25.72,USD,NYSE
2018-12-26,25.73,25.75,25.7,25.7,USD,NYSE
