Date,Open,High,Low,Close,Currency,Exchange
2018-01-16,64.39,64.39,63.31,63.38,USD,NASDAQ
2018-01-17,63.78,64.11,63.78,64.11,USD,NASDAQ
2018-01-18,64.1,64.2,63.96,64.0,USD,NASDAQ
2018-01-19,64.49,64.59,64.46,64.59,USD,NASDAQ
2018-01-22,64.23,64.5,64.13,64.47,USD,NASDAQ
2018-01-23,64.47,64.47,64.22,64.22,USD,NASDAQ
2018-01-24,64.41,64.6,64.14,64.35,USD,NASDAQ
2018-01-25,64.42,64.42,64.01,64.2,USD,NASDAQ
2018-01-26,64.21,64.86,64.21,64.8,USD,NASDAQ
2018-01-29,64.6,64.65,64.38,64.38,USD,NASDAQ
2018-01-30,64.07,64.22,63.88,64.04,USD,NASDAQ
2018-01-31,64.55,64.55,63.69,63.8,USD,NASDAQ
2018-02-01,63.64,64.26,63.64,63.67,USD,NASDAQ
2018-02-02,63.35,63.35,62.6,62.61,USD,NASDAQ
2018-02-05,62.11,62.62,59.71,59.97,USD,NASDAQ
2018-02-06,58.78,60.83,57.46,60.83,USD,NASDAQ
2018-02-07,61.17,61.36,60.88,61.35,USD,NASDAQ
2018-02-08,60.51,60.51,58.36,58.36,USD,NASDAQ
2018-02-09,59.0,59.58,57.47,59.46,USD,NASDAQ
2018-02-12,59.89,60.37,59.46,60.04,USD,NASDAQ
2018-02-13,59.73,60.41,59.73,60.41,USD,NASDAQ
2018-02-14,60.94,61.48,60.78,61.48,USD,NASDAQ
2018-02-15,61.74,62.23,61.57,62.23,USD,NASDAQ
2018-02-16,62.03,62.71,62.03,62.44,USD,NASDAQ
2018-02-20,62.36,62.36,61.8,61.88,USD,NASDAQ
2018-02-21,62.33,62.58,62.16,62.16,USD,NASDAQ
2018-02-22,62.31,62.32,62.04,62.07,USD,NASDAQ
2018-02-23,62.0,62.06,61.7,62.06,USD,NASDAQ
2018-02-26,62.48,62.79,62.31,62.79,USD,NASDAQ
2018-02-27,62.66,62.89,62.0,62.0,USD,NASDAQ
2018-02-28,62.35,62.35,61.69,61.69,USD,NASDAQ
2018-03-01,60.86,60.86,60.16,60.16,USD,NASDAQ
2018-03-02,59.5,60.4,59.5,60.3,USD,NASDAQ
2018-03-05,59.91,60.76,59.89,60.76,USD,NASDAQ
2018-03-06,61.29,61.29,60.61,61.1,USD,NASDAQ
