Date,Open,High,Low,Close,Currency,Exchange
2018-01-16,81.93,81.93,78.21,79.18,USD,NYSE
2018-01-17,79.69,80.34,79.29,79.89,USD,NYSE
2018-01-18,79.9,79.9,79.04,79.4,USD,NYSE
2018-01-19,79.88,80.64,79.46,80.54,USD,NYSE
2018-01-22,80.22,80.35,79.76,80.35,USD,NYSE
2018-01-23,80.31,80.33,79.22,80.33,USD,NYSE
2018-01-24,80.79,81.73,80.31,80.96,USD,NYSE
2018-01-25,81.84,82.75,81.36,82.03,USD,NYSE
2018-01-26,82.33,82.52,81.0,82.35,USD,NYSE
2018-01-29,82.22,82.47,81.0,81.05,USD,NYSE
2018-01-30,79.62,80.63,79.03,79.23,USD,NYSE
2018-01-31,80.0,80.16,78.7,79.46,USD,NYSE
2018-02-01,78.74,79.05,77.21,77.28,USD,NYSE
2018-02-02,76.49,76.49,72.86,72.97,USD,NYSE
2018-02-05,71.9,73.91,67.65,68.11,USD,NYSE
2018-02-06,64.65,72.53,64.65,72.15,USD,NYSE
2018-02-07,72.02,73.11,70.8,70.8,USD,NYSE
2018-02-08,70.96,70.96,65.49,65.49,USD,NYSE
2018-02-09,67.15,68.2,63.99,67.69,USD,NYSE
2018-02-12,68.96,71.77,68.67,70.87,USD,NYSE
2018-02-13,70.41,70.9,70.14,70.57,USD,NYSE
2018-02-14,69.53,73.11,67.95,72.76,USD,NYSE
2018-02-15,73.75,74.5,71.85,73.58,USD,NYSE
2018-02-16,73.03,74.11,72.62,73.92,USD,NYSE
2018-02-20,73.31,74.45,72.58,73.24,USD,NYSE
2018-02-21,73.64,75.13,72.72,72.72,USD,NYSE
2018-02-22,72.77,74.92,72.77,73.84,USD,NYSE
2018-02-23,74.42,75.94,74.13,75.94,USD,NYSE
2018-02-26,75.95,76.2,74.66,76.2,USD,NYSE
2018-02-27,75.95,76.12,74.19,74.19,USD,NYSE
2018-02-28,73.99,74.23,70.96,70.96,USD,NYSE
2018-03-01,71.17,71.68,69.35,70.09,USD,NYSE
2018-03-02,69.02,70.18,68.71,70.06,USD,NYSE
2018-03-05,69.48,72.07,69.44,71.88,USD,NYSE
2018-03-06,72.81,74.53,72.26,73.63,USD,NYSE
2018-03-07,72.72,73.54,72.6,73.35,USD,NYSE
2018-03-08,73.96,73.96,72.42,72.99,USD,NYSE
2018-03-09,73.9,75.55,73.72,75.55,USD,NYSE
2018-03-12,76.7,76.84,75.25,75.69,USD,NYSE
2018-03-13,76.17,76.61,74.52,74.52,USD,NYSE
2018-03-14,74.52,74.52,72.29,72.29,USD,NYSE
2018-03-15,72.64,72.64,70.44,70.44,USD,NYSE
2018-03-16,70.44,71.4,70.39,70.94,USD,NYSE
2018-03-19,70.31,70.31,67.77,68.09,USD,NYSE
2018-03-20,68.53,68.96,68.28,68.28,USD,NYSE
2018-03-21,68.64,70.93,68.64,70.19,USD,NYSE
2018-03-22,68.4,68.99,65.53,65.53,USD,NYSE
2018-03-23,66.12,66.12,62.77,62.77,USD,NYSE
2018-03-26,65.06,65.18,63.02,65.11,USD,NYSE
2018-03-27,65.58,65.95,63.71,63.71,USD,NYSE
2018-03-28,63.69,64.3,61.81,62.15,USD,NYSE
2018-03-29,63.2,64.9,62.97,64.54,USD,NYSE
2018-04-02,64.03,64.51,61.02,61.72,USD,NYSE
2018-04-03,62.45,63.35,61.6,63.35,USD,NYSE
2018-04-04,60.58,64.19,60.4,64.14,USD,NYSE
2018-04-05,65.89,67.15,65.89,66.99,USD,NYSE
2018-04-06,65.86,66.05,62.88,63.85,USD,NYSE
2018-04-09,64.88,66.5,64.13,64.62,USD,NYSE
2018-04-10,66.54,68.2,66.36,67.7,USD,NYSE
2018-04-11,66.95,66.95,65.9,66.57,USD,NYSE
2018-04-12,67.05,68.33,66.99,68.2,USD,NYSE
2018-04-13,68.78,69.06,68.03,68.14,USD,NYSE
2018-04-16,69.18,70.25,68.6,70.1,USD,NYSE
2018-04-17,71.18,72.05,70.81,71.76,USD,NYSE
2018-04-18,72.89,73.5,72.85,72.95,USD,NYSE
2018-04-19,72.47,72.47,70.94,71.67,USD,NYSE
2018-04-20,71.5,71.5,70.08,70.51,USD,NYSE
2018-04-23,70.11,70.56,69.53,69.69,USD,NYSE
2018-04-24,70.22,70.22,65.21,66.46,USD,NYSE
