Date,Open,High,Low,Close,Volume,Currency
2018-01-16,39.38,39.38,38.15,38.3,7647448,USD
2018-01-17,38.36,38.62,38.04,38.29,7594966,USD
2018-01-18,38.37,38.95,38.33,38.62,5074728,USD
2018-01-19,38.8,39.45,38.56,39.45,9128304,USD
2018-01-22,39.47,39.79,39.16,39.73,8736672,USD
2018-01-23,39.58,39.79,39.34,39.66,7822618,USD
2018-01-24,39.6,39.93,39.33,39.62,6937352,USD
2018-01-25,39.79,39.84,39.37,39.63,4852592,USD
2018-01-26,39.86,40.28,39.4,40.26,7546494,USD
2018-01-29,40.1,40.62,40.1,40.41,7882846,USD
2018-01-30,40.4,40.73,39.99,40.17,9984342,USD
2018-01-31,40.2,40.54,39.88,40.16,11270576,USD
2018-02-01,40.03,40.37,39.78,40.05,6082078,USD
2018-02-02,39.65,39.99,38.95,39.23,11470152,USD
2018-02-05,39.04,39.58,38.02,38.03,10812776,USD
2018-02-06,37.0,38.26,36.69,37.99,11889840,USD
2018-02-07,38.12,38.58,37.88,38.1,12024262,USD
2018-02-08,38.27,38.41,37.17,37.18,10940080,USD
2018-02-09,37.3,38.12,36.41,37.82,15881990,USD
2018-02-12,38.12,38.19,37.27,37.85,10206788,USD
2018-02-13,37.76,38.09,37.51,37.77,6666676,USD
2018-02-14,37.55,38.47,37.49,38.28,8596642,USD
2018-02-15,38.59,38.99,38.08,38.99,9808412,USD
2018-02-16,38.98,39.56,38.94,38.94,8217500,USD
2018-02-20,38.64,38.8,38.09,38.19,7274790,USD
2018-02-21,38.27,38.58,37.91,37.92,7271966,USD
2018-02-22,38.02,38.39,37.92,38.2,5683020,USD
2018-02-23,38.42,38.99,38.3,38.98,6448762,USD
2018-02-26,39.26,39.49,38.78,39.42,9020790,USD
2018-02-27,39.85,40.12,38.65,38.66,10694942,USD
2018-02-28,41.92,42.4,41.09,41.34,30077154,USD
2018-03-01,41.1,42.27,40.5,41.42,17762178,USD
2018-03-02,40.8,41.95,40.8,41.83,11111998,USD
2018-03-05,41.75,42.02,41.65,41.91,8423606,USD
2018-03-06,41.97,42.22,41.73,42.2,7967472,USD
2018-03-07,41.67,42.26,41.24,41.31,13295200,USD
2018-03-08,41.65,41.9,41.22,41.33,12822278,USD
2018-03-09,41.45,41.59,40.73,41.34,12639134,USD
2018-03-12,41.25,41.36,40.87,41.23,7141526,USD
2018-03-13,41.37,41.63,41.09,41.15,7518638,USD
2018-03-14,41.27,41.41,40.72,40.94,8172360,USD
2018-03-15,41.03,41.05,40.54,40.67,6009192,USD
2018-03-16,40.64,41.12,40.6,40.7,11731932,USD
2018-03-19,40.7,41.02,40.51,40.7,5298956,USD
2018-03-20,40.84,41.05,40.62,40.92,6760434,USD
2018-03-21,40.94,41.7,40.79,41.44,7235212,USD
2018-03-22,41.06,41.29,40.48,40.5,9109050,USD
2018-03-23,40.76,40.8,39.88,39.94,7377766,USD
2018-03-26,40.32,40.73,40.24,40.53,8425934,USD
2018-03-27,40.47,40.77,40.06,40.22,7267304,USD
2018-03-28,40.44,41.12,40.28,40.34,6111774,USD
2018-03-29,40.56,41.1,40.51,40.78,6764326,USD
2018-04-02,40.87,41.18,39.86,40.28,7230768,USD
2018-04-03,40.37,41.18,40.31,41.16,7943042,USD
2018-04-04,40.86,42.08,40.66,41.98,6186330,USD
2018-04-05,42.12,42.6,41.85,42.48,7424500,USD
2018-04-06,42.3,42.5,41.45,41.72,5758014,USD
2018-04-09,42.06,42.1,41.27,41.3,9940006,USD
2018-04-10,41.78,41.78,40.98,41.19,7118284,USD
2018-04-11,40.85,41.7,40.81,41.02,9074378,USD
2018-04-12,41.33,41.6,41.03,41.27,10266916,USD
2018-04-13,41.42,41.43,40.47,40.63,7904136,USD
2018-04-16,40.99,41.59,40.84,41.37,6903518,USD
2018-04-17,41.75,42.1,41.7,41.73,6501682,USD
2018-04-18,41.84,42.24,41.56,41.59,4879994,USD
2018-04-19,41.51,41.8,41.1,41.32,6375412,USD
2018-04-20,41.29,41.43,40.97,41.24,7545806,USD
2018-04-23,41.27,41.81,41.16,41.62,4530482,USD
2018-04-24,41.79,42.18,41.38,41.55,6077516,USD
2018-04-25,41.42,41.79,41.13,41.66,4648148,USD
2018-04-26,41.79,42.56,41.52,42.55,6064814,USD
2018-04-27,42.62,43.37,42.41,43.25,7967556,USD
2018-04-30,43.4,43.62,42.4,42.42,8206034,USD
2018-05-01,42.39,42.4,41.29,41.78,6360430,USD
2018-05-02,41.6,42.15,41.21,41.77,6230532,USD
2018-05-03,41.74,42.01,41.07,41.78,6035722,USD
2018-05-04,41.56,41.68,41.13,41.41,6286232,USD
2018-05-07,41.48,41.48,40.65,40.95,5787684,USD
2018-05-08,40.98,41.32,40.83,41.29,5070292,USD
2018-05-09,41.3,41.98,41.19,41.95,6315352,USD
2018-05-10,41.7,41.83,41.16,41.63,6141670,USD
2018-05-11,41.62,42.21,41.57,42.03,4849476,USD
2018-05-14,42.29,42.68,42.21,42.46,7048368,USD
2018-05-15,42.49,42.99,42.4,42.8,5343844,USD
2018-05-16,42.99,43.66,42.52,42.59,6624288,USD
2018-05-17,42.45,43.4,42.45,43.13,9906248,USD
2018-05-18,42.87,43.02,42.27,42.4,11738462,USD
2018-05-21,42.41,42.71,42.02,42.35,9915992,USD
2018-05-22,43.35,44.38,42.81,43.73,16548270,USD
2018-05-23,43.45,44.27,43.41,43.95,12248746,USD
2018-05-24,43.72,44.74,43.72,44.37,8095008,USD
2018-05-25,44.08,44.35,43.99,44.05,6272800,USD
2018-05-29,43.99,44.39,43.79,44.19,5492494,USD
2018-05-30,44.23,44.95,44.09,44.89,8087090,USD
2018-05-31,44.92,45.42,44.73,45.16,10902936,USD
2018-06-01,45.27,45.62,45.14,45.21,7984296,USD
2018-06-04,45.73,46.49,45.56,46.48,7549830,USD
2018-06-05,46.5,47.04,46.2,47.02,8378592,USD
2018-06-06,47.09,47.2,46.42,47.15,8988118,USD
2018-06-07,47.34,47.79,47.1,47.25,7813118,USD
2018-06-08,47.19,47.63,47.06,47.47,6063732,USD
2018-06-11,47.48,47.85,47.26,47.51,5431916,USD
2018-06-12,47.49,47.95,47.12,47.71,6814416,USD
2018-06-13,47.63,47.84,47.24,47.37,6288010,USD
2018-06-14,47.31,47.59,46.96,47.28,5440686,USD
2018-06-15,47.24,47.62,47.12,47.59,9489132,USD
2018-06-18,47.37,48.31,47.26,47.98,7662722,USD
2018-06-19,47.41,47.92,47.32,47.88,5693134,USD
2018-06-20,48.19,48.41,47.9,48.36,6138212,USD
2018-06-21,48.01,48.28,47.5,48.15,6338690,USD
2018-06-22,48.16,48.23,47.34,47.54,7976072,USD
2018-06-25,47.64,48.05,47.28,47.6,5661180,USD
2018-06-26,47.05,47.62,46.81,47.59,5374772,USD
2018-06-27,47.61,48.16,47.07,47.1,5050442,USD
2018-06-28,47.22,47.82,47.01,47.66,5972964,USD
2018-06-29,48.03,48.23,47.59,47.59,5823876,USD
2018-07-02,47.4,47.55,47.11,47.45,5682766,USD
2018-07-03,47.64,47.89,47.42,47.58,2616604,USD
2018-07-05,47.67,47.81,47.32,47.53,5191918,USD
2018-07-06,47.49,47.98,47.47,47.77,5006012,USD
2018-07-09,48.0,48.08,47.72,47.85,4201000,USD
2018-07-10,47.77,47.8,47.19,47.52,9527824,USD
2018-07-11,47.27,47.88,47.26,47.68,5031928,USD
2018-07-12,47.52,47.68,47.09,47.12,8791808,USD
2018-07-13,47.14,47.69,47.09,47.66,4376090,USD
2018-07-16,47.72,47.8,47.34,47.59,3691420,USD
2018-07-17,47.55,48.37,47.55,48.15,6034426,USD
2018-07-18,48.18,48.41,47.87,48.31,5564184,USD
2018-07-19,48.29,48.98,48.25,48.84,5905226,USD
2018-07-20,48.63,49.01,48.48,48.53,5288836,USD
2018-07-23,48.58,49.06,48.55,48.78,4408176,USD
2018-07-24,48.94,48.94,48.27,48.51,4871976,USD
2018-07-25,48.54,48.92,48.38,48.84,5297950,USD
2018-07-26,49.02,49.47,48.65,48.76,4894876,USD
2018-07-27,48.83,49.15,48.16,48.27,3515396,USD
2018-07-30,48.55,48.91,48.27,48.38,4374760,USD
2018-07-31,48.45,48.84,48.26,48.63,6127908,USD
2018-08-01,48.5,48.92,48.02,48.2,5472698,USD
2018-08-02,48.14,48.77,47.96,48.73,6055450,USD
2018-08-03,48.92,49.13,48.38,48.8,4275566,USD
2018-08-06,48.8,49.2,48.79,49.13,3398746,USD
2018-08-07,49.13,49.42,48.78,49.37,4524726,USD
2018-08-08,49.55,49.95,49.49,49.87,4773292,USD
2018-08-09,50.0,50.23,49.73,49.91,4639440,USD
2018-08-10,49.87,50.62,49.68,50.35,7651102,USD
2018-08-13,50.63,50.74,49.62,49.67,6956692,USD
2018-08-14,49.8,50.59,49.8,50.5,9137762,USD
2018-08-15,50.05,50.5,49.44,49.49,6394322,USD
2018-08-16,49.85,50.3,49.09,49.77,7579212,USD
2018-08-17,49.73,50.27,49.6,50.17,6324410,USD
2018-08-20,50.58,50.9,49.91,50.83,10065540,USD
2018-08-21,53.5,53.63,52.3,53.23,18130552,USD
2018-08-22,53.14,53.78,52.53,52.88,11654690,USD
2018-08-23,52.81,53.87,52.81,53.73,8616594,USD
2018-08-24,53.24,54.16,53.15,54.03,10366960,USD
2018-08-27,54.28,54.33,53.68,53.73,6968792,USD
