Date,Open,High,Low,Close,Currency,Exchange
2018-01-16,78.96,78.97,78.9,78.96,USD,NYSE
2018-01-17,78.9,78.91,78.86,78.88,USD,NYSE
2018-01-18,78.85,78.88,78.82,78.84,USD,NYSE
2018-01-19,78.85,78.85,78.79,78.8,USD,NYSE
2018-01-22,78.81,78.83,78.78,78.79,USD,NYSE
2018-01-23,78.83,78.88,78.81,78.88,USD,NYSE
2018-01-24,78.84,78.88,78.81,78.86,USD,NYSE
2018-01-25,78.81,78.87,78.79,78.85,USD,NYSE
2018-01-26,78.79,78.84,78.77,78.79,USD,NYSE
2018-01-29,78.74,78.77,78.71,78.76,USD,NYSE
2018-01-30,78.78,78.78,78.73,78.73,USD,NYSE
2018-01-31,78.75,78.76,78.68,78.72,USD,NYSE
2018-02-01,78.57,78.62,78.52,78.53,USD,NYSE
2018-02-02,78.45,78.56,78.45,78.52,USD,NYSE
2018-02-05,78.54,78.79,78.53,78.72,USD,NYSE
2018-02-06,78.72,78.73,78.6,78.62,USD,NYSE
2018-02-07,78.61,78.64,78.51,78.54,USD,NYSE
2018-02-08,78.53,78.61,78.49,78.57,USD,NYSE
2018-02-09,78.54,78.75,78.54,78.57,USD,NYSE
2018-02-12,78.53,78.59,78.52,78.52,USD,NYSE
2018-02-13,78.54,78.57,78.53,78.53,USD,NYSE
2018-02-14,78.45,78.49,78.38,78.39,USD,NYSE
2018-02-15,78.35,78.41,78.33,78.39,USD,NYSE
2018-02-16,78.4,78.45,78.4,78.43,USD,NYSE
2018-02-20,78.38,78.39,78.34,78.37,USD,NYSE
2018-02-21,78.36,78.42,78.31,78.35,USD,NYSE
2018-02-22,78.39,78.41,78.37,78.4,USD,NYSE
2018-02-23,78.4,78.46,78.39,78.45,USD,NYSE
2018-02-26,78.49,78.5,78.45,78.46,USD,NYSE
2018-02-27,78.48,78.49,78.33,78.35,USD,NYSE
2018-02-28,78.36,78.39,78.34,78.37,USD,NYSE
2018-03-01,78.27,78.42,78.24,78.35,USD,NYSE
2018-03-02,78.35,78.35,78.27,78.28,USD,NYSE
2018-03-05,78.38,78.38,78.27,78.3,USD,NYSE
2018-03-06,78.31,78.34,78.28,78.29,USD,NYSE
2018-03-07,78.35,78.35,78.29,78.3,USD,NYSE
2018-03-08,78.31,78.36,78.31,78.36,USD,NYSE
2018-03-09,78.3,78.3,78.26,78.28,USD,NYSE
2018-03-12,78.27,78.32,78.27,78.3,USD,NYSE
2018-03-13,78.38,78.38,78.31,78.33,USD,NYSE
2018-03-14,78.31,78.39,78.29,78.36,USD,NYSE
2018-03-15,78.35,78.37,78.31,78.35,USD,NYSE
2018-03-16,78.31,78.33,78.28,78.3,USD,NYSE
2018-03-19,78.27,78.34,78.26,78.29,USD,NYSE
2018-03-20,78.24,78.25,78.21,78.21,USD,NYSE
2018-03-21,78.18,78.28,78.15,78.25,USD,NYSE
2018-03-22,78.3,78.39,78.3,78.34,USD,NYSE
2018-03-23,78.3,78.37,78.3,78.35,USD,NYSE
2018-03-26,78.34,78.36,78.29,78.3,USD,NYSE
2018-03-27,78.33,78.46,78.33,78.43,USD,NYSE
2018-03-28,78.47,78.5,78.39,78.4,USD,NYSE
2018-03-29,78.42,78.49,78.4,78.44,USD,NYSE
2018-04-02,78.3,78.43,78.3,78.36,USD,NYSE
2018-04-03,78.32,78.36,78.28,78.28,USD,NYSE
2018-04-04,78.34,78.35,78.27,78.28,USD,NYSE
2018-04-05,78.28,78.29,78.22,78.23,USD,NYSE
2018-04-06,78.34,78.38,78.28,78.36,USD,NYSE
2018-04-09,78.35,78.38,78.31,78.37,USD,NYSE
2018-04-10,78.35,78.36,78.3,78.32,USD,NYSE
2018-04-11,78.35,78.39,78.33,78.36,USD,NYSE
2018-04-12,78.3,78.34,78.28,78.28,USD,NYSE
2018-04-13,78.23,78.29,78.22,78.27,USD,NYSE
2018-04-16,78.18,78.29,78.18,78.28,USD,NYSE
2018-04-17,78.23,78.27,78.23,78.26,USD,NYSE
2018-04-18,78.23,78.23,78.17,78.17,USD,NYSE
2018-04-19,78.15,78.2,78.12,78.13,USD,NYSE
2018-04-20,78.14,78.16,78.07,78.07,USD,NYSE
2018-04-23,78.07,78.08,78.03,78.04,USD,NYSE
2018-04-24,78.04,78.1,78.01,78.09,USD,NYSE
2018-04-25,78.05,78.09,78.04,78.09,USD,NYSE
2018-04-26,78.08,78.13,78.07,78.13,USD,NYSE
2018-04-27,78.12,78.17,78.11,78.14,USD,NYSE
2018-04-30,78.12,78.16,78.11,78.14,USD,NYSE
2018-05-01,78.01,78.04,77.95,77.97,USD,NYSE
2018-05-02,77.97,78.02,77.95,78.02,USD,NYSE
2018-05-03,78.05,78.09,78.03,78.04,USD,NYSE
2018-05-04,78.1,78.1,78.01,78.03,USD,NYSE
2018-05-07,78.02,78.05,78.02,78.04,USD,NYSE
2018-05-08,78.0,78.02,77.98,78.0,USD,NYSE
2018-05-09,77.95,77.99,77.95,77.96,USD,NYSE
2018-05-10,78.0,78.02,77.96,78.0,USD,NYSE
2018-05-11,77.97,78.02,77.97,78.01,USD,NYSE
2018-05-14,77.96,78.0,77.95,77.99,USD,NYSE
2018-05-15,77.9,77.92,77.86,77.9,USD,NYSE
2018-05-16,77.87,77.89,77.83,77.85,USD,NYSE
2018-05-17,77.91,77.91,77.88,77.89,USD,NYSE
2018-05-18,77.93,77.96,77.91,77.95,USD,NYSE
2018-05-21,77.92,77.96,77.92,77.96,USD,NYSE
2018-05-22,77.94,77.97,77.94,77.95,USD,NYSE
2018-05-23,77.96,78.08,77.96,78.07,USD,NYSE
2018-05-24,78.14,78.17,78.11,78.12,USD,NYSE
2018-05-25,78.17,78.22,78.17,78.22,USD,NYSE
2018-05-29,78.3,78.57,78.28,78.49,USD,NYSE
2018-05-30,78.41,78.44,78.34,78.36,USD,NYSE
2018-05-31,78.32,78.37,78.28,78.3,USD,NYSE
2018-06-01,78.09,78.13,78.06,78.06,USD,NYSE
2018-06-04,78.07,78.07,78.01,78.01,USD,NYSE
2018-06-05,78.09,78.12,78.03,78.11,USD,NYSE
2018-06-06,78.06,78.06,78.01,78.04,USD,NYSE
2018-06-07,78.02,78.19,78.01,78.14,USD,NYSE
2018-06-08,78.06,78.14,78.06,78.12,USD,NYSE
2018-06-11,78.04,78.07,78.03,78.07,USD,NYSE
2018-06-12,78.04,78.07,78.03,78.06,USD,NYSE
2018-06-13,78.02,78.07,77.93,77.98,USD,NYSE
2018-06-14,78.04,78.05,78.01,78.05,USD,NYSE
2018-06-15,78.09,78.14,78.07,78.08,USD,NYSE
2018-06-18,78.07,78.1,78.07,78.08,USD,NYSE
2018-06-19,78.1,78.15,78.1,78.14,USD,NYSE
2018-06-20,78.15,78.15,78.08,78.08,USD,NYSE
2018-06-21,78.09,78.16,78.09,78.12,USD,NYSE
2018-06-22,78.12,78.14,78.1,78.13,USD,NYSE
2018-06-25,78.13,78.19,78.13,78.16,USD,NYSE
2018-06-26,78.15,78.19,78.15,78.19,USD,NYSE
2018-06-27,78.23,78.29,78.23,78.28,USD,NYSE
2018-06-28,78.29,78.29,78.23,78.26,USD,NYSE
2018-06-29,78.21,78.23,78.19,78.21,USD,NYSE
2018-07-02,78.1,78.11,78.04,78.06,USD,NYSE
2018-07-03,78.09,78.14,78.07,78.13,USD,NYSE
2018-07-05,78.1,78.14,78.09,78.09,USD,NYSE
2018-07-06,78.14,78.17,78.13,78.14,USD,NYSE
2018-07-09,78.12,78.13,78.09,78.13,USD,NYSE
2018-07-10,78.11,78.12,78.07,78.08,USD,NYSE
2018-07-11,78.09,78.13,78.07,78.1,USD,NYSE
2018-07-12,78.1,78.14,78.1,78.14,USD,NYSE
2018-07-13,78.12,78.17,78.12,78.17,USD,NYSE
2018-07-16,78.15,78.15,78.1,78.14,USD,NYSE
2018-07-17,78.12,78.15,78.11,78.13,USD,NYSE
2018-07-18,78.12,78.15,78.11,78.13,USD,NYSE
2018-07-19,78.12,78.22,78.11,78.19,USD,NYSE
2018-07-20,78.19,78.19,78.16,78.18,USD,NYSE
2018-07-23,78.17,78.18,78.07,78.08,USD,NYSE
2018-07-24,78.06,78.1,78.06,78.1,USD,NYSE
2018-07-25,78.09,78.12,78.08,78.08,USD,NYSE
2018-07-26,78.11,78.12,78.05,78.08,USD,NYSE
2018-07-27,78.09,78.11,78.08,78.1,USD,NYSE
2018-07-30,78.05,78.13,78.03,78.13,USD,NYSE
2018-07-31,78.1,78.14,78.1,78.13,USD,NYSE
2018-08-01,77.95,78.01,77.91,78.01,USD,NYSE
2018-08-02,78.0,78.06,78.0,78.06,USD,NYSE
2018-08-03,78.06,78.12,78.03,78.09,USD,NYSE
2018-08-06,78.1,78.12,78.08,78.11,USD,NYSE
2018-08-07,78.1,78.1,78.04,78.04,USD,NYSE
2018-08-08,78.05,78.08,78.04,78.05,USD,NYSE
2018-08-09,78.08,78.11,78.05,78.05,USD,NYSE
2018-08-10,78.13,78.21,78.12,78.15,USD,NYSE
2018-08-13,78.16,78.21,78.16,78.16,USD,NYSE
2018-08-14,78.17,78.19,78.17,78.17,USD,NYSE
2018-08-15,78.22,78.28,78.22,78.22,USD,NYSE
2018-08-16,78.23,78.25,78.2,78.21,USD,NYSE
2018-08-17,78.25,78.27,78.22,78.24,USD,NYSE
2018-08-20,78.29,78.33,78.28,78.32,USD,NYSE
2018-08-21,78.31,78.33,78.29,78.31,USD,NYSE
2018-08-22,78.35,78.36,78.31,78.33,USD,NYSE
2018-08-23,78.33,78.35,78.27,78.3,USD,NYSE
2018-08-24,78.28,78.31,78.25,78.3,USD,NYSE
2018-08-27,78.3,78.31,78.26,78.27,USD,NYSE
2018-08-28,78.26,78.3,78.23,78.24,USD,NYSE
2018-08-29,78.23,78.25,78.21,78.23,USD,NYSE
2018-08-30,78.25,78.28,78.24,78.26,USD,NYSE
2018-08-31,78.3,78.32,78.29,78.29,USD,NYSE
2018-09-04,78.21,78.21,78.12,78.15,USD,NYSE
2018-09-05,78.15,78.2,78.13,78.19,USD,NYSE
2018-09-06,78.18,78.25,78.18,78.22,USD,NYSE
2018-09-07,78.13,78.13,78.06,78.07,USD,NYSE
2018-09-10,78.11,78.11,78.08,78.09,USD,NYSE
2018-09-11,78.06,78.06,78.02,78.03,USD,NYSE
2018-09-12,78.05,78.06,78.02,78.04,USD,NYSE
2018-09-13,78.06,78.08,78.03,78.06,USD,NYSE
2018-09-14,78.01,78.04,78.0,78.02,USD,NYSE
2018-09-17,78.01,78.06,78.0,78.05,USD,NYSE
2018-09-18,78.05,78.05,77.96,77.97,USD,NYSE
2018-09-19,77.97,77.97,77.93,77.96,USD,NYSE
2018-09-20,77.92,77.99,77.92,77.96,USD,NYSE
2018-09-21,77.96,77.99,77.94,77.99,USD,NYSE
2018-09-24,77.96,77.96,77.91,77.95,USD,NYSE
2018-09-25,77.93,77.95,77.9,77.95,USD,NYSE
2018-09-26,77.93,78.01,77.93,77.99,USD,NYSE
2018-09-27,78.0,78.0,77.97,78.0,USD,NYSE
2018-09-28,78.02,78.05,78.01,78.03,USD,NYSE
2018-10-01,77.87,77.91,77.84,77.86,USD,NYSE
2018-10-02,77.88,77.91,77.87,77.88,USD,NYSE
2018-10-03,77.86,77.87,77.75,77.77,USD,NYSE
2018-10-04,77.73,77.76,77.7,77.73,USD,NYSE
2018-10-05,77.72,77.73,77.66,77.71,USD,NYSE
2018-10-08,77.74,77.75,77.72,77.73,USD,NYSE
2018-10-09,77.72,77.77,77.71,77.75,USD,NYSE
2018-10-10,77.71,77.78,77.71,77.76,USD,NYSE
2018-10-11,77.81,77.86,77.78,77.8,USD,NYSE
2018-10-12,77.83,77.87,77.8,77.8,USD,NYSE
2018-10-15,77.83,77.86,77.81,77.82,USD,NYSE
2018-10-16,77.83,77.85,77.81,77.83,USD,NYSE
2018-10-17,77.84,77.87,77.77,77.77,USD,NYSE
2018-10-18,77.77,77.87,77.75,77.83,USD,NYSE
2018-10-19,77.84,77.84,77.77,77.8,USD,NYSE
2018-10-22,77.82,77.82,77.78,77.78,USD,NYSE
2018-10-23,77.85,77.92,77.83,77.84,USD,NYSE
2018-10-24,77.92,78.01,77.89,77.98,USD,NYSE
2018-10-25,77.96,77.98,77.92,77.92,USD,NYSE
2018-10-26,78.01,78.12,78.01,78.06,USD,NYSE
2018-10-29,78.01,78.05,77.99,78.01,USD,NYSE
2018-10-30,78.02,78.02,77.97,77.97,USD,NYSE
2018-10-31,77.94,77.96,77.91,77.94,USD,NYSE
2018-11-01,77.82,77.87,77.8,77.85,USD,NYSE
2018-11-02,77.81,77.81,77.72,77.74,USD,NYSE
2018-11-05,77.77,77.78,77.75,77.78,USD,NYSE
2018-11-06,77.78,77.78,77.69,77.72,USD,NYSE
2018-11-07,77.74,77.75,77.7,77.7,USD,NYSE
2018-11-08,77.72,77.74,77.67,77.67,USD,NYSE
