Date,Open,High,Low,Close,Currency,Exchange
2018-01-16,17.28,17.28,17.07,17.22,USD,NASDAQ
2018-01-17,17.19,17.25,17.06,17.25,USD,NASDAQ
2018-01-18,17.29,17.29,17.04,17.15,USD,NASDAQ
2018-01-19,17.04,17.4,17.02,17.4,USD,NASDAQ
2018-01-22,17.35,17.35,17.15,17.31,USD,NASDAQ
2018-01-23,17.31,17.34,17.23,17.28,USD,NASDAQ
2018-01-24,17.5,17.5,17.29,17.33,USD,NASDAQ
2018-01-25,17.37,17.57,17.32,17.32,USD,NASDAQ
2018-01-26,17.25,17.3,17.16,17.3,USD,NASDAQ
2018-01-29,17.15,17.38,17.15,17.36,USD,NASDAQ
2018-01-30,17.08,17.22,16.95,17.01,USD,NASDAQ
2018-01-31,16.87,17.0,16.86,16.94,USD,NASDAQ
2018-02-01,16.9,16.93,16.75,16.8,USD,NASDAQ
2018-02-02,16.7,16.77,16.5,16.5,USD,NASDAQ
2018-02-05,16.1,16.12,15.88,15.88,USD,NASDAQ
2018-02-06,15.87,16.04,15.71,15.96,USD,NASDAQ
2018-02-07,16.11,16.52,16.11,16.19,USD,NASDAQ
2018-02-08,16.18,16.18,15.88,15.88,USD,NASDAQ
2018-02-09,16.0,16.0,15.77,15.92,USD,NASDAQ
2018-02-12,16.22,16.34,16.09,16.13,USD,NASDAQ
2018-02-13,16.15,16.33,16.15,16.32,USD,NASDAQ
2018-02-14,16.27,16.57,16.15,16.4,USD,NASDAQ
2018-02-15,16.4,16.58,16.4,16.57,USD,NASDAQ
2018-02-16,16.5,16.52,16.5,16.52,USD,NASDAQ
2018-02-20,16.76,16.94,16.54,16.74,USD,NASDAQ
2018-02-21,16.71,16.76,16.62,16.62,USD,NASDAQ
2018-02-22,16.54,16.67,16.48,16.49,USD,NASDAQ
2018-02-23,16.66,16.67,16.66,16.67,USD,NASDAQ
2018-02-26,16.6,16.66,16.4,16.66,USD,NASDAQ
2018-02-27,16.38,16.38,16.11,16.18,USD,NASDAQ
2018-02-28,15.98,15.99,15.9,15.94,USD,NASDAQ
2018-03-01,15.92,15.96,15.73,15.74,USD,NASDAQ
2018-03-02,15.84,15.96,15.77,15.79,USD,NASDAQ
2018-03-05,15.78,15.89,15.66,15.89,USD,NASDAQ
2018-03-06,15.76,15.76,15.67,15.7,USD,NASDAQ
2018-03-07,15.69,15.69,15.5,15.53,USD,NASDAQ
2018-03-08,15.42,15.47,15.39,15.43,USD,NASDAQ
2018-03-09,15.42,15.59,15.42,15.56,USD,NASDAQ
2018-03-12,15.99,16.21,15.99,16.2,USD,NASDAQ
2018-03-13,16.45,16.45,16.29,16.31,USD,NASDAQ
2018-03-14,16.3,16.38,16.27,16.32,USD,NASDAQ
2018-03-15,16.48,16.59,16.48,16.56,USD,NASDAQ
2018-03-16,16.55,16.56,16.52,16.53,USD,NASDAQ
2018-03-19,16.71,16.71,16.59,16.67,USD,NASDAQ
2018-03-20,16.98,17.0,16.93,16.93,USD,NASDAQ
2018-03-21,16.93,16.93,16.81,16.93,USD,NASDAQ
2018-03-22,16.81,16.84,16.75,16.75,USD,NASDAQ
2018-03-23,16.73,16.73,16.6,16.71,USD,NASDAQ
2018-03-26,16.61,16.65,16.5,16.64,USD,NASDAQ
2018-03-27,16.58,16.58,16.31,16.31,USD,NASDAQ
2018-03-28,16.31,16.32,16.27,16.29,USD,NASDAQ
2018-03-29,16.14,16.6,16.14,16.6,USD,NASDAQ
2018-04-02,16.72,16.72,16.39,16.47,USD,NASDAQ
2018-04-03,16.48,16.7,16.48,16.7,USD,NASDAQ
2018-04-04,16.59,16.66,16.5,16.66,USD,NASDAQ
2018-04-05,16.71,16.75,16.68,16.7,USD,NASDAQ
2018-04-06,16.65,16.67,16.53,16.62,USD,NASDAQ
2018-04-09,16.78,16.95,16.78,16.88,USD,NASDAQ
2018-04-10,16.95,17.08,16.95,17.06,USD,NASDAQ
2018-04-11,17.04,17.05,16.89,16.89,USD,NASDAQ
2018-04-12,16.88,16.91,16.82,16.91,USD,NASDAQ
2018-04-13,16.88,16.88,16.79,16.82,USD,NASDAQ
2018-04-16,16.81,16.87,16.81,16.85,USD,NASDAQ
2018-04-17,16.92,16.94,16.89,16.93,USD,NASDAQ
2018-04-18,17.05,17.08,17.04,17.07,USD,NASDAQ
2018-04-19,17.35,17.47,17.2,17.22,USD,NASDAQ
2018-04-20,17.22,17.24,17.2,17.24,USD,NASDAQ
2018-04-23,17.31,17.32,17.29,17.3,USD,NASDAQ
2018-04-24,17.34,17.34,17.0,17.0,USD,NASDAQ
2018-04-25,17.11,17.17,17.1,17.16,USD,NASDAQ
2018-04-26,17.2,17.29,17.18,17.29,USD,NASDAQ
2018-04-27,17.44,17.44,17.22,17.22,USD,NASDAQ
2018-04-30,17.35,17.35,17.09,17.11,USD,NASDAQ
2018-05-01,17.12,17.12,16.89,17.01,USD,NASDAQ
2018-05-02,16.99,17.0,16.84,16.9,USD,NASDAQ
2018-05-03,16.71,16.71,16.4,16.44,USD,NASDAQ
2018-05-04,16.61,16.63,16.6,16.62,USD,NASDAQ
2018-05-07,16.71,16.8,16.71,16.8,USD,NASDAQ
2018-05-08,16.65,16.73,16.64,16.7,USD,NASDAQ
2018-05-09,16.55,16.55,16.52,16.55,USD,NASDAQ
2018-05-10,16.59,16.61,16.4,16.61,USD,NASDAQ
2018-05-11,16.52,16.68,16.52,16.61,USD,NASDAQ
2018-05-14,16.93,16.93,16.75,16.75,USD,NASDAQ
2018-05-15,16.75,16.75,16.68,16.68,USD,NASDAQ
2018-05-16,16.84,16.84,16.69,16.73,USD,NASDAQ
2018-05-17,16.78,16.79,16.6,16.68,USD,NASDAQ
2018-05-18,16.64,16.68,16.59,16.65,USD,NASDAQ
2018-05-21,16.96,16.96,16.59,16.74,USD,NASDAQ
2018-05-22,16.8,16.88,16.8,16.82,USD,NASDAQ
