Date,First Trust ISE Global Wind EnergyEtf_Open_average,First Trust ISE Global Wind EnergyEtf_Open_max,First Trust ISE Global Wind EnergyEtf_Open_min,First Trust ISE Global Wind EnergyEtf_Open_volatility,First Trust ISE Global Wind EnergyEtf_Open_change,First Trust ISE Global Wind EnergyEtf_High_average,First Trust ISE Global Wind EnergyEtf_High_max,First Trust ISE Global Wind EnergyEtf_High_min,First Trust ISE Global Wind EnergyEtf_High_volatility,First Trust ISE Global Wind EnergyEtf_High_change,First Trust ISE Global Wind EnergyEtf_Low_average,First Trust ISE Global Wind EnergyEtf_Low_max,First Trust ISE Global Wind EnergyEtf_Low_min,First Trust ISE Global Wind EnergyEtf_Low_volatility,First Trust ISE Global Wind EnergyEtf_Low_change,First Trust ISE Global Wind EnergyEtf_Close_average,First Trust ISE Global Wind EnergyEtf_Close_max,First Trust ISE Global Wind EnergyEtf_Close_min,First Trust ISE Global Wind EnergyEtf_Close_volatility,First Trust ISE Global Wind EnergyEtf_Close_change
2018-01-14,13.84,13.84,13.84,0.0,0.0,13.84,13.84,13.84,0.0,0.0,13.79,13.79,13.79,0.0,0.0,13.81,13.81,13.81,0.0,0.0
2018-01-21,13.74,13.74,13.74,0.0,0.0,13.77,13.77,13.77,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.75,13.75,13.75,0.0,0.0
2018-01-28,13.43,13.43,13.43,0.0,0.0,13.43,13.43,13.43,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.26,13.26,13.26,0.0,0.0
2018-02-04,12.68,12.68,12.68,0.0,0.0,12.76,12.76,12.76,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.76,12.76,12.76,0.0,0.0
2018-02-11,13.17,13.17,13.17,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.2,13.2,13.2,0.0,0.0
2018-02-18,13.17,13.17,13.17,0.0,0.0,13.31,13.31,13.31,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.28,13.28,13.28,0.0,0.0
2018-02-25,12.93,12.93,12.93,0.0,0.0,12.98,12.98,12.98,0.0,0.0,12.87,12.87,12.87,0.0,0.0,12.98,12.98,12.98,0.0,0.0
2018-03-04,13.21,13.21,13.21,0.0,0.0,13.29,13.29,13.29,0.0,0.0,13.21,13.21,13.21,0.0,0.0,13.29,13.29,13.29,0.0,0.0
2018-03-11,13.32,13.32,13.32,0.0,0.0,13.37,13.37,13.37,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.35,13.35,13.35,0.0,0.0
2018-03-18,13.21,13.21,13.21,0.0,0.0,13.25,13.25,13.25,0.0,0.0,13.07,13.07,13.07,0.0,0.0,13.07,13.07,13.07,0.0,0.0
2018-03-25,13.32,13.32,13.32,0.0,0.0,13.39,13.39,13.39,0.0,0.0,13.29,13.29,13.29,0.0,0.0,13.37,13.37,13.37,0.0,0.0
2018-04-01,13.46,13.46,13.46,0.0,0.0,13.58,13.58,13.58,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.46,13.46,13.46,0.0,0.0
2018-04-08,13.77,13.77,13.77,0.0,0.0,13.79,13.79,13.79,0.0,0.0,13.74,13.74,13.74,0.0,0.0,13.77,13.77,13.77,0.0,0.0
2018-04-15,13.73,13.73,13.73,0.0,0.0,13.77,13.77,13.77,0.0,0.0,13.69,13.69,13.69,0.0,0.0,13.75,13.75,13.75,0.0,0.0
2018-04-22,13.89,13.89,13.89,0.0,0.0,13.98,13.98,13.98,0.0,0.0,13.88,13.88,13.88,0.0,0.0,13.97,13.97,13.97,0.0,0.0
2018-04-29,13.93,13.93,13.93,0.0,0.0,14.08,14.08,14.08,0.0,0.0,13.92,13.92,13.92,0.0,0.0,14.06,14.06,14.06,0.0,0.0
2018-05-06,14.01,14.01,14.01,0.0,0.0,14.02,14.02,14.02,0.0,0.0,13.95,13.95,13.95,0.0,0.0,13.96,13.96,13.96,0.0,0.0
2018-05-13,13.96,13.96,13.96,0.0,0.0,14.01,14.01,14.01,0.0,0.0,13.96,13.96,13.96,0.0,0.0,13.99,13.99,13.99,0.0,0.0
2018-05-20,13.54,13.54,13.54,0.0,0.0,13.55,13.55,13.55,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.51,13.51,13.51,0.0,0.0
2018-05-27,13.64,13.64,13.64,0.0,0.0,13.64,13.64,13.64,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.53,13.53,13.53,0.0,0.0
2018-06-03,13.32,13.32,13.32,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.24,13.24,13.24,0.0,0.0,13.24,13.24,13.24,0.0,0.0
2018-06-10,13.23,13.23,13.23,0.0,0.0,13.23,13.23,13.23,0.0,0.0,13.19,13.19,13.19,0.0,0.0,13.21,13.21,13.21,0.0,0.0
2018-06-17,12.81,12.81,12.81,0.0,0.0,12.87,12.87,12.87,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.84,12.84,12.84,0.0,0.0
2018-06-24,12.62,12.62,12.62,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.64,12.64,12.64,0.0,0.0
2018-07-01,12.79,12.79,12.79,0.0,0.0,12.87,12.87,12.87,0.0,0.0,12.79,12.79,12.79,0.0,0.0,12.85,12.85,12.85,0.0,0.0
2018-07-08,12.89,12.89,12.89,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.9,12.9,12.9,0.0,0.0
2018-07-15,12.98,12.98,12.98,0.0,0.0,13.03,13.03,13.03,0.0,0.0,12.98,12.98,12.98,0.0,0.0,13.0,13.0,13.0,0.0,0.0
2018-07-22,13.12,13.12,13.12,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.01,13.01,13.01,0.0,0.0,13.01,13.01,13.01,0.0,0.0
2018-07-29,12.87,12.87,12.87,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.89,12.89,12.89,0.0,0.0
2018-08-05,12.63,12.63,12.63,0.0,0.0,12.63,12.63,12.63,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.56,12.56,12.56,0.0,0.0
2018-08-12,12.35,12.35,12.35,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.45,12.45,12.45,0.0,0.0
2018-08-19,12.69,12.69,12.69,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.69,12.69,12.69,0.0,0.0,12.76,12.76,12.76,0.0,0.0
2018-08-26,12.73,12.73,12.73,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.71,12.71,12.71,0.0,0.0,12.75,12.75,12.75,0.0,0.0
2018-09-02,12.49,12.49,12.49,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.45,12.45,12.45,0.0,0.0,12.46,12.46,12.46,0.0,0.0
2018-09-09,12.45,12.45,12.45,0.0,0.0,12.45,12.45,12.45,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.39,12.39,12.39,0.0,0.0
2018-09-16,12.6,12.6,12.6,0.0,0.0,12.65,12.65,12.65,0.0,0.0,12.6,12.6,12.6,0.0,0.0,12.6,12.6,12.6,0.0,0.0
2018-09-23,12.41,12.41,12.41,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.43,12.43,12.43,0.0,0.0
2018-09-30,12.0,12.0,12.0,0.0,0.0,12.01,12.01,12.01,0.0,0.0,11.92,11.92,11.92,0.0,0.0,11.94,11.94,11.94,0.0,0.0
2018-10-07,11.46,11.46,11.46,0.0,0.0,11.46,11.46,11.46,0.0,0.0,11.31,11.31,11.31,0.0,0.0,11.39,11.39,11.39,0.0,0.0
2018-10-14,11.5,11.5,11.5,0.0,0.0,11.61,11.61,11.61,0.0,0.0,11.49,11.49,11.49,0.0,0.0,11.56,11.56,11.56,0.0,0.0
2018-10-21,11.23,11.23,11.23,0.0,0.0,11.32,11.32,11.32,0.0,0.0,11.15,11.15,11.15,0.0,0.0,11.23,11.23,11.23,0.0,0.0
2018-10-28,11.61,11.61,11.61,0.0,0.0,11.62,11.62,11.62,0.0,0.0,11.46,11.46,11.46,0.0,0.0,11.53,11.53,11.53,0.0,0.0
