Date,PowerShares Global Listed Private EquityEtf_Open_average,PowerShares Global Listed Private EquityEtf_Open_max,PowerShares Global Listed Private EquityEtf_Open_min,PowerShares Global Listed Private EquityEtf_Open_volatility,PowerShares Global Listed Private EquityEtf_Open_change,PowerShares Global Listed Private EquityEtf_High_average,PowerShares Global Listed Private EquityEtf_High_max,PowerShares Global Listed Private EquityEtf_High_min,PowerShares Global Listed Private EquityEtf_High_volatility,PowerShares Global Listed Private EquityEtf_High_change,PowerShares Global Listed Private EquityEtf_Low_average,PowerShares Global Listed Private EquityEtf_Low_max,PowerShares Global Listed Private EquityEtf_Low_min,PowerShares Global Listed Private EquityEtf_Low_volatility,PowerShares Global Listed Private EquityEtf_Low_change,PowerShares Global Listed Private EquityEtf_Close_average,PowerShares Global Listed Private EquityEtf_Close_max,PowerShares Global Listed Private EquityEtf_Close_min,PowerShares Global Listed Private EquityEtf_Close_volatility,PowerShares Global Listed Private EquityEtf_Close_change
2018-01-14,13.15,13.15,13.15,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.15,13.15,13.15,0.0,0.0
2018-01-21,13.48,13.48,13.48,0.0,0.0,13.52,13.52,13.52,0.0,0.0,13.46,13.46,13.46,0.0,0.0,13.52,13.52,13.52,0.0,0.0
2018-01-28,13.31,13.31,13.31,0.0,0.0,13.31,13.31,13.31,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.13,13.13,13.13,0.0,0.0
2018-02-04,12.3,12.3,12.3,0.0,0.0,12.3,12.3,12.3,0.0,0.0,11.97,11.97,11.97,0.0,0.0,12.25,12.25,12.25,0.0,0.0
2018-02-11,12.73,12.73,12.73,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.72,12.72,12.72,0.0,0.0,12.76,12.76,12.76,0.0,0.0
2018-02-18,12.79,12.79,12.79,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.73,12.73,12.73,0.0,0.0,12.81,12.81,12.81,0.0,0.0
2018-02-25,12.4,12.4,12.4,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.33,12.33,12.33,0.0,0.0,12.47,12.47,12.47,0.0,0.0
2018-03-04,12.71,12.71,12.71,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.69,12.69,12.69,0.0,0.0,12.83,12.83,12.83,0.0,0.0
2018-03-11,12.67,12.67,12.67,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.67,12.67,12.67,0.0,0.0
2018-03-18,12.17,12.17,12.17,0.0,0.0,12.17,12.17,12.17,0.0,0.0,11.92,11.92,11.92,0.0,0.0,11.93,11.93,11.93,0.0,0.0
2018-03-25,12.01,12.01,12.01,0.0,0.0,12.11,12.11,12.11,0.0,0.0,12.0,12.0,12.0,0.0,0.0,12.04,12.04,12.04,0.0,0.0
2018-04-01,11.99,11.99,11.99,0.0,0.0,12.04,12.04,12.04,0.0,0.0,11.88,11.88,11.88,0.0,0.0,11.94,11.94,11.94,0.0,0.0
2018-04-08,12.29,12.29,12.29,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.16,12.16,12.16,0.0,0.0,12.18,12.18,12.18,0.0,0.0
2018-04-15,12.3,12.3,12.3,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.27,12.27,12.27,0.0,0.0
2018-04-22,12.2,12.2,12.2,0.0,0.0,12.22,12.22,12.22,0.0,0.0,12.17,12.17,12.17,0.0,0.0,12.21,12.21,12.21,0.0,0.0
2018-04-29,12.06,12.06,12.06,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.05,12.05,12.05,0.0,0.0,12.2,12.2,12.2,0.0,0.0
2018-05-06,12.33,12.33,12.33,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.35,12.35,12.35,0.0,0.0
2018-05-13,12.31,12.31,12.31,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.32,12.32,12.32,0.0,0.0
2018-05-20,12.27,12.27,12.27,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.24,12.24,12.24,0.0,0.0,12.26,12.26,12.26,0.0,0.0
2018-05-27,12.26,12.26,12.26,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.21,12.21,12.21,0.0,0.0,12.26,12.26,12.26,0.0,0.0
2018-06-03,12.34,12.34,12.34,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.36,12.36,12.36,0.0,0.0
2018-06-10,12.43,12.43,12.43,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.43,12.43,12.43,0.0,0.0
2018-06-17,12.21,12.21,12.21,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.17,12.17,12.17,0.0,0.0,12.18,12.18,12.18,0.0,0.0
2018-06-24,11.94,11.94,11.94,0.0,0.0,12.02,12.02,12.02,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.98,11.98,11.98,0.0,0.0
2018-07-01,12.2,12.2,12.2,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.29,12.29,12.29,0.0,0.0
2018-07-08,12.33,12.33,12.33,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.33,12.33,12.33,0.0,0.0,12.37,12.37,12.37,0.0,0.0
2018-07-15,12.48,12.48,12.48,0.0,0.0,12.53,12.53,12.53,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.5,12.5,12.5,0.0,0.0
