Date,iShares Int High Yield BondEtf_Open_average,iShares Int High Yield BondEtf_Open_max,iShares Int High Yield BondEtf_Open_min,iShares Int High Yield BondEtf_High_average,iShares Int High Yield BondEtf_High_max,iShares Int High Yield BondEtf_High_min,iShares Int High Yield BondEtf_Low_average,iShares Int High Yield BondEtf_Low_max,iShares Int High Yield BondEtf_Low_min,iShares Int High Yield BondEtf_Close_average,iShares Int High Yield BondEtf_Close_max,iShares Int High Yield BondEtf_Close_min
2018-04-08,0.23293649136933076,0.23293649136933076,0.23293649136933076,0.4364567236865419,0.4364567236865419,0.4364567236865419,0.49391794120613697,0.49391794120613697,0.49391794120613697,0.26716715902786137,0.26716715902786137,0.26716715902786137
2018-04-15,0.009273334031750145,0.009273334031750145,0.009273334031750145,-0.17640866888387347,-0.17640866888387347,-0.17640866888387347,-0.12890742176816367,-0.12890742176816367,-0.12890742176816367,-0.39526586974598166,-0.39526586974598166,-0.39526586974598166
2018-04-22,-1.9390538027528206,-1.9390538027528206,-1.9390538027528206,-1.63669505477632,-1.63669505477632,-1.63669505477632,-1.690424570772818,-1.690424570772818,-1.690424570772818,-1.7173067114694214,-1.7173067114694214,-1.7173067114694214
2018-04-29,-2.573912180694278,-2.573912180694278,-2.573912180694278,-2.624494819552465,-2.624494819552465,-2.624494819552465,-2.4647351353530196,-2.4647351353530196,-2.4647351353530196,-2.652363385357438,-2.652363385357438,-2.652363385357438
2018-05-06,-1.7655096063454527,-1.7655096063454527,-1.7655096063454527,-2.0067074892847057,-2.0067074892847057,-2.0067074892847057,-1.9201843465463306,-1.9201843465463306,-1.9201843465463306,-2.1457140201258817,-2.1457140201258817,-2.1457140201258817
2018-05-13,-2.348011852846784,-2.348011852846784,-2.348011852846784,-2.329300092742381,-2.329300092742381,-2.329300092742381,-2.324575780802885,-2.324575780802885,-2.324575780802885,-2.3663882564188343,-2.3663882564188343,-2.3663882564188343
2018-05-20,-2.1828751780014324,-2.1828751780014324,-2.1828751780014324,-2.2645217597971885,-2.2645217597971885,-2.2645217597971885,-2.231022495927651,-2.231022495927651,-2.231022495927651,-2.261201904723367,-2.261201904723367,-2.261201904723367
2018-05-27,-1.7206865753032825,-1.7206865753032825,-1.7206865753032825,-1.7743808226917894,-1.7743808226917894,-1.7743808226917894,-1.84632493434519,-1.84632493434519,-1.84632493434519,-1.7490015566120751,-1.7490015566120751,-1.7490015566120751
2018-06-03,-1.3262191598647182,-1.3262191598647182,-1.3262191598647182,-1.2932327680677567,-1.2932327680677567,-1.2932327680677567,-1.295770377139444,-1.295770377139444,-1.295770377139444,-1.2742012031993712,-1.2742012031993712,-1.2742012031993712
2018-06-10,-1.349658657987664,-1.349658657987664,-1.349658657987664,-1.35561623479409,-1.35561623479409,-1.35561623479409,-1.3125315151279924,-1.3125315151279924,-1.3125315151279924,-1.3173738295571271,-1.3173738295571271,-1.3173738295571271
2018-06-17,-1.0684534138198176,-1.0684534138198176,-1.0684534138198176,-1.1249731626711188,-1.1249731626711188,-1.1249731626711188,-1.1073462466029091,-1.1073462466029091,-1.1073462466029091,-1.1913769540940704,-1.1913769540940704,-1.1913769540940704
2018-06-24,-1.1944997835970372,-1.1944997835970372,-1.1944997835970372,-1.2284541803154538,-1.2284541803154538,-1.2284541803154538,-1.14991060888749,-1.14991060888749,-1.14991060888749,-1.2051710879997533,-1.2051710879997533,-1.2051710879997533
2018-07-01,-0.5664705611968543,-0.5664705611968543,-0.5664705611968543,-0.5459582231546181,-0.5459582231546181,-0.5459582231546181,-0.5283665780019178,-0.5283665780019178,-0.5283665780019178,-0.5893093001672279,-0.5893093001672279,-0.5893093001672279
2018-07-08,-0.615253539458106,-0.615253539458106,-0.615253539458106,-0.4769252189659304,-0.4769252189659304,-0.4769252189659304,-0.5453427925459863,-0.5453427925459863,-0.5453427925459863,-0.41570555693828376,-0.41570555693828376,-0.41570555693828376
