Date,Open,High,Low,Close,Adj Close,Volume,Sector,IPOyear
2016-01-04,22.09000015258789,22.270000457763672,21.3799991607666,21.959999084472656,21.959999084472656,79500,Energy,2002.0
2016-01-05,22.0,22.5,21.399999618530273,22.40999984741211,22.40999984741211,48000,Energy,2002.0
2016-01-06,21.90999984741211,22.809999465942383,21.90999984741211,22.1299991607666,22.1299991607666,76000,Energy,2002.0
2016-01-07,21.770000457763672,21.84000015258789,20.059999465942383,20.729999542236328,20.729999542236328,150600,Energy,2002.0
2016-01-08,20.809999465942383,20.809999465942383,19.8700008392334,20.049999237060547,20.049999237060547,93600,Energy,2002.0
2016-01-11,20.549999237060547,20.739999771118164,19.420000076293945,19.889999389648438,19.889999389648438,119100,Energy,2002.0
2016-01-12,20.09000015258789,20.09000015258789,18.729999542236328,19.25,19.25,67300,Energy,2002.0
2016-01-13,19.25,19.34000015258789,17.950000762939453,18.1299991607666,18.1299991607666,71700,Energy,2002.0
2016-01-14,18.280000686645508,19.0,18.100000381469727,18.809999465942383,18.809999465942383,59700,Energy,2002.0
2016-01-15,18.149999618530273,18.719999313354492,17.520000457763672,18.459999084472656,18.459999084472656,38600,Energy,2002.0
2016-01-19,18.670000076293945,18.670000076293945,18.190000534057617,18.329999923706055,18.329999923706055,57400,Energy,2002.0
2016-01-20,18.09000015258789,18.40999984741211,17.079999923706055,17.799999237060547,17.799999237060547,88800,Energy,2002.0
2016-01-21,17.610000610351562,18.200000762939453,17.610000610351562,17.75,17.75,52700,Energy,2002.0
2016-01-22,18.31999969482422,18.420000076293945,17.5,17.959999084472656,17.959999084472656,69800,Energy,2002.0
2016-01-25,17.68000030517578,18.229999542236328,17.229999542236328,17.290000915527344,17.290000915527344,42000,Energy,2002.0
2016-01-26,17.6200008392334,18.15999984741211,17.3799991607666,17.969999313354492,17.969999313354492,46500,Energy,2002.0
2016-01-27,18.010000228881836,18.299999237060547,17.489999771118164,17.59000015258789,17.59000015258789,38500,Energy,2002.0
2016-01-28,18.239999771118164,18.68000030517578,17.920000076293945,18.15999984741211,18.15999984741211,34000,Energy,2002.0
2016-01-29,18.190000534057617,18.950000762939453,18.190000534057617,18.920000076293945,18.920000076293945,66400,Energy,2002.0
2016-02-01,18.579999923706055,19.079999923706055,18.1200008392334,18.290000915527344,18.290000915527344,63500,Energy,2002.0
2016-02-02,18.0,18.309999465942383,17.709999084472656,17.889999389648438,17.889999389648438,57000,Energy,2002.0
2016-02-03,18.0,18.209999084472656,17.1299991607666,17.90999984741211,17.90999984741211,39700,Energy,2002.0
2016-02-04,18.0,18.850000381469727,18.0,18.1299991607666,18.1299991607666,23400,Energy,2002.0
2016-02-05,18.0,18.110000610351562,17.479999542236328,17.489999771118164,17.489999771118164,33900,Energy,2002.0
2016-02-08,17.229999542236328,17.809999465942383,17.030000686645508,17.739999771118164,17.739999771118164,24300,Energy,2002.0
2016-02-09,17.469999313354492,17.729999542236328,16.420000076293945,16.610000610351562,16.610000610351562,27200,Energy,2002.0
2016-02-10,16.530000686645508,17.1299991607666,16.290000915527344,16.299999237060547,16.299999237060547,22300,Energy,2002.0
2016-02-11,16.0,16.5,15.970000267028809,16.15999984741211,16.15999984741211,42400,Energy,2002.0
2016-02-12,16.350000381469727,16.559999465942383,16.190000534057617,16.25,16.25,25000,Energy,2002.0
2016-02-16,16.530000686645508,16.979999542236328,15.960000038146973,16.420000076293945,16.420000076293945,27100,Energy,2002.0
2016-02-17,16.65999984741211,17.530000686645508,16.65999984741211,17.0,17.0,28800,Energy,2002.0
2016-02-18,17.040000915527344,17.389999389648438,16.68000030517578,17.100000381469727,17.100000381469727,18600,Energy,2002.0
2016-02-19,17.040000915527344,17.6200008392334,16.920000076293945,17.290000915527344,17.290000915527344,30400,Energy,2002.0
2016-02-22,17.559999465942383,17.989999771118164,17.219999313354492,17.270000457763672,17.270000457763672,23800,Energy,2002.0
2016-02-23,17.209999084472656,17.979999542236328,17.209999084472656,17.350000381469727,17.350000381469727,38800,Energy,2002.0
2016-02-24,17.139999389648438,17.540000915527344,16.979999542236328,17.540000915527344,17.540000915527344,30100,Energy,2002.0
2016-02-25,17.729999542236328,17.729999542236328,17.100000381469727,17.540000915527344,17.540000915527344,14200,Energy,2002.0
2016-02-26,17.709999084472656,18.149999618530273,17.350000381469727,17.719999313354492,17.719999313354492,20100,Energy,2002.0
2016-02-29,17.81999969482422,18.200000762939453,17.739999771118164,18.059999465942383,18.059999465942383,74500,Energy,2002.0
2016-03-01,17.989999771118164,18.149999618530273,17.790000915527344,18.149999618530273,18.149999618530273,29600,Energy,2002.0
2016-03-02,18.139999389648438,18.81999969482422,18.0,18.81999969482422,18.81999969482422,28800,Energy,2002.0
2016-03-03,19.290000915527344,19.65999984741211,18.969999313354492,19.18000030517578,19.18000030517578,25400,Energy,2002.0
2016-03-04,19.350000381469727,19.59000015258789,18.670000076293945,18.979999542236328,18.979999542236328,30900,Energy,2002.0
2016-03-07,18.90999984741211,20.1200008392334,18.90999984741211,19.5,19.5,74500,Energy,2002.0
2016-03-08,19.270000457763672,19.56999969482422,18.850000381469727,19.06999969482422,19.06999969482422,220500,Energy,2002.0
2016-03-09,19.31999969482422,19.5,18.760000228881836,19.309999465942383,19.309999465942383,63700,Energy,2002.0
2016-03-10,19.709999084472656,20.31999969482422,19.200000762939453,20.149999618530273,20.149999618530273,125500,Energy,2002.0
2016-03-11,20.290000915527344,21.700000762939453,20.020000457763672,20.290000915527344,20.290000915527344,110700,Energy,2002.0
2016-03-14,20.149999618530273,20.700000762939453,20.010000228881836,20.489999771118164,20.489999771118164,42800,Energy,2002.0
2016-03-15,20.290000915527344,20.940000534057617,20.280000686645508,20.81999969482422,20.81999969482422,60000,Energy,2002.0
2016-03-16,20.829999923706055,21.280000686645508,20.040000915527344,21.09000015258789,21.09000015258789,46400,Energy,2002.0
2016-03-17,21.100000381469727,22.0,20.709999084472656,21.68000030517578,21.68000030517578,34200,Energy,2002.0
2016-03-18,21.639999389648438,21.700000762939453,20.6299991607666,21.600000381469727,21.600000381469727,136300,Energy,2002.0
2016-03-21,21.469999313354492,21.549999237060547,20.860000610351562,21.420000076293945,21.420000076293945,47700,Energy,2002.0
2016-03-22,21.56999969482422,21.700000762939453,21.15999984741211,21.290000915527344,21.290000915527344,123600,Energy,2002.0
2016-03-23,21.100000381469727,21.579999923706055,20.920000076293945,21.200000762939453,21.200000762939453,63600,Energy,2002.0
2016-03-24,21.100000381469727,21.420000076293945,20.469999313354492,21.3799991607666,21.3799991607666,44900,Energy,2002.0
2016-03-28,21.299999237060547,21.399999618530273,20.559999465942383,21.15999984741211,21.15999984741211,47200,Energy,2002.0
2016-03-29,20.8700008392334,21.84000015258789,20.639999389648438,21.760000228881836,21.760000228881836,42200,Energy,2002.0
2016-03-30,21.809999465942383,22.440000534057617,21.6299991607666,21.68000030517578,21.68000030517578,71300,Energy,2002.0
2016-03-31,21.690000534057617,21.950000762939453,21.40999984741211,21.6299991607666,21.6299991607666,55200,Energy,2002.0
2016-04-01,21.399999618530273,21.399999618530273,20.549999237060547,21.020000457763672,21.020000457763672,55600,Energy,2002.0
2016-04-04,21.190000534057617,21.25,20.649999618530273,20.790000915527344,20.790000915527344,51500,Energy,2002.0
2016-04-05,20.739999771118164,21.1200008392334,20.290000915527344,20.389999389648438,20.389999389648438,35800,Energy,2002.0
2016-04-06,20.43000030517578,21.1200008392334,19.81999969482422,20.8799991607666,20.8799991607666,38400,Energy,2002.0
2016-04-07,20.829999923706055,21.309999465942383,20.780000686645508,20.93000030517578,20.93000030517578,61500,Energy,2002.0
2016-04-08,21.34000015258789,21.399999618530273,21.020000457763672,21.209999084472656,21.209999084472656,40100,Energy,2002.0
2016-04-11,21.200000762939453,21.450000762939453,20.950000762939453,21.040000915527344,21.040000915527344,67800,Energy,2002.0
2016-04-12,20.950000762939453,22.020000457763672,20.889999389648438,21.93000030517578,21.93000030517578,44300,Energy,2002.0
2016-04-13,21.84000015258789,22.079999923706055,21.65999984741211,22.030000686645508,22.030000686645508,54700,Energy,2002.0
2016-04-14,22.06999969482422,22.329999923706055,21.649999618530273,22.020000457763672,22.020000457763672,41500,Energy,2002.0
2016-04-15,21.899999618530273,22.0,21.729999542236328,21.8700008392334,21.8700008392334,36000,Energy,2002.0
2016-04-18,21.549999237060547,22.239999771118164,21.510000228881836,22.170000076293945,22.170000076293945,42200,Energy,2002.0
2016-04-19,22.239999771118164,22.860000610351562,22.239999771118164,22.649999618530273,22.649999618530273,17600,Energy,2002.0
2016-04-20,22.6200008392334,23.1200008392334,22.510000228881836,22.75,22.75,26800,Energy,2002.0
2016-04-21,22.81999969482422,22.850000381469727,22.18000030517578,22.260000228881836,22.260000228881836,32400,Energy,2002.0
2016-04-22,22.360000610351562,22.93000030517578,22.360000610351562,22.729999542236328,22.729999542236328,18900,Energy,2002.0
2016-04-25,22.600000381469727,22.649999618530273,22.049999237060547,22.270000457763672,22.270000457763672,18000,Energy,2002.0
2016-04-26,22.290000915527344,23.1200008392334,21.950000762939453,22.899999618530273,22.899999618530273,39300,Energy,2002.0
2016-04-27,22.979999542236328,23.399999618530273,22.299999237060547,22.93000030517578,22.93000030517578,15900,Energy,2002.0
2016-04-28,22.770000457763672,23.229999542236328,22.530000686645508,22.809999465942383,22.809999465942383,22400,Energy,2002.0
2016-04-29,22.84000015258789,23.43000030517578,22.610000610351562,22.989999771118164,22.989999771118164,27900,Energy,2002.0
2016-05-02,23.100000381469727,23.110000610351562,22.690000534057617,23.06999969482422,23.06999969482422,21400,Energy,2002.0
2016-05-03,22.719999313354492,23.299999237060547,22.350000381469727,22.6200008392334,22.6200008392334,22800,Energy,2002.0
2016-05-04,22.649999618530273,24.389999389648438,22.34000015258789,24.299999237060547,24.299999237060547,140600,Energy,2002.0
2016-05-05,24.579999923706055,25.540000915527344,24.360000610351562,24.610000610351562,24.610000610351562,103000,Energy,2002.0
2016-05-06,24.520000457763672,24.93000030517578,22.860000610351562,23.06999969482422,23.06999969482422,53400,Energy,2002.0
