Date,Open,High,Low,Close,Adj Close,Volume,Sector,IPOyear
2016-01-04,6.0,6.010000228881836,5.659999847412109,5.800000190734863,5.800000190734863,147400,Basic Industries,
2016-01-05,5.809999942779541,5.889999866485596,5.730000019073486,5.869999885559082,5.869999885559082,91000,Basic Industries,
2016-01-06,5.769999980926514,5.96999979019165,5.75,5.860000133514404,5.860000133514404,85400,Basic Industries,
2016-01-07,5.739999771118164,5.800000190734863,5.610000133514404,5.650000095367432,5.650000095367432,97500,Basic Industries,
2016-01-08,5.579999923706055,5.650000095367432,5.409999847412109,5.449999809265137,5.449999809265137,100400,Basic Industries,
2016-01-11,5.46999979019165,5.489999771118164,5.360000133514404,5.409999847412109,5.409999847412109,66500,Basic Industries,
2016-01-12,5.480000019073486,5.510000228881836,5.28000020980835,5.449999809265137,5.449999809265137,101000,Basic Industries,
2016-01-13,5.449999809265137,5.510000228881836,5.110000133514404,5.159999847412109,5.159999847412109,87000,Basic Industries,
2016-01-14,5.170000076293945,5.340000152587891,5.150000095367432,5.179999828338623,5.179999828338623,91300,Basic Industries,
2016-01-15,5.050000190734863,5.130000114440918,4.829999923706055,4.889999866485596,4.889999866485596,129600,Basic Industries,
2016-01-19,5.03000020980835,5.139999866485596,4.550000190734863,4.690000057220459,4.690000057220459,141500,Basic Industries,
2016-01-20,4.590000152587891,4.880000114440918,4.369999885559082,4.829999923706055,4.829999923706055,147700,Basic Industries,
2016-01-21,4.949999809265137,5.070000171661377,4.769999980926514,4.869999885559082,4.869999885559082,218600,Basic Industries,
2016-01-22,5.119999885559082,5.21999979019165,4.980000019073486,5.099999904632568,5.099999904632568,134600,Basic Industries,
2016-01-25,5.070000171661377,5.199999809265137,4.809999942779541,4.849999904632568,4.849999904632568,151400,Basic Industries,
2016-01-26,4.889999866485596,5.059999942779541,4.880000114440918,4.940000057220459,4.940000057220459,77900,Basic Industries,
2016-01-27,4.900000095367432,4.980000019073486,4.760000228881836,4.760000228881836,4.760000228881836,217300,Basic Industries,
2016-01-28,4.800000190734863,4.949999809265137,4.800000190734863,4.889999866485596,4.889999866485596,156100,Basic Industries,
2016-01-29,4.889999866485596,5.25,4.889999866485596,5.25,5.25,161600,Basic Industries,
2016-02-01,5.139999866485596,5.289999961853027,5.119999885559082,5.25,5.25,90200,Basic Industries,
2016-02-02,5.150000095367432,5.199999809265137,5.110000133514404,5.159999847412109,5.159999847412109,181600,Basic Industries,
2016-02-03,5.21999979019165,5.300000190734863,4.96999979019165,5.199999809265137,5.199999809265137,182300,Basic Industries,
2016-02-04,5.179999828338623,5.389999866485596,5.179999828338623,5.389999866485596,5.389999866485596,148600,Basic Industries,
2016-02-05,5.360000133514404,5.440000057220459,5.170000076293945,5.179999828338623,5.179999828338623,161500,Basic Industries,
2016-02-08,5.079999923706055,5.25,5.0,5.190000057220459,5.190000057220459,119600,Basic Industries,
2016-02-09,5.119999885559082,5.480000019073486,5.119999885559082,5.389999866485596,5.389999866485596,248500,Basic Industries,
2016-02-10,5.420000076293945,5.579999923706055,5.329999923706055,5.369999885559082,5.369999885559082,72500,Basic Industries,
2016-02-11,5.25,5.389999866485596,5.210000038146973,5.269999980926514,5.269999980926514,112300,Basic Industries,
2016-02-12,5.28000020980835,5.320000171661377,4.880000114440918,4.949999809265137,4.949999809265137,196500,Basic Industries,
2016-02-16,5.010000228881836,5.239999771118164,4.940000057220459,5.210000038146973,5.210000038146973,179500,Basic Industries,
2016-02-17,5.260000228881836,5.369999885559082,5.199999809265137,5.260000228881836,5.260000228881836,187700,Basic Industries,
2016-02-18,5.260000228881836,5.400000095367432,5.239999771118164,5.349999904632568,5.349999904632568,167600,Basic Industries,
2016-02-19,5.340000152587891,5.380000114440918,5.21999979019165,5.260000228881836,5.260000228881836,95900,Basic Industries,
2016-02-22,5.300000190734863,5.360000133514404,5.190000057220459,5.230000019073486,5.230000019073486,107900,Basic Industries,
2016-02-23,5.150000095367432,5.269999980926514,5.099999904632568,5.130000114440918,5.130000114440918,119100,Basic Industries,
2016-02-24,5.059999942779541,5.329999923706055,5.010000228881836,5.239999771118164,5.239999771118164,109300,Basic Industries,
2016-02-25,5.260000228881836,5.260000228881836,5.070000171661377,5.139999866485596,5.139999866485596,154700,Basic Industries,
2016-02-26,5.199999809265137,5.230000019073486,5.119999885559082,5.199999809265137,5.199999809265137,160700,Basic Industries,
2016-02-29,5.199999809265137,5.369999885559082,5.190000057220459,5.239999771118164,5.239999771118164,199500,Basic Industries,
2016-03-01,5.289999961853027,5.349999904632568,5.230000019073486,5.28000020980835,5.28000020980835,207400,Basic Industries,
2016-03-02,5.25,5.309999942779541,5.199999809265137,5.260000228881836,5.260000228881836,346600,Basic Industries,
2016-03-03,5.269999980926514,5.739999771118164,5.230000019073486,5.650000095367432,5.650000095367432,270000,Basic Industries,
2016-03-04,5.630000114440918,5.849999904632568,5.619999885559082,5.699999809265137,5.699999809265137,170500,Basic Industries,
2016-03-07,5.650000095367432,5.989999771118164,5.630000114440918,5.980000019073486,5.980000019073486,162200,Basic Industries,
2016-03-08,5.929999828338623,5.929999828338623,5.769999980926514,5.849999904632568,5.849999904632568,95600,Basic Industries,
2016-03-09,5.860000133514404,5.900000095367432,5.800000190734863,5.829999923706055,5.829999923706055,59100,Basic Industries,
2016-03-10,5.860000133514404,5.900000095367432,5.710000038146973,5.880000114440918,5.880000114440918,158400,Basic Industries,
2016-03-11,5.949999809265137,5.960000038146973,5.820000171661377,5.929999828338623,5.929999828338623,95500,Basic Industries,
