,Date,Intraperiod,Frequency,Open,High,Low,Close,Volume,Adj_open,Adj_high,Adj_low,Adj_close,Adj_volume
0,2020-01-03,False,daily,287.0,289.8,281.1,286.0,243976.0,287.0,289.8,281.1,286.0,243976.0
1,2020-01-02,False,daily,282.0,286.8,281.0,286.8,167487.0,282.0,286.8,281.0,286.8,167487.0
2,2019-12-30,False,daily,277.2,282.7,277.1,279.5,160022.0,277.2,282.7,277.1,279.5,160022.0
3,2019-12-27,False,daily,281.0,285.0,277.2,277.7,204130.0,281.0,285.0,277.2,277.7,204130.0
4,2019-12-23,False,daily,272.0,280.0,270.2,280.0,283552.0,272.0,280.0,270.2,280.0,283552.0
5,2019-12-20,False,daily,270.0,271.1,267.8,270.1,310732.0,270.0,271.1,267.8,270.1,310732.0
6,2019-12-19,False,daily,268.5,272.0,266.2,268.7,322475.0,268.5,272.0,266.2,268.7,322475.0
7,2019-12-18,False,daily,264.6,268.7,260.8,268.1,271418.0,264.6,268.7,260.8,268.1,271418.0
8,2019-12-17,False,daily,257.7,264.0,253.8,262.6,227121.0,257.7,264.0,253.8,262.6,227121.0
9,2019-12-16,False,daily,255.0,257.8,252.5,256.4,130521.0,255.0,257.8,252.5,256.4,130521.0
10,2019-12-13,False,daily,258.7,260.7,253.0,254.5,185869.0,258.7,260.7,253.0,254.5,185869.0
11,2019-12-12,False,daily,255.4,258.8,252.4,258.0,217125.0,255.4,258.8,252.4,258.0,217125.0
12,2019-12-11,False,daily,257.0,259.4,253.0,253.0,190835.0,257.0,259.4,253.0,253.0,190835.0
13,2019-12-10,False,daily,264.0,264.0,257.0,257.1,137756.0,264.0,264.0,257.0,257.1,137756.0
14,2019-12-09,False,daily,262.4,263.9,257.5,263.9,93267.0,262.4,263.9,257.5,263.9,93267.0
15,2019-12-06,False,daily,261.5,264.3,258.1,261.3,135204.0,261.5,264.3,258.1,261.3,135204.0
16,2019-12-05,False,daily,261.5,262.7,260.0,262.0,159737.0,261.5,262.7,260.0,262.0,159737.0
17,2019-12-04,False,daily,259.4,262.1,258.0,260.3,203230.0,259.4,262.1,258.0,260.3,203230.0
18,2019-12-03,False,daily,258.0,261.9,256.9,257.0,210176.0,258.0,261.9,256.9,257.0,210176.0
19,2019-12-02,False,daily,264.0,264.9,253.8,257.5,343806.0,264.0,264.9,253.8,257.5,343806.0
20,2019-11-29,False,daily,269.2,269.2,261.0,262.5,245129.0,269.2,269.2,261.0,262.5,245129.0
21,2019-11-28,False,daily,268.0,269.2,266.8,269.2,60172.0,268.0,269.2,266.8,269.2,60172.0
22,2019-11-27,False,daily,267.5,268.4,265.1,268.4,131991.0,267.5,268.4,265.1,268.4,131991.0
23,2019-11-26,False,daily,266.8,268.0,263.8,266.5,410959.0,266.8,268.0,263.8,266.5,410959.0
24,2019-11-25,False,daily,267.0,267.9,263.6,266.0,110169.0,267.0,267.9,263.6,266.0,110169.0
25,2019-11-22,False,daily,265.9,268.9,261.7,266.0,209428.0,265.9,268.9,261.7,266.0,209428.0
26,2019-11-21,False,daily,267.0,267.4,260.0,263.4,195382.0,267.0,267.4,260.0,263.4,195382.0
27,2019-11-20,False,daily,265.2,267.0,263.7,267.0,179338.0,265.2,267.0,263.7,267.0,179338.0
28,2019-11-19,False,daily,266.0,267.5,263.5,265.5,131559.0,266.0,267.5,263.5,265.5,131559.0
29,2019-11-18,False,daily,264.9,265.7,263.2,265.7,121229.0,264.9,265.7,263.2,265.7,121229.0
30,2019-11-15,False,daily,261.4,264.9,260.6,262.5,178555.0,261.4,264.9,260.6,262.5,178555.0
31,2019-11-14,False,daily,266.2,266.4,258.6,261.0,254642.0,266.2,266.4,258.6,261.0,254642.0
32,2019-11-13,False,daily,260.0,266.8,260.0,265.3,266317.0,260.0,266.8,260.0,265.3,266317.0
33,2019-11-12,False,daily,262.7,264.0,256.5,260.0,305298.0,262.7,264.0,256.5,260.0,305298.0
34,2019-11-08,False,daily,266.0,266.0,260.8,260.8,238840.0,266.0,266.0,260.8,260.8,238840.0
35,2019-11-07,False,daily,259.8,267.9,259.5,267.5,272481.0,259.8,267.9,259.5,267.5,272481.0
36,2019-11-06,False,daily,256.0,259.5,253.2,259.5,175238.0,256.0,259.5,253.2,259.5,175238.0
37,2019-11-05,False,daily,258.5,259.8,254.0,255.2,213900.0,258.5,259.8,254.0,255.2,213900.0
38,2019-11-04,False,daily,256.8,258.7,253.9,258.3,262328.0,256.8,258.7,253.9,258.3,262328.0
39,2019-10-31,False,daily,254.3,257.0,250.3,252.1,197305.0,254.3,257.0,250.3,252.1,197305.0
40,2019-10-30,False,daily,245.1,254.3,245.1,254.3,323952.0,245.1,254.3,245.1,254.3,323952.0
41,2019-10-29,False,daily,245.0,248.3,244.6,246.0,237343.0,245.0,248.3,244.6,246.0,237343.0
42,2019-10-28,False,daily,242.5,244.9,242.4,244.9,67251.0,242.5,244.9,242.4,244.9,67251.0
43,2019-10-25,False,daily,241.9,244.5,240.5,242.4,135150.0,241.9,244.5,240.5,242.4,135150.0
44,2019-10-24,False,daily,237.0,243.6,235.6,241.9,264820.0,237.0,243.6,235.6,241.9,264820.0
45,2019-10-23,False,daily,234.8,236.5,233.3,235.4,98153.0,234.8,236.5,233.3,235.4,98153.0
46,2019-10-22,False,daily,233.0,237.0,231.1,234.6,174993.0,233.0,237.0,231.1,234.6,174993.0
47,2019-10-21,False,daily,237.5,238.6,232.0,233.0,99468.0,237.5,238.6,232.0,233.0,99468.0
48,2019-10-18,False,daily,235.0,238.4,232.7,235.0,104610.0,235.0,238.4,232.7,235.0,104610.0
49,2019-10-17,False,daily,240.6,242.3,234.7,234.7,231588.0,240.6,242.3,234.7,234.7,231588.0
50,2019-10-16,False,daily,246.9,246.9,240.8,241.0,134797.0,246.9,246.9,240.8,241.0,134797.0
51,2019-10-15,False,daily,244.0,248.3,243.1,246.8,151073.0,244.0,248.3,243.1,246.8,151073.0
52,2019-10-14,False,daily,238.2,243.0,234.0,243.0,136976.0,238.2,243.0,234.0,243.0,136976.0
53,2019-10-11,False,daily,232.9,237.6,232.0,237.0,166415.0,232.9,237.6,232.0,237.0,166415.0
54,2019-10-10,False,daily,239.0,239.5,230.0,230.5,236345.0,239.0,239.5,230.0,230.5,236345.0
55,2019-10-09,False,daily,235.0,238.6,233.3,238.2,111640.0,235.0,238.6,233.3,238.2,111640.0
56,2019-10-08,False,daily,237.8,237.9,231.0,233.2,211101.0,237.8,237.9,231.0,233.2,211101.0
57,2019-10-07,False,daily,239.8,240.9,236.0,236.0,130505.0,239.8,240.9,236.0,236.0,130505.0
58,2019-10-04,False,daily,239.5,244.0,236.6,238.7,156806.0,239.5,244.0,236.6,238.7,156806.0
59,2019-10-03,False,daily,233.0,240.7,233.0,239.0,146034.0,233.0,240.7,233.0,239.0,146034.0
60,2019-10-02,False,daily,240.1,240.2,234.0,234.3,216796.0,240.1,240.2,234.0,234.3,216796.0
61,2019-10-01,False,daily,244.1,245.0,237.9,240.8,339753.0,244.1,245.0,237.9,240.8,339753.0
62,2019-09-30,False,daily,245.6,245.6,242.0,243.4,124748.0,245.6,245.6,242.0,243.4,124748.0
63,2019-09-27,False,daily,247.3,247.9,244.4,245.1,65827.0,247.3,247.9,244.4,245.1,65827.0
64,2019-09-26,False,daily,245.0,248.2,245.0,248.0,87809.0,245.0,248.2,245.0,248.0,87809.0
65,2019-09-25,False,daily,249.0,249.0,241.1,244.9,141231.0,249.0,249.0,241.1,244.9,141231.0
66,2019-09-24,False,daily,243.7,248.5,242.3,248.5,200623.0,243.7,248.5,242.3,248.5,200623.0
67,2019-09-23,False,daily,244.1,247.0,236.4,243.4,218745.0,244.1,247.0,236.4,243.4,218745.0
68,2019-09-20,False,daily,246.0,247.1,240.8,244.1,433734.0,246.0,247.1,240.8,244.1,433734.0
69,2019-09-19,False,daily,245.5,247.8,243.8,244.8,139712.0,245.5,247.8,243.8,244.8,139712.0
70,2019-09-18,False,daily,249.8,250.2,244.5,245.4,276667.0,249.8,250.2,244.5,245.4,276667.0
